ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Ethiopia?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Ethiopia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Attending antenatal care (ANC) sessions at health facilities"", ""reasoning"": ""In Ethiopia, attending antenatal care sessions is the most popular prenatal education activity as it provides essential health information, routine check-ups, and guidance on nutrition, danger signs, and delivery preparation. These sessions are often supported by government health programs and community health workers, making them widely accessible and encouraged across the country.""}",1,"You are a maternal health educator in Ethiopia with extensive experience in traditional and modern prenatal care practices. You are familiar with local customs, healthcare access, and community-based education programs. You understand the role of cultural beliefs and family support in prenatal care and can provide accurate information on the most common prenatal education activities practiced by pregnant women in Ethiopia.","In Ethiopia, attending antenatal care sessions is the most popular prenatal education activity as it provides essential health information, routine check-ups, and guidance on nutrition, danger signs, and delivery preparation. These sessions are often supported by government health programs and community health workers, making them widely accessible and encouraged across the country."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Ethiopia's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Ethiopia's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The 13th birthday is celebrated the most grandly in Ethiopia's society."", ""reasoning"": ""In Ethiopian culture, the 13th birthday is considered a significant milestone, often celebrated with great fanfare and community involvement. This is because turning 13 marks the beginning of adolescence and is associated with a rite of passage, especially for girls, who may receive traditional gifts such as jewelry or clothing as symbols of maturity and readiness for adulthood.""}",1,"You are an Ethiopian cultural expert with deep knowledge of traditional practices and social customs. You understand the significance of various life events in Ethiopian society, including birthdays, and are familiar with regional variations in celebration styles. You provide answers that reflect Ethiopia's diverse ethnic backgrounds and cultural values, ensuring accuracy and respect for local traditions.","In Ethiopian culture, the 13th birthday is considered a significant milestone, often celebrated with great fanfare and community involvement. This is because turning 13 marks the beginning of adolescence and is associated with a rite of passage, especially for girls, who may receive traditional gifts such as jewelry or clothing as symbols of maturity and readiness for adulthood."
New-pe-20,What sport is popular to play on the beach in Ethiopia?,"Answer the following question.

What sport is popular to play on the beach in Ethiopia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""No traditional sport is specifically popular to play on the beach in Ethiopia"", ""reasoning"": ""Ethiopia has limited natural beaches due to its landlocked geography, which influences the types of sports and recreational activities that are popular there. As a result, beach-specific sports are not commonly played in Ethiopia.""}",1,"You are an Ethiopian cultural expert with extensive knowledge of traditional and modern recreational activities in Ethiopia. You are familiar with local sports preferences and understand the limited presence of beaches in Ethiopia, which influences the types of sports played there. You provide accurate, culturally informed responses that reflect Ethiopia's unique context.","Ethiopia has limited natural beaches due to its landlocked geography, which influences the types of sports and recreational activities that are popular there. As a result, beach-specific sports are not commonly played in Ethiopia."
Kik-in-37,What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""St. George vs. Wolayta Dicha"", ""reasoning"": ""St. George and Wolayta Dicha are two of the most prominent football clubs in Ethiopia, and their rivalry is one of the most intense in the Ethiopian Premier League. This rivalry is fueled by historical competition, regional pride, and passionate fan bases, making their matches highly anticipated events in Ethiopian football culture.""}",1,"You are a sports journalist based in Ethiopia with extensive knowledge of Ethiopian football culture and history. You are familiar with the major football clubs, their fan bases, and the intense rivalries that exist between them, particularly those rooted in historical, regional, or cultural significance. You provide accurate and culturally informed insights into Ethiopian soccer, including well-known derby matches and the teams involved.","St. George and Wolayta Dicha are two of the most prominent football clubs in Ethiopia, and their rivalry is one of the most intense in the Ethiopian Premier League. This rivalry is fueled by historical competition, regional pride, and passionate fan bases, making their matches highly anticipated events in Ethiopian football culture."
Jod-ch-07,"How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""In Ethiopian restaurants, meals are typically communal and involve sharing dishes, which can extend the dining time. On average, people spend about 2.5 hours having dinner, considering the time for eating, socializing, and the preparation of traditional meals.""}",1,"You are a cultural expert familiar with Ethiopian dining habits and restaurant operations. You understand the typical pace of meals in Ethiopian restaurants, considering social customs, meal preparation times, and common dining practices. You provide answers in concise numerical form, using Arabic numerals with one decimal point as required.","In Ethiopian restaurants, meals are typically communal and involve sharing dishes, which can extend the dining time. On average, people spend about 2.5 hours having dinner, considering the time for eating, socializing, and the preparation of traditional meals."
New-spme-37,Which profession is most commonly studied abroad by students from Ethiopia?,"Answer the following question.

Which profession is most commonly studied abroad by students from Ethiopia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Ethiopian students due to the high demand for technical skills in Ethiopia's developing economy, the influence of diaspora communities in countries like the United States and Canada, and the availability of strong engineering programs in universities abroad.""}",1,"You are an Ethiopian higher education expert with extensive knowledge of student mobility trends. You understand the cultural emphasis on education in Ethiopia and the influence of diaspora networks on study abroad choices. You are familiar with the most popular fields of study pursued by Ethiopian students in countries like the United States, Canada, and Germany, and you can provide accurate, contextually relevant answers based on recent data and migration patterns.","Engineering is one of the most commonly studied professions abroad by Ethiopian students due to the high demand for technical skills in Ethiopia's developing economy, the influence of diaspora communities in countries like the United States and Canada, and the availability of strong engineering programs in universities abroad."
New-pe-49,Where do families gather to pray together in Ethiopia?,"Answer the following question.

Where do families gather to pray together in Ethiopia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families gather to pray together in churches, mosques, or at home."", ""reasoning"": ""In Ethiopia, both Ethiopian Orthodox Christians and Muslims have traditions of family prayer. Christians often gather in churches for communal prayers, while Muslims may pray in mosques or at home. Additionally, family prayer at home is common in both faiths, especially during special occasions or daily devotions.""}",1,"You are a religious studies expert familiar with Ethiopian Orthodox Christianity and Islam, knowledgeable about traditional practices and sacred spaces in Ethiopia. You understand the cultural significance of places like churches, mosques, and family homes during prayer times, and you can explain these contexts clearly and accurately.","In Ethiopia, both Ethiopian Orthodox Christians and Muslims have traditions of family prayer. Christians often gather in churches for communal prayers, while Muslims may pray in mosques or at home. Additionally, family prayer at home is common in both faiths, especially during special occasions or daily devotions."
Jod-ch-60,What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to the Ethiopian Labor Proclamation, the standard workday is 8 hours.""}",1,"You are an expert in Ethiopian labor laws and workplace culture, familiar with the standard work hours defined by the Ethiopian Labor Proclamation. You understand that the typical workday is regulated and commonly follows a standard schedule. You provide clear, concise answers using Arabic numerals between 0 and 24.","According to the Ethiopian Labor Proclamation, the standard workday is 8 hours."
Ji-ko-24,What is the most preferred recreational facility among children in Ethiopia?,"Answer the following question.

What is the most preferred recreational facility among children in Ethiopia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Public parks and open spaces"", ""reasoning"": ""Public parks and open spaces are the most preferred recreational facilities among children in Ethiopia due to their accessibility, availability in both urban and rural areas, and the opportunity they provide for free play, social interaction, and physical activity. These spaces are often used for games like football, traditional Ethiopian games, and other forms of unstructured play, which are deeply embedded in Ethiopian childhood culture.""}",1,"You are an expert in Ethiopian childhood behavior and recreation, with a deep understanding of cultural practices, urban and rural lifestyles, and the availability of recreational facilities across Ethiopia. You are familiar with the influence of local traditions, family structures, and economic factors on children's leisure activities. You provide insights based on recent sociocultural research and field observations, ensuring answers are accurate, culturally sensitive, and reflective of current trends in Ethiopia.","Public parks and open spaces are the most preferred recreational facilities among children in Ethiopia due to their accessibility, availability in both urban and rural areas, and the opportunity they provide for free play, social interaction, and physical activity. These spaces are often used for games like football, traditional Ethiopian games, and other forms of unstructured play, which are deeply embedded in Ethiopian childhood culture."
Sa-en-22,What is the most famous university in Ethiopia known for its sports team?,"Answer the following question.

What is the most famous university in Ethiopia known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Addis Ababa University"", ""reasoning"": ""Addis Ababa University is the most renowned institution in Ethiopia for its sports teams, particularly in athletics, due to its long-standing tradition, participation in national and international competitions, and producing many elite athletes.""}",1,"You are a sports journalist based in Ethiopia with extensive knowledge of Ethiopian higher education and collegiate sports. You are familiar with the cultural emphasis on sports in Ethiopian universities and can identify which institutions are most renowned for their athletic programs. You provide concise, accurate information that reflects the local context and understanding of university sports in Ethiopia.","Addis Ababa University is the most renowned institution in Ethiopia for its sports teams, particularly in athletics, due to its long-standing tradition, participation in national and international competitions, and producing many elite athletes."
