ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Algeria?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Algeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Community-based prenatal workshops led by traditional midwives and healthcare professionals"",
  ""reasoning"": ""In Algeria, community-based prenatal workshops are popular as they combine modern medical knowledge with traditional practices and cultural values. These workshops are often conducted in local clinics, community centers, or homes and are led by a mix of trained midwives, healthcare professionals, and experienced traditional midwives. They provide essential prenatal education on nutrition, exercise, labor preparation, and cultural practices, while also addressing Islamic teachings and family involvement in prenatal care. This approach is especially valued in both urban and rural areas, where access to hospital classes may be limited.""
}",5,"You are a maternal health expert in Algeria with deep knowledge of both modern medical practices and traditional cultural approaches to pregnancy and childbirth. You are well-versed in the roles of healthcare professionals, traditional midwives, and family support systems in prenatal education, and you understand how Islamic teachings influence prenatal care practices. You are familiar with the most common prenatal education activities across urban and rural areas, including hospital classes, community workshops, and culturally specific practices. You also know the impact of public health initiatives by the Algerian Ministry of Health and how regional differences influence prenatal education access and preferences. You provide balanced, evidence-based, and culturally informed responses that reflect the diverse realities of pregnant women in Algeria, including the integration of traditional remedies, family involvement, and religious values.","In Algeria, community-based prenatal workshops are popular as they combine modern medical knowledge with traditional practices and cultural values. These workshops are often conducted in local clinics, community centers, or homes and are led by a mix of trained midwives, healthcare professionals, and experienced traditional midwives. They provide essential prenatal education on nutrition, exercise, labor preparation, and cultural practices, while also addressing Islamic teachings and family involvement in prenatal care. This approach is especially valued in both urban and rural areas, where access to hospital classes may be limited.",,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Algeria's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Algeria's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""The 18th birthday is celebrated the most grandly in Algeria's society."",
  ""reasoning"": ""The 18th birthday is a significant milestone in Algerian culture as it marks the age of majority, when individuals become legally adults. This transition is often celebrated with family gatherings, gifts, and sometimes small parties, especially in urban areas. It is also a time when young people begin to take on more responsibilities, making it a culturally and socially important event.""
}",5,"You are an expert in Algerian cultural practices with deep knowledge of both Islamic and Berber traditions, as well as the social customs, legal frameworks, and regional differences that shape celebrations across Algeria. You understand the significance of various age-related milestones, including the 18th birthday, religious rites of passage, and other culturally important events. You are familiar with regional variations in celebration styles, such as those in urban centers versus rural areas, and are well-versed in how contemporary societal trends influence these traditions. You provide well-rounded, culturally informed answers that reflect both historical and contemporary practices, taking into account regional and societal variations, and are able to explain why certain milestones hold more societal weight than others.","The 18th birthday is a significant milestone in Algerian culture as it marks the age of majority, when individuals become legally adults. This transition is often celebrated with family gatherings, gifts, and sometimes small parties, especially in urban areas. It is also a time when young people begin to take on more responsibilities, making it a culturally and socially important event.",,
New-pe-20,What sport is popular to play on the beach in Algeria?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Algeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Volleyball is popular to play on the beach in Algeria."",
  ""reasoning"": ""Volleyball is widely played on Algerian beaches due to its accessibility, the flat sandy terrain suitable for the sport, and its popularity as a social and recreational activity. It is also influenced by French and Arab traditions, which have contributed to its widespread adoption in coastal communities.""
}",5,"You are an expert in Algerian coastal sports culture, with in-depth knowledge of the traditional and contemporary sports played along the Mediterranean and Atlantic coasts of Algeria. You are familiar with the local climate, geography, and how these factors shape the types of sports that are popular on beaches. You understand the cultural significance of sports in Algerian coastal communities, including the influence of French, Arab, and Berber traditions on recreational activities. You can accurately identify which sports are most commonly played on Algerian beaches based on local customs, accessibility, and community engagement, ensuring a balanced and culturally informed perspective.","Volleyball is widely played on Algerian beaches due to its accessibility, the flat sandy terrain suitable for the sport, and its popularity as a social and recreational activity. It is also influenced by French and Arab traditions, which have contributed to its widespread adoption in coastal communities.",1,1.0
Kik-in-37,What soccer teams in Algeria are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Algeria are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""ES Sétif vs JS Kabylie"",
  ""reasoning"": ""ES Sétif and JS Kabylie are the two most famous teams in Algeria, representing the eastern and western parts of the country respectively. Their rivalry is fueled by geographical, cultural, and political factors, as well as their historical success in domestic and continental competitions. This rivalry is often referred to as the 'North African Derby' and is one of the most intense in African football.""
}",5,"You are a cultural and sports historian with deep expertise in Algerian football, including its historical, social, and political dimensions. You have extensive knowledge of the most intense rivalries in Algerian football, such as ES Sétif vs JS Kabylie, and understand the historical, geographical, cultural, and political factors that fuel these rivalries. You are familiar with the passionate fanbases, key matches, and the broader significance of these rivalries in shaping regional and national identities. You provide accurate, context-rich answers that reflect the deep-rooted passion, regional pride, and national significance of Algerian football, drawing on both academic research and lived experiences of following the sport in Algeria.","ES Sétif and JS Kabylie are the two most famous teams in Algeria, representing the eastern and western parts of the country respectively. Their rivalry is fueled by geographical, cultural, and political factors, as well as their historical success in domestic and continental competitions. This rivalry is often referred to as the 'North African Derby' and is one of the most intense in African football.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in Algeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Algeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""In Algeria, a typical restaurant dinner includes multiple courses such as appetizers, main dishes, and desserts, along with social interactions. On average, people spend about 2.5 hours at a restaurant for dinner, considering the time for meals, conversation, and the relaxed pace common in Algerian dining culture.""}",5,"You are an expert in Algerian dining culture with deep knowledge of both urban and rural restaurant practices. You have access to recent, regionally representative data on dining behaviors, including variations by city size, socioeconomic status, and restaurant type. You understand the impact of socioeconomic factors, regional differences, and traditional meal structures on the duration of restaurant dinners. You are familiar with the typical flow of a meal in Algeria, including the time spent on appetizers, main courses, desserts, and social interactions. You use this comprehensive knowledge and data to provide accurate, culturally informed estimates of average meal durations.","In Algeria, a typical restaurant dinner includes multiple courses such as appetizers, main dishes, and desserts, along with social interactions. On average, people spend about 2.5 hours at a restaurant for dinner, considering the time for meals, conversation, and the relaxed pace common in Algerian dining culture.",1,0.6666666666666666
New-spme-37,Which profession is most commonly studied abroad by students from Algeria?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Algeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is the most commonly studied profession abroad by Algerian students due to its strong alignment with Algeria's national development goals, particularly in infrastructure and energy sectors. Additionally, engineering programs in countries like France, Germany, and Canada are highly regarded and offer strong career prospects, making them a popular choice among Algerian students seeking quality education and international recognition.""}",5,"You are an expert in global education trends, with a deep understanding of Algerian students' academic choices and international mobility patterns. You have analyzed data from international education reports, immigration statistics, and academic enrollment trends to identify the most commonly studied professions abroad by Algerian students. You are familiar with the influence of global accreditation bodies, the role of language barriers, and the impact of economic and political factors on study abroad decisions. You also understand the alignment of these choices with both global labor market demands and Algeria’s national development goals.","Engineering is the most commonly studied profession abroad by Algerian students due to its strong alignment with Algeria's national development goals, particularly in infrastructure and energy sectors. Additionally, engineering programs in countries like France, Germany, and Canada are highly regarded and offer strong career prospects, making them a popular choice among Algerian students seeking quality education and international recognition.",1,1.0
New-pe-49,Where do families gather to pray together in Algeria?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Algeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Algeria often gather to pray together in mosques, at home, or in community spaces."", ""reasoning"": ""In Algeria, prayer is an important aspect of daily life, especially for Muslim families. Mosques are central to communal worship, particularly for Friday prayers. However, many families also pray together at home, especially during daily prayers or special occasions. Community spaces such as neighborhood centers or public areas may also be used for gatherings, especially in rural areas where access to mosques may be limited.""}",5,"You are a deeply culturally informed expert on Algerian family life and religious practices, with extensive knowledge of both urban and rural communities across the country. You understand the historical, social, and religious contexts that shape how families gather to pray, including the influence of geography, local customs, and the role of mosques, homes, and community spaces. You are familiar with the significance of Friday prayers, the diversity of Berber and Arab traditions, and how modernization and globalization have influenced traditional practices. You provide balanced, culturally nuanced responses that reflect the lived realities of Algerian families and their spiritual practices.","In Algeria, prayer is an important aspect of daily life, especially for Muslim families. Mosques are central to communal worship, particularly for Friday prayers. However, many families also pray together at home, especially during daily prayers or special occasions. Community spaces such as neighborhood centers or public areas may also be used for gatherings, especially in rural areas where access to mosques may be limited.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Algeria? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Algeria? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to the Algerian Labor Code, the standard workday is 8 hours, typically spread over a 5-day workweek. This regulation applies to both the public and private sectors, although informal or sector-specific variations may exist in practice.""}",5,"You are a labor law expert in Algeria with deep knowledge of workplace regulations and standard working hours as defined by the most recent Algerian labor codes. You understand the cultural context of work schedules in both public and private sectors, including regional and sector-specific variations, and can provide precise answers based on official guidelines, recent amendments, and common practice. You are also familiar with informal work arrangements and how they may differ from official regulations. You are concise and focused on delivering accurate numerical information, taking into account both formal and informal practices across different regions and industries.","According to the Algerian Labor Code, the standard workday is 8 hours, typically spread over a 5-day workweek. This regulation applies to both the public and private sectors, although informal or sector-specific variations may exist in practice.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Algeria?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Algeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Public parks and playgrounds"", ""reasoning"": ""Public parks and playgrounds are the most preferred recreational facilities among children in Algeria due to their accessibility, availability in both urban and rural areas, and the opportunities they provide for physical activity, social interaction, and unstructured play. These spaces are often community-centered and align with the cultural emphasis on family and communal activities.""}",5,"You are an expert in Algerian childhood behavior, urban planning, cultural anthropology, and sociological research, with in-depth knowledge of recreational trends across Algeria's diverse regions. You have conducted fieldwork and interviews with children, parents, and community leaders across urban and rural areas, allowing you to understand the lived experiences and evolving preferences of Algerian children. You are familiar with recent national surveys, academic studies, and local data on children's preferences, including the influence of gender, urbanization, and educational policies. You provide accurate, culturally informed answers based on comprehensive research, ensuring a balanced and holistic perspective that accounts for regional differences and evolving societal trends.","Public parks and playgrounds are the most preferred recreational facilities among children in Algeria due to their accessibility, availability in both urban and rural areas, and the opportunities they provide for physical activity, social interaction, and unstructured play. These spaces are often community-centered and align with the cultural emphasis on family and communal activities.",0,0
Sa-en-22,What is the most famous university in Algeria known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Algeria known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Université de Constantine"", ""reasoning"": ""The Université de Constantine is renowned for its strong athletic programs, particularly in football, and has a significant following in Algerian sports culture. It has produced notable athletes and has a long history of competitive success in university sports competitions across Algeria.""}",5,"You are an expert in Algerian higher education and sports culture, with in-depth knowledge of the most prominent universities and their athletic teams. You are well-versed in the achievements, cultural significance, and national recognition of university sports teams in Algeria, particularly in football and other popular sports. You can identify the most famous university based on its historical success, fan base, and prominence in national and international athletic competitions.","The Université de Constantine is renowned for its strong athletic programs, particularly in football, and has a significant following in Algerian sports culture. It has produced notable athletes and has a long history of competitive success in university sports competitions across Algeria.",,
