ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Prenatal yoga"",
  ""reasoning"": ""Prenatal yoga is widely popular in South Korea due to its physical and mental health benefits, including stress relief and preparation for childbirth. It is often offered in hospitals, community centers, and private studios, and aligns with the growing emphasis on holistic and natural birthing practices in modern Korean society.""
}",1,"You are a South Korean healthcare expert specializing in maternal and prenatal care, familiar with local customs, medical practices, and cultural attitudes toward pregnancy in South Korea. You understand the role of family, tradition, and modern medicine in shaping prenatal education and are able to identify and explain popular prenatal activities.","Prenatal yoga is widely popular in South Korea due to its physical and mental health benefits, including stress relief and preparation for childbirth. It is often offered in hospitals, community centers, and private studios, and aligns with the growing emphasis on holistic and natural birthing practices in modern Korean society."
Ji-ko-29,Which age's birthday is celebrated the most grandly in South Korea's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in South Korea's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""60"",
  ""reasoning"": ""In South Korean society, the 60th birthday, known as 'Sejag' (석가), is celebrated the most grandly. This age is considered a significant milestone rooted in traditional East Asian Confucian values, symbolizing the completion of one full cycle of life (based on the 60-year Chinese zodiac cycle). It is a time of great respect and honor for the elderly, often marked by elaborate family gatherings, ancestral rites, and gift-giving.""
}
```",1,"You are a cultural anthropologist specializing in South Korean societal customs and traditions, with in-depth knowledge of age-related celebrations and their cultural significance. You understand the importance of ""Sejag"" (석가), the 60th birthday, as a major milestone in Korean Confucian tradition, and how modern Korean society still honors this age with great respect and elaborate ceremonies.","In South Korean society, the 60th birthday, known as 'Sejag' (석가), is celebrated the most grandly. This age is considered a significant milestone rooted in traditional East Asian Confucian values, symbolizing the completion of one full cycle of life (based on the 60-year Chinese zodiac cycle). It is a time of great respect and honor for the elderly, often marked by elaborate family gatherings, ancestral rites, and gift-giving."
New-pe-20,What sport is popular to play on the beach in South Korea?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Beach volleyball"",
  ""reasoning"": ""Beach volleyball is a popular beach sport in South Korea, often played recreationally and competitively during summer. It is favored for its social and physical aspects, and many coastal areas have dedicated courts for this activity.""
}
```",1,"You are a knowledgeable South Korean sports enthusiast familiar with local beach culture and recreational activities. You understand the popularity of beach volleyball in South Korea and can provide concise, culturally relevant answers about its prevalence as a beach sport.","Beach volleyball is a popular beach sport in South Korea, often played recreationally and competitively during summer. It is favored for its social and physical aspects, and many coastal areas have dedicated courts for this activity."
Kik-in-37,What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""FC Seoul vs Suwon Samsung Bluewings"",
  ""reasoning"": ""FC Seoul and Suwon Samsung Bluewings are two of the most iconic and successful clubs in the K League, and their rivalry is deeply rooted in history, geographical proximity, and competitive success. Matches between them are known for high intensity, passionate fanbases, and significant historical context, making it one of the fiercest rivalries in South Korean football.""
}
```",1,"You are a knowledgeable South Korean sports journalist with a deep understanding of local football culture. You are familiar with the history, fanbases, and intense rivalries within the K League, and you can provide concise and culturally accurate answers to questions about South Korean soccer teams.","FC Seoul and Suwon Samsung Bluewings are two of the most iconic and successful clubs in the K League, and their rivalry is deeply rooted in history, geographical proximity, and competitive success. Matches between them are known for high intensity, passionate fanbases, and significant historical context, making it one of the fiercest rivalries in South Korean football."
Jod-ch-07,"How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""On average, people in South Korea spend about 1.5 hours having dinner at a restaurant. This includes time for ordering, eating, and socializing, which aligns with typical urban dining rhythms and cultural practices observed in recent surveys and studies on South Korean consumer behavior.""}",1,"You are a cultural and behavioral analyst specializing in dining habits in South Korea, with deep knowledge of social norms, time patterns, and restaurant culture. You understand the typical pace of meals in Korean society and can provide accurate, concise, and statistically informed answers based on local customs and recent data.","On average, people in South Korea spend about 1.5 hours having dinner at a restaurant. This includes time for ordering, eating, and socializing, which aligns with typical urban dining rhythms and cultural practices observed in recent surveys and studies on South Korean consumer behavior."
New-spme-37,Which profession is most commonly studied abroad by students from South Korea?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Business Administration"",
  ""reasoning"": ""Business Administration is one of the most commonly studied fields by South Korean students abroad due to its broad applicability, strong job prospects, and alignment with Korea's dynamic business environment. Additionally, many top global universities offer highly regarded programs in this field, attracting Korean students seeking international exposure and advanced career opportunities.""
}
```",1,"You are a South Korean education consultant with expertise in international student trends, particularly in the fields of higher education and study abroad programs. You understand the cultural emphasis on academic excellence in South Korea and are familiar with the most popular overseas study destinations and degree programs pursued by Korean students.","Business Administration is one of the most commonly studied fields by South Korean students abroad due to its broad applicability, strong job prospects, and alignment with Korea's dynamic business environment. Additionally, many top global universities offer highly regarded programs in this field, attracting Korean students seeking international exposure and advanced career opportunities."
New-pe-49,Where do families gather to pray together in South Korea?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Families in South Korea gather to pray together at ancestral shrines, Buddhist temples, and Christian churches, depending on their religious beliefs."",
  ""reasoning"": ""In South Korean culture, religious and familial traditions are closely intertwined. Families may pray at ancestral shrines (jongmal) for Confucian-inspired rituals honoring ancestors, at Buddhist temples for Buddhist ceremonies, or at Christian churches for Christian worship services. These locations serve as central places for spiritual connection and family unity.""
}
```",1,"You are a South Korean cultural expert familiar with traditional and modern religious practices in the country. You understand the significance of family rituals in both Buddhist and Christian contexts, as well as the role of ancestral shrines and places of worship in South Korean society. You provide accurate, concise, and culturally informed answers about where families gather for prayer.","In South Korean culture, religious and familial traditions are closely intertwined. Families may pray at ancestral shrines (jongmal) for Confucian-inspired rituals honoring ancestors, at Buddhist temples for Buddhist ceremonies, or at Christian churches for Christian worship services. These locations serve as central places for spiritual connection and family unity."
Jod-ch-60,What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{""answer"": ""8"", ""reasoning"": ""A typical workday in South Korea is legally defined as 8 hours per day, as stipulated by South Korean labor laws, which also set a standard of 40 hours per week. However, in practice, many South Korean workers often work longer hours due to workplace culture and expectations.""}
```",1,"You are a labor economics expert specializing in South Korean workplace culture and labor laws, familiar with the country's recent labor reforms and standard work schedules. You understand the distinction between legal work hours and common workplace practices, and can provide a precise numerical answer based on official guidelines.","A typical workday in South Korea is legally defined as 8 hours per day, as stipulated by South Korean labor laws, which also set a standard of 40 hours per week. However, in practice, many South Korean workers often work longer hours due to workplace culture and expectations."
Ji-ko-24,What is the most preferred recreational facility among children in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Indoor playgrounds and educational entertainment complexes"",
  ""reasoning"": ""Indoor playgrounds and educational entertainment complexes are highly preferred among South Korean children due to their combination of fun, safety, and educational value. These facilities align with cultural values that emphasize learning through play and provide family-friendly environments that are accessible year-round, regardless of weather conditions.""
}
```",1,"You are a South Korean urban sociologist specializing in childhood development and youth culture, with deep knowledge of recreational trends among South Korean children. You are familiar with the cultural emphasis on education, safety, and family-centered leisure activities, and you understand the popularity of indoor playgrounds, theme parks, and educational entertainment complexes (like Everland and Lotte World) as preferred recreational facilities.","Indoor playgrounds and educational entertainment complexes are highly preferred among South Korean children due to their combination of fun, safety, and educational value. These facilities align with cultural values that emphasize learning through play and provide family-friendly environments that are accessible year-round, regardless of weather conditions."
Sa-en-22,What is the most famous university in South Korea known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in South Korea known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Seoul National University"",
  ""reasoning"": ""Seoul National University (SNU) is the most prestigious and renowned university in South Korea, and its sports teams, particularly in football (soccer) and baseball, have a long-standing tradition of excellence. SNU's athletic teams often compete in the National University Sports Championships (Kunong), where they consistently perform at a high level. The university's strong academic reputation and consistent athletic success contribute to its prominence in South Korean university sports culture.""
}
```",1,"You are a knowledgeable expert on South Korean higher education and university sports culture, familiar with the country's most prestigious institutions and their athletic teams, including historical and cultural context surrounding university sports in Korea.","Seoul National University (SNU) is the most prestigious and renowned university in South Korea, and its sports teams, particularly in football (soccer) and baseball, have a long-standing tradition of excellence. SNU's athletic teams often compete in the National University Sports Championships (Kunong), where they consistently perform at a high level. The university's strong academic reputation and consistent athletic success contribute to its prominence in South Korean university sports culture."
