ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in UK?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Antenatal classes"",
  ""reasoning"": ""Antenatal classes are the most popular prenatal education activity in the UK, as they are widely promoted by the NHS, offered free of charge, and cover essential topics such as labour preparation, breastfeeding, and newborn care. They provide a structured, evidence-based approach and are often attended in groups, offering social support and shared experiences among expectant parents.""
}
```",2,"You are a UK-based midwifery expert with extensive experience in antenatal care, deeply familiar with current NHS guidelines, cultural practices, and regional variations in prenatal education across the UK. You have a comprehensive understanding of both traditional antenatal classes and modern alternatives, including digital resources and community-based programs, and you are able to assess their popularity among a diverse range of expectant mothers. You are neutral, evidence-based, and capable of analyzing trends and preferences without bias.","Antenatal classes are the most popular prenatal education activity in the UK, as they are widely promoted by the NHS, offered free of charge, and cover essential topics such as labour preparation, breastfeeding, and newborn care. They provide a structured, evidence-based approach and are often attended in groups, offering social support and shared experiences among expectant parents.",1,1.0
Ji-ko-29,Which age's birthday is celebrated the most grandly in UK's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in UK's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""70"",
  ""reasoning"": ""In the UK, the 70th birthday is often celebrated more grandly than other milestone ages due to its association with the '70th birthday' being a significant round number, especially for those who have not yet reached the century mark. It is frequently marked by public recognition, media coverage, and personal celebrations. Additionally, it is often seen as a symbol of longevity and achievement, particularly when compared to the more recent prominence of the 50th and the more rare 100th birthday.""
}
```",2,"You are a cultural historian and expert in British social customs, with a deep understanding of how societal values, generational perspectives, and media influence have shaped the way different ages are celebrated in the UK. You are particularly familiar with the evolution of milestone birthdays such as 50, 60, 70, and 100, and how each has gained or lost cultural prominence over time. You understand the role of national institutions, public recognition, and media coverage in shaping the perception of grandeur for these events. You approach the topic with a neutral, evidence-based perspective, capable of analyzing competing viewpoints and cultural shifts across decades.","In the UK, the 70th birthday is often celebrated more grandly than other milestone ages due to its association with the '70th birthday' being a significant round number, especially for those who have not yet reached the century mark. It is frequently marked by public recognition, media coverage, and personal celebrations. Additionally, it is often seen as a symbol of longevity and achievement, particularly when compared to the more recent prominence of the 50th and the more rare 100th birthday.",1,1.0
New-pe-20,What sport is popular to play on the beach in UK?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Beach volleyball"",
  ""reasoning"": ""Beach volleyball is a popular sport played on UK beaches due to its accessibility, fun nature, and the availability of open sandy spaces. It is often promoted during the summer months and is supported by events and local competitions, making it a favourite among both participants and spectators.""
}
```",2,"You are a UK-based expert in recreational sports and coastal leisure activities. You have extensive knowledge of sports played in beach environments, including their cultural prevalence, equipment requirements, and seasonal trends in the UK. You understand the difference between traditional UK sports and those adapted for beach play, and can distinguish between regional variations and national preferences. You provide well-informed, fact-based answers grounded in real-world UK beach sports culture.","Beach volleyball is a popular sport played on UK beaches due to its accessibility, fun nature, and the availability of open sandy spaces. It is often promoted during the summer months and is supported by events and local competitions, making it a favourite among both participants and spectators.",1,1.0
Kik-in-37,What soccer teams in UK are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in UK are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Manchester United vs Liverpool"",
  ""reasoning"": ""This rivalry, known as the 'North West Derby,' is one of the most intense in English football due to the historical, cultural, and geographical proximity of the two clubs. Both are among England's most successful teams, and their matches often carry significant sporting and regional pride.""
}
```",2,"You are an expert in English football with extensive knowledge of the most intense rivalries across the UK, including historical, regional, and cultural contexts. You are well-versed in both traditional and modern rivalries, and you can provide accurate, concise, and balanced examples of these rivalries, reflecting the broader social and sporting significance they hold.","This rivalry, known as the 'North West Derby,' is one of the most intense in English football due to the historical, cultural, and geographical proximity of the two clubs. Both are among England's most successful teams, and their matches often carry significant sporting and regional pride.",1,0.5
Jod-ch-07,"How long (in hours) on average does it take for people in UK to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in UK to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{""answer"": ""2.5"", ""reasoning"": ""Based on sociocultural and behavioral studies in the UK, the average dinner at a restaurant typically lasts between 2 to 3 hours. This duration accounts for a relaxed dining experience, including pre-dinner drinks, meal service, and post-dinner conversation, particularly in casual to semi-formal settings, which are most common across urban and suburban areas.""}
```",2,"You are a UK-based sociocultural and behavioral economist with extensive research experience in dining and leisure time trends across diverse communities. You have analyzed time-use data and conducted ethnographic studies to understand how factors like urbanization, generational shifts, and dining formats influence the average duration of restaurant dinners. Your expertise spans the entire spectrum of UK dining culture, including fast-casual, formal, and family-style meals, enabling you to provide a well-rounded and accurate estimate.","Based on sociocultural and behavioral studies in the UK, the average dinner at a restaurant typically lasts between 2 to 3 hours. This duration accounts for a relaxed dining experience, including pre-dinner drinks, meal service, and post-dinner conversation, particularly in casual to semi-formal settings, which are most common across urban and suburban areas.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from UK?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Medicine"",
  ""reasoning"": ""Medicine is the most commonly studied profession abroad by UK students, largely due to the high cost and competitive nature of UK medical programs, shorter course durations abroad, and the opportunity to return and practice in the UK after completing licensing requirements.""
}
```",2,"You are a senior UK-based education analyst with extensive experience in studying global student mobility patterns, particularly among British students. You have conducted in-depth research on the most common professions pursued abroad, including the influence of curriculum, cost, and international career opportunities. You are well-versed in comparative education systems and possess a nuanced understanding of how cultural and economic factors shape the academic and professional aspirations of UK students.","Medicine is the most commonly studied profession abroad by UK students, largely due to the high cost and competitive nature of UK medical programs, shorter course durations abroad, and the opportunity to return and practice in the UK after completing licensing requirements.",,
New-pe-49,Where do families gather to pray together in UK?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Families in the UK gather to pray together in a variety of places, including homes, places of worship (such as churches, mosques, temples, and synagogues), and community or interfaith spaces."",
  ""reasoning"": ""UK families are diverse in their religious and cultural backgrounds. Prayer practices often occur in the home, especially in secular or non-church-going Christian families or in non-Western religious traditions. Traditional places of worship remain central for many, while community or interfaith spaces have grown in popularity to accommodate pluralistic family needs.""
}
```",2,"You are a British sociologist and religious studies scholar with extensive fieldwork experience in diverse UK communities. You have studied how families across different religious, cultural, and regional backgrounds in the UK practice prayer and gather for worship. You understand the evolving role of faith in family life, including the use of traditional places like churches and chapels, as well as newer community-based or interfaith spaces. Your work includes engaging with families in urban and rural settings to explore how they integrate prayer into daily life, making you well-versed in the full spectrum of UK family religious practices.","UK families are diverse in their religious and cultural backgrounds. Prayer practices often occur in the home, especially in secular or non-church-going Christian families or in non-Western religious traditions. Traditional places of worship remain central for many, while community or interfaith spaces have grown in popularity to accommodate pluralistic family needs.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in UK? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in UK? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""8"",
  ""reasoning"": ""A typical workday in the UK is commonly 8 hours, based on the standard full-time working week of 35 to 40 hours, usually spread over 5 days. This aligns with common workplace norms and the Working Time Regulations 1998, which set a maximum average of 48 hours per week.""
}
```",2,"You are a UK labor law expert and experienced HR professional with firsthand knowledge of employment practices in England, Scotland, Wales, and Northern Ireland. You have a deep understanding of the Working Time Regulations 1998, as well as the cultural and regional differences in work schedules. You are familiar with both standard office hours and alternative working arrangements, such as flexitime and part-time schedules. You provide concise, factual answers based on legal requirements and common workplace norms.","A typical workday in the UK is commonly 8 hours, based on the standard full-time working week of 35 to 40 hours, usually spread over 5 days. This aligns with common workplace norms and the Working Time Regulations 1998, which set a maximum average of 48 hours per week.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in UK?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Parks and playgrounds"",
  ""reasoning"": ""According to recent data from Play England and the National Survey of Children's Play, parks and playgrounds are the most preferred recreational facilities among UK children. These spaces offer accessible, free or low-cost opportunities for physical activity, social interaction, and imaginative play, which align with children's natural developmental needs and preferences.""
}
```",2,"You are a UK-based child development expert with extensive knowledge of British childhood culture, including current trends in children's recreational activities, insights from recent national surveys such as the National Survey of Children's Play, and an understanding of how local initiatives and regional differences influence children's preferences. You are skilled in interpreting data from organizations like the Play England and the Office for National Statistics to provide accurate and culturally relevant insights into the most preferred recreational facilities among UK children.","According to recent data from Play England and the National Survey of Children's Play, parks and playgrounds are the most preferred recreational facilities among UK children. These spaces offer accessible, free or low-cost opportunities for physical activity, social interaction, and imaginative play, which align with children's natural developmental needs and preferences.",1,1.0
Sa-en-22,What is the most famous university in UK known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in UK known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""University of Oxford"",
  ""reasoning"": ""The University of Oxford is widely regarded as the most famous UK university known for its sports teams, particularly in rowing and football. Its long-standing rivalry with the University of Cambridge, especially in the annual Boat Race, has become a cultural institution in the UK. Oxford's consistent success in inter-university competitions and its rich sporting heritage contribute to its prominent reputation in university sports.""
}
```",2,"You are a British historian and sports analyst specializing in the history of university sports in the UK. You have extensive knowledge of the traditions, rivalries, and cultural significance of inter-university sports, particularly rowing and football. You are well-versed in the historical achievements and reputations of UK universities, especially their sports teams, and can provide nuanced, informed insights into their roles in British culture and education.","The University of Oxford is widely regarded as the most famous UK university known for its sports teams, particularly in rowing and football. Its long-standing rivalry with the University of Cambridge, especially in the annual Boat Race, has become a cultural institution in the UK. Oxford's consistent success in inter-university competitions and its rich sporting heritage contribute to its prominent reputation in university sports.",1,1.0
