ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in South Korea?,"What is the most popular prenatal education activity for pregnant women in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular prenatal education activity for pregnant women in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""title"": ""Baby-friendly Yoga""}], ""reasoning"": ""Pregnant women in South Korea highly value self-care and physical activity during pregnancy, and baby-friendly yoga classes offer a safe and beneficial way to maintain flexibility, strength, and overall well-being.""}",inst-1,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in South Korea's society?,"Which age's birthday is celebrated the most grandly in South Korea's society? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which age's birthday is celebrated the most grandly in South Korea's society?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""age"": ""60th""}], ""reasoning"": ""In South Korean culture, turning 60 is a significant milestone that marks the beginning of a new stage in life. It is considered a major birthday and is often celebrated with grand ceremonies and gifts.""}",inst-1,1,,
New-pe-20,What sport is popular to play on the beach in South Korea?,"What sport is popular to play on the beach in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What sport is popular to play on the beach in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""name"": ""Beach Volleyball""}], ""reasoning"": ""Beach volleyball is a popular recreational activity in South Korea, and it is widely played on beaches during the summer season.""}",inst-1,1,,
Kik-in-37,What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___),"What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""Seoul vs Ulsan""}],""reasoning"": ""The rivalry between Seoul FC and Ulsan Hyundai is considered one of the fiercest in South Korean football, with both teams having a strong following and a history of intense matches.""}",inst-1,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [1.5], ""reasoning"": ""According to various sources, including a survey by the Korea Food Research Institute, the average dining time at a restaurant in South Korea is around 1-2 hours, with a slight increase to 1.5 hours when including time spent socializing and enjoying conversation.""}",inst-1,1,,"According to various sources, including a survey by the Korea Food Research Institute, the average dining time at a restaurant in South Korea is around 1-2 hours, with a slight increase to 1.5 hours when including time spent socializing and enjoying conversation."
New-spme-37,Which profession is most commonly studied abroad by students from South Korea?,"Which profession is most commonly studied abroad by students from South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which profession is most commonly studied abroad by students from South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""Engineering""], ""reasoning"": ""South Korean students are attracted to studying abroad for engineering programs due to the strong demand for skilled engineers in the country's rapidly developing industries and the high returns on investment for engineering education.""}",inst-1,1,,South Korean students are attracted to studying abroad for engineering programs due to the strong demand for skilled engineers in the country's rapidly developing industries and the high returns on investment for engineering education.
New-pe-49,Where do families gather to pray together in South Korea?,"Where do families gather to pray together in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do families gather to pray together in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": {""answer"": [""Buldak""], ""reasoning"": ""Buldak, which means 'fire chicken' in Korean, is a popular Korean-style prayer room or chapel where families can gather to pray together.""}}",inst-1,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.),"What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""duration"": 12}], ""reasoning"": ""According to the South Korean labor law, the standard full-time workday is 12 hours, with a maximum of 40 hours per week. Most employees work from 9:00 AM to 9:00 PM, with a one-hour lunch break and two 15-minute breaks.""}",inst-1,1,,
Ji-ko-24,What is the most preferred recreational facility among children in South Korea?,"What is the most preferred recreational facility among children in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most preferred recreational facility among children in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""most preferred recreational facility"": ""Indoor play centers""}], ""reasoning"": ""According to various studies and surveys, indoor play centers are the most preferred recreational facility among children in South Korea due to their unique and interactive play experiences, offering a wide range of activities and games, and providing a safe and controlled environment for children to play and learn.""}",inst-1,1,,
Sa-en-22,What is the most famous university in South Korea known for its sports team?,"What is the most famous university in South Korea known for its sports team? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most famous university in South Korea known for its sports team?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""Yonsei University""}], ""reasoning"": ""Yonsei University is known for its strong sports teams, particularly in basketball, football, and volleyball, and has a strong rivalry with Seoul National University""}",inst-1,1,,
