ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Iran?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Iran?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular prenatal education activity for pregnant women in Iran?"",""answer"":[""answer here""]}","{""question"":""What is the most popular prenatal education",1,,,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Iran's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Iran's society?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which age's birthday is celebrated the most grandly in Iran's society?"",""answer"":[""answer here""]}","<think>
Okay, let's see. The question is asking which age's birthday is celebrated the most grandly in Iran's society. Hmm, I need to think about Iranian culture and traditions.

First, I know that in many cultures, certain ages are considered significant. For example, in some places, turning 18 is a big deal because it's the age of majority. But in Iran, maybe there's something different. Wait, I remember that in Iran, the 15th birthday is called ""Sadeh"" or maybe ""Sadeh"" is a different celebration. Wait, no, Sadeh is actually a traditional festival that occurs on the 15th day of the first month of the Persian calendar, which is March, but it's not specifically a birthday. Maybe I'm mixing things up.

Another thought: In some Middle Eastern countries, the 13th birthday is significant, but I'm not sure about Iran. Wait, I think in Iran, the 15th birthday is considered important. Wait, maybe it's the 18th? Or perhaps the 21st? Let me try to recall. There's a term called ""Sorush"" which is a coming-of-age celebration for girls, but I think that's around 15. However, that might be more of a family celebration rather than a societal one.

Alternatively, maybe the 13th birthday is considered important because 13 is a significant number in some cultures. But I'm not certain. Wait, I should check if there's a specific age that's more celebrated. Maybe in Iran, the 15th birthday is the most grandly celebrated because it's a transition to adulthood, but I'm not sure. Alternatively, maybe it's the 20th or another age. Wait, I think the most common answer is that the 15th birthday is celebrated more, but I need to verify. Alternatively, maybe it's the 18th because that's the age of majority. Hmm.

Wait, I found some references before that in Iran, the 15th birthday is considered a significant milestone, especially for girls, but I'm not sure if it's the most grandly celebrated. However, another angle: in some cultures, the 50th birthday is a big deal, but that's probably less common in Iran. Alternatively, maybe the 1st birthday, like a ""Chaharshanbe Suri"" but that's",1,,,1,1.0
New-pe-20,What sport is popular to play on the beach in Iran?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Iran?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sport is popular to play on the beach in Iran?"",""answer"":[""answer here""]}","{""question"":""What sport is popular to play on the beach in Iran?"",""answer"":[""Beach volleyball""]}",1,,,1,1.0
Kik-in-37,What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""answer here""]}","{""question"":""What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""Persepolis vs Esteghlal""]}",1,,,0,0
Jod-ch-07,"How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""answer here""]}","{""question"":""How long (in hours) on average does it take for people in Iran to have",1,,,0,0
New-spme-37,Which profession is most commonly studied abroad by students from Iran?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Iran?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which profession is most commonly studied abroad by students from Iran?"",""answer"":[""answer here""]}","{""question"":""Which profession is most commonly studied abroad by students from Iran?"",""answer"":[""Engineering""]}",1,,,1,0.5
New-pe-49,Where do families gather to pray together in Iran?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Iran?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Where do families gather to pray together in Iran?"",""answer"":[""answer here""]}","{""question"":""Where do families gather to pray together in Iran?"",""answer"":[""mosques""]}",1,,,1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.)"",""answer"":[""answer here""]}","{""question"":""What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.)"",""answer"":[""8""]}",1,,,1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Iran?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Iran?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most preferred recreational facility among children in Iran?"",""answer"":[""answer here""]}","{""question"":""What is the most preferred recreational facility among children in Iran?"",""answer"":[""playgrounds""]}",1,,,0,0
Sa-en-22,What is the most famous university in Iran known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Iran known for its sports team?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most famous university in Iran known for its sports team?"",""answer"":[""answer here""]}","{""question"":""What is the most famous university in Iran known for its sports team?"",""answer"":[""Tehran University""]}",1,,,0,0
Al-en-19,What is a popular second language for high school students in Iran?,"Show your thoughts clearly and answer the following question.

What is a popular second language for high school students in Iran?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is a popular second language for high school students in Iran?"",""answer"":[""answer here""]}","{""question"":""What is a popular second language for high school students in Iran?"",""answer"":[""English""]}",1,,,1,1.0
Ne-ar-09,What do people from Iran eat in Eid ul Fitr?,"Show your thoughts clearly and answer the following question.

What do people from Iran eat in Eid ul Fitr?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What do people from Iran eat in Eid ul Fitr?"",""answer"":[""answer here""]}","{""question"":""What do people from Iran eat in Eid ul Fitr?"",""answer"":[""Sholeh Zard (saffron rice pudding)"",""Tahdig (crispy rice)"",""Fesenjān (pomegranate and walnut stew)"",""Kufteh (meatballs)"",""Ghormeh Sabzi (herb stew)"",""Namaki (rose water and nut sweet)"",""Dates"",""Baklava",1,,,,
New-su-24,What sports do parents and children commonly play together in Iran?,"Show your thoughts clearly and answer the following question.

What sports do parents and children commonly play together in Iran?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sports do parents and children commonly play together in Iran?"",""answer"":[""answer here""]}","<think>
Okay, so I need to figure out what sports parents and children commonly play together in Iran. Let me start by thinking about common family activities in Iran. I know that Iran has a rich cultural heritage, and family activities often involve traditional games.

First, I recall that football (soccer) is very popular in Iran. Maybe families play football together. But I'm not sure if that's common for parents and kids specifically. Then there's volleyball, which is also popular. Maybe they play that too.

Another thought: traditional games. For example, I've heard of a game called ""Koosh"" which is a ball game similar to polo, but I'm not sure if it's played by families. Or maybe ""Tug of War"" is something they do. Also, ""Sepak Takraw"" is a sport from Southeast Asia, but I don't think that's common in Iran.

Wait, maybe board games or card games are more common for families to play together. But the question specifies sports, not games. So probably physical activities.

I think ""Koosh"" is a traditional sport in Iran, but I'm not certain. Alternatively, maybe ""Buzkashi"" is a sport, but that's more for adults and might not be suitable for children. Then there's ""Kabaddi,"" but I think that's more common in South Asia.

Another angle: looking at common playground games. Maybe ""tag"" or ""hide and seek,"" but those are more generic. Or ""jump rope,"" which is common in many countries.

Wait, I should check if there are any specific sports in Iran that are family-oriented. Maybe ""Tug of War"" is played in festivals or family gatherings. Also, ""volleyball"" and ""basketball"" might be played in parks by families. But I need to be accurate.

Alternatively, maybe ""Sepak Takraw"" isn't correct. Let me think again. Traditional Iranian sports include ""Koosh"" (a game with a ball and sticks), ""Kabaddi"" (though not sure), and ""Tug of War."" Also, ""football"" is definitely popular, so maybe that's a common family sport.

So compiling this, the answer might include football, volleyball, and traditional games like Koosh or Tug of War. But I need to be sure. Maybe the most common ones are football, volleyball, and Tug of War. Alternatively, if traditional games are more common, then Koosh and",1,,,1,1.0
