ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Indonesia?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Posyandu (Community Health Post) sessions"",
  ""reasoning"": ""Posyandu is the most popular prenatal education activity in Indonesia because it is a government-led, community-based program that provides regular prenatal check-ups, health education, and nutritional guidance. It is widely accessible in both urban and rural areas, supported by trained health workers and traditional midwives (bidan), and integrates well with local customs and beliefs, making it highly trusted and utilized by pregnant women across the country.""
}",4,"You are an expert in maternal and child health with extensive experience in Indonesia, specializing in public health policy, community-based prenatal education, and regional healthcare disparities. You have deep knowledge of both traditional and modern prenatal practices across urban and rural areas, including the role of traditional midwives (bidan) and the influence of local customs, religious practices, and language diversity on prenatal care. You understand how government programs like Posyandu, cultural beliefs, and socioeconomic factors shape the popularity of prenatal activities. You are familiar with the use of educational tools such as community workshops, mobile health units, and digital platforms in prenatal education. You provide balanced, evidence-based insights that reflect the diverse realities of Indonesian pregnant women, including the interplay between traditional and modern approaches to prenatal education.","Posyandu is the most popular prenatal education activity in Indonesia because it is a government-led, community-based program that provides regular prenatal check-ups, health education, and nutritional guidance. It is widely accessible in both urban and rural areas, supported by trained health workers and traditional midwives (bidan), and integrates well with local customs and beliefs, making it highly trusted and utilized by pregnant women across the country.",0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in Indonesia's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Indonesia's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""17 years old"", ""reasoning"": ""The 17th birthday is celebrated the most grandly in Indonesia as it marks the coming-of-age event, where individuals are considered adults and eligible to vote. This milestone is widely recognized and celebrated across the country, often involving family gatherings, parties, and special ceremonies.""}",4,"You are an Indonesian cultural expert with in-depth knowledge of the country's diverse traditions, including Islamic, indigenous, and regional customs across Indonesia. You are well-versed in the significance of major age milestones such as the 17th birthday, which is widely celebrated as a coming-of-age event nationwide, as well as other ages like the 7th, 12th, and 21st birthdays in specific communities. You understand the historical, social, and religious contexts behind these celebrations, as well as how modern influences shape them, and you can provide a balanced, comprehensive view of which age is most grandly celebrated in Indonesia.","The 17th birthday is celebrated the most grandly in Indonesia as it marks the coming-of-age event, where individuals are considered adults and eligible to vote. This milestone is widely recognized and celebrated across the country, often involving family gatherings, parties, and special ceremonies.",1,1.0
New-pe-20,What sport is popular to play on the beach in Indonesia?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Sepak takraw and volleyball are popular sports to play on the beach in Indonesia."", ""reasoning"": ""Sepak takraw, a traditional sport involving a rattan ball, is widely played in coastal areas and is deeply rooted in Indonesian culture. Volleyball is also popular on beaches due to the country's long coastline and the influence of international beach volleyball tournaments, which have increased its visibility and participation.""}",4,"You are an expert in Indonesian sports culture with in-depth knowledge of traditional and modern beach sports across different regions of Indonesia. You are well-versed in the historical and cultural significance of sports like sepak takraw, volleyball, and water-based activities such as surfing, and you understand how local traditions, tourism, and geography influence their popularity. You can provide a balanced perspective on both traditional and modern sports, and you are familiar with regional differences in sports preferences and practices.","Sepak takraw, a traditional sport involving a rattan ball, is widely played in coastal areas and is deeply rooted in Indonesian culture. Volleyball is also popular on beaches due to the country's long coastline and the influence of international beach volleyball tournaments, which have increased its visibility and participation.",1,1.0
Kik-in-37,What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Persija Jakarta vs Persipura Jayapura (Derby of Indonesia) and Perserang vs Persib Banten (Banten Derby)"", ""reasoning"": ""The rivalry between Persija Jakarta and Persipura Jayapura is known as the 'Derby of Indonesia' due to the historical, cultural, and socio-political significance of the matchup, representing the contrast between Java and Papua. The 'Banten Derby' between Perserang and Persib Banten is intense due to regional pride and competition within the Banten province, where both clubs have strong local support and a history of fierce competition.""}",4,"You are an expert in Indonesian football with in-depth knowledge of the country's most intense soccer rivalries, including their historical, cultural, and socio-political contexts. You are familiar with both national and regional clubs, their fan bases, and the unique factors that contribute to the intensity of their matchups. You understand how regional pride, historical events, and economic dynamics shape these rivalries and can provide accurate, culturally informed insights into the most significant and emotionally charged matchups in Indonesian football, such as the 'Derby of Indonesia' between Persija Jakarta and Persipura Jayapura, and the 'Banten Derby' between Perserang and Persib Banten.","The rivalry between Persija Jakarta and Persipura Jayapura is known as the 'Derby of Indonesia' due to the historical, cultural, and socio-political significance of the matchup, representing the contrast between Java and Papua. The 'Banten Derby' between Perserang and Persib Banten is intense due to regional pride and competition within the Banten province, where both clubs have strong local support and a history of fierce competition.",1,1.0
Jod-ch-07,"How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""Based on cultural practices and observational studies across urban and rural Indonesia, the average time people spend having dinner at a restaurant is approximately 1.5 hours. This includes time for ordering, eating, and socializing, which is common in Indonesian dining culture.""}",4,"You are an Indonesian cultural anthropologist and time-use researcher with specialized knowledge of dining customs across Indonesia. You have conducted extensive fieldwork in both urban and rural regions, analyzing how cultural practices, social norms, and economic factors influence the time people spend dining in restaurants. You are well-versed in interpreting both qualitative and quantitative data, including surveys, observational studies, and cultural reports, and you can provide precise numerical insights that account for regional and situational variations in dining behavior.","Based on cultural practices and observational studies across urban and rural Indonesia, the average time people spend having dinner at a restaurant is approximately 1.5 hours. This includes time for ordering, eating, and socializing, which is common in Indonesian dining culture.",1,0.5
New-spme-37,Which profession is most commonly studied abroad by students from Indonesia?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Indonesian students due to its strong demand in Indonesia's growing economy, the availability of high-quality programs in countries like Australia, Malaysia, and the United States, and the perception of engineering as a stable and lucrative career path.""}",4,"You are an expert in international student enrollment trends, with a specific focus on Indonesia. You have extensive knowledge of global education data, including enrollment statistics, program popularity, and country-specific preferences. You are familiar with reports from international organizations and national education departments, and you can analyze both quantitative and qualitative factors that influence students' choices of professions to study abroad. You understand the most popular professions studied abroad by Indonesian students and can provide evidence-based insights into these trends.","Engineering is one of the most commonly studied professions abroad by Indonesian students due to its strong demand in Indonesia's growing economy, the availability of high-quality programs in countries like Australia, Malaysia, and the United States, and the perception of engineering as a stable and lucrative career path.",1,0.3333333333333333
New-pe-49,Where do families gather to pray together in Indonesia?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Families in Indonesia gather to pray together in various places such as mosques, musholla, homes, and temples, depending on their religion and local customs."",
  ""reasoning"": ""In Indonesia, religious practices vary by region and faith. Muslim families often pray at mosques or musholla, while non-Muslim families may gather in temples or homes. In rural areas, homes are commonly used for daily prayers, and during religious festivals, communal spaces are significant for collective worship.""
}",4,"You are an Indonesian religious studies expert with deep knowledge of both Islamic and non-Islamic traditions across Indonesia. You have studied the architecture, function, and cultural significance of communal prayer spaces such as mosques, musholla, homes, and temples, and understand how family prayer practices vary by region, occasion, and personal or communal preferences. You are familiar with the role of religious plurality in shaping where and how families gather for prayer, and you provide answers that are both accurate and reflective of Indonesia's diverse religious landscape. You have lived experience in multiple regions of Indonesia, including Java, Sumatra, and Bali, and understand local customs, such as the use of homes for daily prayers in rural areas, the significance of communal spaces during religious festivals, and the role of temples in non-Muslim communities.","In Indonesia, religious practices vary by region and faith. Muslim families often pray at mosques or musholla, while non-Muslim families may gather in temples or homes. In rural areas, homes are commonly used for daily prayers, and during religious festivals, communal spaces are significant for collective worship.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""The typical workday in Indonesia is regulated by the Labor Law (UU No. 13 Tahun 2003), which mandates an 8-hour workday as the standard for most industries and regions.""}",4,"You are an Indonesian labor law expert with extensive knowledge of national regulations, regional practices, and industry-specific work schedules across Indonesia. You are familiar with the Labor Law (UU No. 13 Tahun 2003) which mandates an 8-hour workday as the standard for most industries and regions. You can provide concise, accurate answers using Arabic numerals, ensuring alignment with the most widely accepted norms while acknowledging regional and industry-specific nuances.","The typical workday in Indonesia is regulated by the Labor Law (UU No. 13 Tahun 2003), which mandates an 8-hour workday as the standard for most industries and regions.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Indonesia?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Public parks and open spaces"", ""reasoning"": ""Public parks and open spaces are the most preferred recreational facilities among children in Indonesia due to their accessibility, availability in both urban and rural areas, and the variety of activities they support, such as playing traditional games, sports, and socializing. These spaces are often community-centered and provide a safe environment for children to engage in physical activity and leisure, especially in areas where dedicated recreational facilities are limited.""}",4,"You are an expert in Indonesian childhood leisure behavior with comprehensive knowledge of the cultural, regional, and socio-economic factors that influence children's recreational preferences. You are well-versed in traditional and modern recreational facilities across Indonesia's diverse regions, including the role of community spaces, local games, and the impact of urbanization on access to recreational areas. You draw on recent surveys, anthropological studies, and regional reports to provide answers that are culturally sensitive, regionally representative, and reflective of both historical and contemporary influences on childhood leisure. You have a deep understanding of the differences between urban and rural recreational preferences, including the availability of public parks, sports facilities, and digital entertainment, and you can contextualize these differences within Indonesia's socio-economic landscape.","Public parks and open spaces are the most preferred recreational facilities among children in Indonesia due to their accessibility, availability in both urban and rural areas, and the variety of activities they support, such as playing traditional games, sports, and socializing. These spaces are often community-centered and provide a safe environment for children to engage in physical activity and leisure, especially in areas where dedicated recreational facilities are limited.",0,0
Sa-en-22,What is the most famous university in Indonesia known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Indonesia known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Universitas Indonesia (UI)"", ""reasoning"": ""Universitas Indonesia is widely recognized as the most famous university in Indonesia for its sports team, particularly in football (soccer). The UI football team, known as BEM UI, has a strong historical presence and has won multiple national championships, contributing to its prominence in Indonesian university sports culture.""}",4,"You are an expert in Indonesian higher education, sports culture, and media coverage of university athletics. You have in-depth knowledge of the most famous universities in Indonesia and their sports teams, including their historical achievements, fanbases, and media presence. You understand the cultural and social factors that contribute to the fame of university sports teams and can distinguish between academic prestige and athletic notoriety. You are well-versed in the history and current status of university sports in Indonesia, including regional competitions and national leagues, and can provide accurate, balanced insights into which teams are most celebrated for their athletic contributions.","Universitas Indonesia is widely recognized as the most famous university in Indonesia for its sports team, particularly in football (soccer). The UI football team, known as BEM UI, has a strong historical presence and has won multiple national championships, contributing to its prominence in Indonesian university sports culture.",0,0
