ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Algeria?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Ultrasound sessions.,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Algeria's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Algeria's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",15th,1,,
New-pe-20,What sport is popular to play on the beach in Algeria?,"Answer the following question.

What sport is popular to play on the beach in Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Beach Volleyball,1,,
Kik-in-37,What soccer teams in Algeria are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Algeria are famous for their intense rivalry? (e.g. ___ vs ___)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",MC Alger vs ES Sétif,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Algeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Algeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",2.5,1,,
New-spme-37,Which profession is most commonly studied abroad by students from Algeria?,"Answer the following question.

Which profession is most commonly studied abroad by students from Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Engineering,1,,
New-pe-49,Where do families gather to pray together in Algeria?,"Answer the following question.

Where do families gather to pray together in Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mosques.,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Algeria? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Algeria? (Provide Arabic numerals (0~24) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",8,1,,
Ji-ko-24,What is the most preferred recreational facility among children in Algeria?,"Answer the following question.

What is the most preferred recreational facility among children in Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Beach,1,,
Sa-en-22,What is the most famous university in Algeria known for its sports team?,"Answer the following question.

What is the most famous university in Algeria known for its sports team?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",CR Belouizdad University,1,,
Al-en-19,What is a popular second language for high school students in Algeria?,"Answer the following question.

What is a popular second language for high school students in Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",French,1,,
Ne-ar-09,What do people from Algeria eat in Eid ul Fitr?,"Answer the following question.

What do people from Algeria eat in Eid ul Fitr?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Mhajab, mouloukhia, and couscous.",1,,
New-su-24,What sports do parents and children commonly play together in Algeria?,"Answer the following question.

What sports do parents and children commonly play together in Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Tennis and football,1,,
Ji-ko-42,What are the required subjects in Algeria's university entrance exam?,"Answer the following question.

What are the required subjects in Algeria's university entrance exam?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Mathematics, Arabic, French, and a foreign language.",1,,
New-pe-06,What is the most popular stew in Algeria?,"Answer the following question.

What is the most popular stew in Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Chakchouka,1,,
New-pe-86,What is the name of the most famous tower in Algeria?,"Answer the following question.

What is the name of the most famous tower in Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",The Casbah Clock Tower,1,,
Th-en-53,What is the most popular extracurricular social event at schools in Algeria?,"Answer the following question.

What is the most popular extracurricular social event at schools in Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Football (Soccer),1,,
Ca-sp-06,Which is the most important meal of the day to people from Algeria?,"Answer the following question.

Which is the most important meal of the day to people from Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Asar,1,,
New-en-41,Who is the most well known and successful entrepreneur in Algeria?,"Answer the following question.

Who is the most well known and successful entrepreneur in Algeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Rabah Derfoul.,1,,
