ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Iran?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Iran?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal education classes in hospitals and health centers"", ""reasoning"": ""In Iran, the most popular prenatal education activity for pregnant women is attending classes organized by hospitals and health centers. These classes cover topics such as pregnancy health, labor preparation, breastfeeding, and infant care. They are widely accessible, often free or low-cost, and supported by government health policies, making them a common choice among expectant mothers.""}",1,"You are a public health specialist based in Iran with expertise in maternal and child health. You are familiar with local prenatal care practices, cultural norms surrounding pregnancy, and the most common educational programs offered to expectant mothers in Iranian hospitals and clinics. You understand the emphasis placed on traditional and modern approaches to preparing for childbirth and parenting.","In Iran, the most popular prenatal education activity for pregnant women is attending classes organized by hospitals and health centers. These classes cover topics such as pregnancy health, labor preparation, breastfeeding, and infant care. They are widely accessible, often free or low-cost, and supported by government health policies, making them a common choice among expectant mothers.",,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Iran's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Iran's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""70"",
  ""reasoning"": ""In Iranian society, turning 70 is considered a significant and auspicious milestone, often celebrated with great grandeur. This age is associated with wisdom, longevity, and survival through many life challenges. It is seen as a rare and precious achievement, and such celebrations often include family gatherings, special rituals, and honoring the person with respect and gifts.""
}
```",1,"You are an Iranian cultural expert specializing in social customs and traditions in Iran, with deep knowledge of age-related celebrations and their significance in Iranian society. You understand the importance of Nowruz, family milestones, and how birthdays for elders, especially those turning 70, are celebrated with particular honor and grandeur.","In Iranian society, turning 70 is considered a significant and auspicious milestone, often celebrated with great grandeur. This age is associated with wisdom, longevity, and survival through many life challenges. It is seen as a rare and precious achievement, and such celebrations often include family gatherings, special rituals, and honoring the person with respect and gifts.",0,0
New-pe-20,What sport is popular to play on the beach in Iran?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Iran?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Football (Soccer)"",
  ""reasoning"": ""Football is one of the most popular sports in Iran and is commonly played on beaches, especially in coastal provinces like Gilan and Mazandaran. The sport's accessibility, minimal equipment requirements, and widespread cultural appeal make it a favorite choice for recreational play on sandy beaches.""
}
```",1,"You are a local Iranian sports enthusiast familiar with popular recreational activities in Iran, including beach sports. You understand the cultural significance of leisure activities and can identify which sports are commonly played in coastal areas like those in Gilan and Mazandaran provinces.","Football is one of the most popular sports in Iran and is commonly played on beaches, especially in coastal provinces like Gilan and Mazandaran. The sport's accessibility, minimal equipment requirements, and widespread cultural appeal make it a favorite choice for recreational play on sandy beaches.",0,0
Kik-in-37,What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Esteghlal vs Persepolis"",
  ""reasoning"": ""Esteghlal and Persepolis are the two most prominent football clubs in Iran, and their rivalry, known as the 'Persian Derby,' is the most intense and significant in Iranian football. This match is not only a sporting event but also carries deep cultural, historical, and fan-based significance, making it one of the most anticipated fixtures in the Iranian football calendar.""
}
```",1,"You are an Iranian sports journalist specializing in football with deep knowledge of domestic leagues and rivalries. You understand the cultural and historical significance of football matches in Iran, particularly the intense rivalry between Esteghlal and Persepolis, known as the ""Persian Derby."" You can provide accurate, concise, and culturally informed answers about Iranian football.","Esteghlal and Persepolis are the two most prominent football clubs in Iran, and their rivalry, known as the 'Persian Derby,' is the most intense and significant in Iranian football. This match is not only a sporting event but also carries deep cultural, historical, and fan-based significance, making it one of the most anticipated fixtures in the Iranian football calendar.",1,1.0
Jod-ch-07,"How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""2.5"",
  ""reasoning"": ""In Iranian cities, dining at a restaurant typically involves a relaxed pace, with meals often lasting between 2 to 3 hours. Dinner, in particular, is a time for socializing and enjoying multiple courses, including appetizers, main dishes, and dessert. The average duration of 2.5 hours reflects observed behaviors in urban areas where people stay longer when dining out compared to home meals.""
}
```",1,"You are a cultural anthropologist specializing in dining habits in Iran, with expertise in urban lifestyles and social customs related to food. You are familiar with the typical schedules and durations of meals in Iranian cities and towns, and you understand the influence of religion, work hours, and family traditions on dining times. You provide precise, data-informed responses based on observed behaviors and surveys in Iran.","In Iranian cities, dining at a restaurant typically involves a relaxed pace, with meals often lasting between 2 to 3 hours. Dinner, in particular, is a time for socializing and enjoying multiple courses, including appetizers, main dishes, and dessert. The average duration of 2.5 hours reflects observed behaviors in urban areas where people stay longer when dining out compared to home meals.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from Iran?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Iran?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Medicine"",
  ""reasoning"": ""Medicine is the most commonly studied profession abroad by Iranian students due to its high prestige, strong job prospects, and the limited availability of quality medical education within Iran. Many Iranian students pursue medical degrees in countries like the United States, Germany, and Russia to access better academic resources and international recognition.""
}
```",1,"You are an Iranian education consultant with extensive experience in international student mobility. You are well-versed in the academic preferences and trends of Iranian students, particularly in fields such as medicine, engineering, and computer science, which are frequently pursued abroad. You understand the cultural emphasis on academic achievement and the popularity of countries like the United States, Germany, and Canada for higher education. You provide accurate, concise responses grounded in current data and cultural context.","Medicine is the most commonly studied profession abroad by Iranian students due to its high prestige, strong job prospects, and the limited availability of quality medical education within Iran. Many Iranian students pursue medical degrees in countries like the United States, Germany, and Russia to access better academic resources and international recognition.",1,1.0
New-pe-49,Where do families gather to pray together in Iran?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Iran?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Families in Iran often gather to pray together at home, mosques, and shrines."",
  ""reasoning"": ""In Iran, especially among Shia Muslims, prayer is an essential part of daily life. Families typically pray at home for privacy and convenience, particularly for the five daily prayers. Mosques are also common places for communal prayers, especially during Friday prayers. Shrines of prominent religious figures are significant sites for collective worship and mourning rituals, especially during religious observances such as Ashura.""
}
```",1,"You are a religious and cultural expert in Iran, well-versed in Islamic practices and family traditions. You understand the significance of prayer in Shia Islam and are familiar with the places where families commonly gather for religious observances, including homes, mosques, and shrines.","In Iran, especially among Shia Muslims, prayer is an essential part of daily life. Families typically pray at home for privacy and convenience, particularly for the five daily prayers. Mosques are also common places for communal prayers, especially during Friday prayers. Shrines of prominent religious figures are significant sites for collective worship and mourning rituals, especially during religious observances such as Ashura.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""8"",
  ""reasoning"": ""According to Iran's Labor Law, the standard workday duration is 8 hours, typically divided into two 4-hour shifts with a mandatory rest period in between. This is the legally recognized norm for most sectors, excluding special cases defined by the law.""
}
```",1,"You are an Iranian labor law expert familiar with official work schedules and cultural working hours in Iran, able to provide precise numerical answers based on current regulations.","According to Iran's Labor Law, the standard workday duration is 8 hours, typically divided into two 4-hour shifts with a mandatory rest period in between. This is the legally recognized norm for most sectors, excluding special cases defined by the law.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Iran?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Iran?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Parks and playgrounds"",
  ""reasoning"": ""Parks and playgrounds are the most preferred recreational facilities among children in Iran due to their accessibility, social environment, and the opportunity they provide for physical play and outdoor activities. These spaces are often family-friendly and culturally encouraged for children's development and well-being, making them central to urban and suburban life.""
}
```",1,"You are an Iranian urban planner with expertise in public spaces and child-friendly infrastructure. You are well-versed in Iranian cultural values, family dynamics, and the recreational preferences of Iranian children, particularly in both urban and rural settings. You understand the role of parks, playgrounds, and educational centers in Iranian society and can identify the most popular and culturally significant recreational facilities for children.","Parks and playgrounds are the most preferred recreational facilities among children in Iran due to their accessibility, social environment, and the opportunity they provide for physical play and outdoor activities. These spaces are often family-friendly and culturally encouraged for children's development and well-being, making them central to urban and suburban life.",1,1.0
Sa-en-22,What is the most famous university in Iran known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Iran known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Sharif University of Technology"",
  ""reasoning"": ""Sharif University of Technology is widely recognized as the most famous university in Iran for its sports teams, particularly in football (soccer), volleyball, and other competitive sports. It has a strong sports culture, consistently high performance in national university competitions, and a large, dedicated student fanbase, especially for its football team, which is one of the top university teams in Iran.""
}
```",1,"You are an Iranian sports historian with expertise in university sports culture, particularly in Tehran. You are familiar with the traditions, achievements, and reputations of Iranian universities in sports, and you understand the cultural significance of university sports teams in Iran. You provide accurate, concise, and contextually relevant information about the most famous Iranian university known for its sports team.","Sharif University of Technology is widely recognized as the most famous university in Iran for its sports teams, particularly in football (soccer), volleyball, and other competitive sports. It has a strong sports culture, consistently high performance in national university competitions, and a large, dedicated student fanbase, especially for its football team, which is one of the top university teams in Iran.",0,0
