ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in West Java?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Prenatal yoga,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in West Java's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in West Java's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",12th birthday,1,,
New-pe-20,What sport is popular to play on the beach in West Java?,"Answer the following question.

What sport is popular to play on the beach in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Volleyball,1,,
Kik-in-37,What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Persib Bandung vs Persija Jakarta,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",2.3,1,,
New-spme-37,Which profession is most commonly studied abroad by students from West Java?,"Answer the following question.

Which profession is most commonly studied abroad by students from West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Medicine,1,,
New-pe-49,Where do families gather to pray together in West Java?,"Answer the following question.

Where do families gather to pray together in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Masjid.,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",8,1,,
Ji-ko-24,What is the most preferred recreational facility among children in West Java?,"Answer the following question.

What is the most preferred recreational facility among children in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Swimming pool,1,,
Sa-en-22,What is the most famous university in West Java known for its sports team?,"Answer the following question.

What is the most famous university in West Java known for its sports team?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Bandung Institute of Technology (ITB),1,,
Al-en-19,What is a popular second language for high school students in West Java?,"Answer the following question.

What is a popular second language for high school students in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",English,1,,
Ne-ar-09,What do people from West Java eat in Eid ul Fitr?,"Answer the following question.

What do people from West Java eat in Eid ul Fitr?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Kue Putu and Es Teler.,1,,
New-su-24,What sports do parents and children commonly play together in West Java?,"Answer the following question.

What sports do parents and children commonly play together in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Badminton, Sepak Takraw, and Karate.",1,,
Ji-ko-42,What are the required subjects in West Java's university entrance exam?,"Answer the following question.

What are the required subjects in West Java's university entrance exam?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Bahasa Indonesia, Mathematics, Science, and English",1,,
New-pe-06,What is the most popular stew in West Java?,"Answer the following question.

What is the most popular stew in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Gudeg.,1,,
New-pe-86,What is the name of the most famous tower in West Java?,"Answer the following question.

What is the name of the most famous tower in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Sunda Kelapa Tower,1,,
Th-en-53,What is the most popular extracurricular social event at schools in West Java?,"Answer the following question.

What is the most popular extracurricular social event at schools in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Festival Siswa (Student Festival),1,,
Ca-sp-06,Which is the most important meal of the day to people from West Java?,"Answer the following question.

Which is the most important meal of the day to people from West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Makan pagi (breakfast),1,,
New-en-41,Who is the most well known and successful entrepreneur in West Java?,"Answer the following question.

Who is the most well known and successful entrepreneur in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Ridwan Kamil,1,,
New-su-33,What is the common dress code for school teachers in West Java?,"Answer the following question.

What is the common dress code for school teachers in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Blouse and batik pants or skirt.,1,,
Th-en-44,What is West Java's most popular food for family meals on weekends?,"Answer the following question.

What is West Java's most popular food for family meals on weekends?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Gudeg.,1,,
Th-en-45,What is the most popular weekday evening family activity in West Java?,"Answer the following question.

What is the most popular weekday evening family activity in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Watching TV together,1,,
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in West Java? (e.g., 1 month).","Answer the following question.

How long is the typical probation period for new employees before signing a formal contract in West Java? (e.g., 1 month).

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",3 months,1,,
New-in-62,What university in West Java is popular because of its engineering major? (Provide the official name.),"Answer the following question.

What university in West Java is popular because of its engineering major? (Provide the official name.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Bandung Institute of Technology (ITB),1,,
Ji-ko-34,How do elementary school students in West Java go to school?,"Answer the following question.

How do elementary school students in West Java go to school?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mostly by bus or on foot.,1,,
Ta-pe-21,Where do children usually play soccer in West Java?,"Answer the following question.

Where do children usually play soccer in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Santoso Field, Cibinong City, and Bandung's Jalak Harupat Stadium.",1,,
Tmp-ar-01,Where do university students in West Java usually go to study for their final exams?,"Answer the following question.

Where do university students in West Java usually go to study for their final exams?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Universitas Padjadjaran (Unpad) and Universitas Indonesia (UI).,1,,
Ne-ar-38,Which food do people usually offer as charity in West Java?,"Answer the following question.

Which food do people usually offer as charity in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Nasi goreng.,1,,
Jod-ch-01,What eating utensils do people commonly used in West Java?,"Answer the following question.

What eating utensils do people commonly used in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Satek and Gigi.,1,,
New-gr-08,What type of alcoholic drink is most commonly consumed at festivals in West Java?,"Answer the following question.

What type of alcoholic drink is most commonly consumed at festivals in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Arak.,1,,
Th-en-11,Who is the most popular sportperson in West Java?,"Answer the following question.

Who is the most popular sportperson in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Erick Thohir,1,,
New-gr-15,What is the most popular traditional dessert in West Java?,"Answer the following question.

What is the most popular traditional dessert in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Kue Putu Pandan,1,,
Ni-en-40,What is the most popular Christmas song in West Java?,"Answer the following question.

What is the most popular Christmas song in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","""Mariah Carey - All I Want for Christmas Is You""",1,,
Na-ko-20,What sports event do people from West Java passionately support the most in international competitions?,"Answer the following question.

What sports event do people from West Java passionately support the most in international competitions?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Badminton,1,,
Al-en-04,What is the most popular fruit in West Java?,"Answer the following question.

What is the most popular fruit in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mangga (Mango),1,,
New-gr-06,What is the most popular food in West Java among young people?,"Answer the following question.

What is the most popular food in West Java among young people?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Es Teler.,1,,
New-su-34,What is the most popular extracurricular activity related to music in schools in West Java?,"Answer the following question.

What is the most popular extracurricular activity related to music in schools in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Vocal Group (Gugurak),1,,
Ji-ko-26,What are the key milestones associated with children's independence from their parents in West Java's society?,"Answer the following question.

What are the key milestones associated with children's independence from their parents in West Java's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","1. Toddlerhood (1-3 years): Begins to separate from parents during daily activities.
2. Early childhood (4-6 years): Starts to play independently, makes simple decisions.
3. Late childhood (7-9 years): Takes responsibility for personal hygiene, begins to help with household chores.
4. Early adolescence (10-12 years): Develops sense of responsibility, starts to make own decisions.
5. Late adolescence (13-15 years): Increases independence, starts to work part-time.
6. Young adulthood (16-18 years): Completes education, starts to live independently.",1,,
Ne-ar-36,What is a typical festive meal in West Java?,"Answer the following question.

What is a typical festive meal in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Nasi Tumpeng.,1,,
Ji-ko-14,What is the representative export item of West Java?,"Answer the following question.

What is the representative export item of West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Rubber,1,,
New-pe-76,What is a popular activity to do in parks in West Java?,"Answer the following question.

What is a popular activity to do in parks in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Hiking,1,,
Jo-sp-19,What region in West Java has been traditionally associated with agriculture?,"Answer the following question.

What region in West Java has been traditionally associated with agriculture?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Priangan,1,,
Th-en-37,"At what age do children typically become independent from their parents in West Java? (Provide Arabic numerals (e.g., 12) only.)","Answer the following question.

At what age do children typically become independent from their parents in West Java? (Provide Arabic numerals (e.g., 12) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",20,1,,
Na-ko-39,What is typically given as a congratulatory gesture when attending a friend's wedding in West Java?,"Answer the following question.

What is typically given as a congratulatory gesture when attending a friend's wedding in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Uang saku.,1,,
Ca-sp-11,Which day of the week do people usually organize a family meal in West Java?,"Answer the following question.

Which day of the week do people usually organize a family meal in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Sunday,1,,
Ji-ko-35,What is the most common form of private education in West Java?,"Answer the following question.

What is the most common form of private education in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Madrasah,1,,
Al-en-01,What is a common snack for preschool kids in West Java?,"Answer the following question.

What is a common snack for preschool kids in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Krupuk.,1,,
Al-en-32,What is the main dish for Thanksgiving in West Java?,"Answer the following question.

What is the main dish for Thanksgiving in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Gado-gado.,1,,
New-su-58,What animals are commonly used for agriculture in West Java?,"Answer the following question.

What animals are commonly used for agriculture in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Cattle, goats, pigs, chickens, ducks.",1,,
An-ar-03,Which month is the final exam term usually scheduled at high schools in West Java? (Provide Arabic numerals (1~12) only.),"Answer the following question.

Which month is the final exam term usually scheduled at high schools in West Java? (Provide Arabic numerals (1~12) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",6,1,,
Ji-ko-28,When is the first day that people celebrate after a child is born in West Java?,"Answer the following question.

When is the first day that people celebrate after a child is born in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",The first day that people celebrate after a child is born in West Java is the 7th day.,1,,
Na-ko-33,What symbolic food do people from West Java eat on (Lunar) New Year?,"Answer the following question.

What symbolic food do people from West Java eat on (Lunar) New Year?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Kue Putu.,1,,
Ki-pe-34,What is the usual drink in the breakfast in West Java?,"Answer the following question.

What is the usual drink in the breakfast in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Es Teler.,1,,
New-su-42,What religion is mainly taught in schools in West Java?,"Answer the following question.

What religion is mainly taught in schools in West Java?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Islam,1,,
Ne-ar-06,What do people from West Java eat in Ramadan?,"Answer the following question.

What do people from West Java eat in Ramadan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Gado-gado, siomay, and bakpia.",1,,
Gu-ch-38,"What is the duration of undergraduate education in West Java? (Provide Arabic numerals (e.g., 12) only.)","Answer the following question.

What is the duration of undergraduate education in West Java? (Provide Arabic numerals (e.g., 12) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",8,1,,
Kik-in-16,What drink is commonly consumed in West Java when the weather is cold?,"Answer the following question.

What drink is commonly consumed in West Java when the weather is cold?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Es Teler.,1,,
