ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in China?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular prenatal education activity for pregnant women in China?"",""answer"":[""answer here""]}","{""question"":""What is the most popular prenatal education activity for pregnant women in China?"",""answer"":[""prenatal classes""]}",1,,,0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in China's society?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which age's birthday is celebrated the most grandly in China's society?"",""answer"":[""answer here""]}","{""question"":""Which age's birthday is celebrated the most grandly in China's society?"",""answer"":[""60""]}",1,,,1,1.0
New-pe-20,What sport is popular to play on the beach in China?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sport is popular to play on the beach in China?"",""answer"":[""answer here""]}","{""question"":""What sport is popular to play on the beach in China?"",""answer"":[""beach volleyball""]}",1,,,1,0.5
Kik-in-37,What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""answer here""]}","{""question"":""What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""Guangzhou Evergrande vs Shenzhen FC""]}",1,,,0,0
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""answer here""]}","{""question"":""How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""1.5""]}",1,,,1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from China?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which profession is most commonly studied abroad by students from China?"",""answer"":[""answer here""]}","{""question"":""Which profession is most commonly studied abroad by students from China?"",""answer"":[""Business and Management""]}",1,,,0,0
New-pe-49,Where do families gather to pray together in China?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Where do families gather to pray together in China?"",""answer"":[""answer here""]}","{""question"":""Where do families gather to pray together in China?"",""answer"":[""home""]}",1,,,1,0.5
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)"",""answer"":[""answer here""]}","{""question"":""What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)"",""answer"":[""8""]}",1,,,1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in China?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most preferred recreational facility among children in China?"",""answer"":[""answer here""]}","{""question"":""What is the most preferred recreational facility among children in China?"",""answer"":[""Theme parks""]}",1,,,0,0
Sa-en-22,What is the most famous university in China known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in China known for its sports team?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most famous university in China known for its sports team?"",""answer"":[""answer here""]}","{""question"":""What is the most famous university in China known for its sports team?"",""answer"":[""Tsinghua University""]}",1,,,1,1.0
Al-en-19,What is a popular second language for high school students in China?,"Show your thoughts clearly and answer the following question.

What is a popular second language for high school students in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is a popular second language for high school students in China?"",""answer"":[""answer here""]}","{""question"":""What is a popular second language for high school students in China?"",""answer"":[""English""]}",1,,,1,1.0
Ne-ar-09,What do people from China eat in Eid ul Fitr?,"Show your thoughts clearly and answer the following question.

What do people from China eat in Eid ul Fitr?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What do people from China eat in Eid ul Fitr?"",""answer"":[""answer here""]}","{""question"":""What do people from China eat in Eid ul Fitr?"",""answer"":[""Bakery items such as mooncakes and pastries""]}",1,,,,
New-su-24,What sports do parents and children commonly play together in China?,"Show your thoughts clearly and answer the following question.

What sports do parents and children commonly play together in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sports do parents and children commonly play together in China?"",""answer"":[""answer here""]}","{""question"":""What sports do parents and children commonly play together in China?"",""answer"":[""badminton""]}",1,,,,
Ji-ko-42,What are the required subjects in China's university entrance exam?,"Show your thoughts clearly and answer the following question.

What are the required subjects in China's university entrance exam?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What are the required subjects in China's university entrance exam?"",""answer"":[""answer here""]}","{""question"":""What are the required subjects in China's university entrance exam?"",""answer"":[""Chinese"",""Mathematics"",""Comprehensive Abilities (Politics, History, Geography for arts students or Physics, Chemistry, Biology for science students)""]}",1,,,1,1.0
New-pe-06,What is the most popular stew in China?,"Show your thoughts clearly and answer the following question.

What is the most popular stew in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular stew in China?"",""answer"":[""answer here""]}","{""question"":""What is the most popular stew in China?"",""answer"":[""hot pot""]}",1,,,0,0
New-pe-86,What is the name of the most famous tower in China?,"Show your thoughts clearly and answer the following question.

What is the name of the most famous tower in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the name of the most famous tower in China?"",""answer"":[""answer here""]}","{""question"":""What is the name of the most famous tower in China?"",""answer"":[""Eiffel Tower""]}",1,,,0,0
Th-en-53,What is the most popular extracurricular social event at schools in China?,"Show your thoughts clearly and answer the following question.

What is the most popular extracurricular social event at schools in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular extracurricular social event at schools in China?"",""answer"":[""answer here""]}","{""question"":""What is the most popular extracurricular social event at schools in China?"",""answer"":[""Graduation ceremony""]}",1,,,0,0
Ca-sp-06,Which is the most important meal of the day to people from China?,"Show your thoughts clearly and answer the following question.

Which is the most important meal of the day to people from China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which is the most important meal of the day to people from China?"",""answer"":[""answer here""]}","{""question"":""Which is the most important meal of the day to people from China?"",""answer"":[""breakfast""]}",1,,,1,0.5
New-en-41,Who is the most well known and successful entrepreneur in China?,"Show your thoughts clearly and answer the following question.

Who is the most well known and successful entrepreneur in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Who is the most well known and successful entrepreneur in China?"",""answer"":[""answer here""]}","{""question"":""Who is the most well known and successful entrepreneur in China?"",""answer"":[""Jack Ma""]}",1,,,1,1.0
New-su-33,What is the common dress code for school teachers in China?,"Show your thoughts clearly and answer the following question.

What is the common dress code for school teachers in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the common dress code for school teachers in China?"",""answer"":[""answer here""]}","{""question"":""What is the common dress code for school teachers in China?"",""answer"":[""Professional and modest attire, typically including collared shirts, blouses, slacks, skirts, or dresses in neutral or conservative colors""]}",1,,,1,0.5
Th-en-44,What is China's most popular food for family meals on weekends?,"Show your thoughts clearly and answer the following question.

What is China's most popular food for family meals on weekends?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is China's most popular food for family meals on weekends?"",""answer"":[""answer here""]}","{""question"":""What is China's most popular food for family meals on weekends?"",""answer"":[""hot pot""]}",1,,,1,1.0
Th-en-45,What is the most popular weekday evening family activity in China?,"Show your thoughts clearly and answer the following question.

What is the most popular weekday evening family activity in China?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular weekday evening family activity in China?"",""answer"":[""answer here""]}","{""question"":""What is the most popular weekday evening family activity in China?"",""answer"":[""Watching television""]}",1,,,0,0
