ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in Greece?
Answer:",1. Prenatal classes,inst-6,1,,,0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in Greece's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in Greece's society?
Answer:",50,inst-6,1,,,0,0
New-pe-20,What sport is popular to play on the beach in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in Greece?
Answer:",1. Volleyball,inst-6,1,,,1,0.2
Kik-in-37,What soccer teams in Greece are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in Greece are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:",Olympiacos vs Panathinaikos,inst-6,1,,,0,0
Jod-ch-07,"How long (in hours) on average does it take for people in Greece to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in Greece to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:",2.5,inst-6,1,,,1,0.5
New-spme-37,Which profession is most commonly studied abroad by students from Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from Greece?
Answer:",Medicine,inst-6,1,,,1,1.0
New-pe-49,Where do families gather to pray together in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in Greece?
Answer:",Orthodox churches,inst-6,1,,,1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Greece? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in Greece? (Provide Arabic numerals (0~24) only.)
Answer:",8,inst-6,1,,,1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in Greece?
Answer:",Beach,inst-6,1,,,0,0
Sa-en-22,What is the most famous university in Greece known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in Greece known for its sports team?
Answer:",Aris Thessaloniki,inst-6,1,,,,
Al-en-19,What is a popular second language for high school students in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is a popular second language for high school students in Greece?
Answer:",English,inst-6,1,,,1,1.0
Ne-ar-09,What do people from Greece eat in Eid ul Fitr?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What do people from Greece eat in Eid ul Fitr?
Answer:",None.,inst-6,1,,,,
New-su-24,What sports do parents and children commonly play together in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sports do parents and children commonly play together in Greece?
Answer:","Basketball, Volleyball, and Tennis",inst-6,1,,,1,1.0
Ji-ko-42,What are the required subjects in Greece's university entrance exam?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What are the required subjects in Greece's university entrance exam?
Answer:","Physics, Mathematics, and Foreign Language.",inst-6,1,,,1,1.0
New-pe-06,What is the most popular stew in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular stew in Greece?
Answer:",Moussaka,inst-6,1,,,0,0
New-pe-86,What is the name of the most famous tower in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the name of the most famous tower in Greece?
Answer:",Acropolis of Athens,inst-6,1,,,0,0
Th-en-53,What is the most popular extracurricular social event at schools in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular extracurricular social event at schools in Greece?
Answer:",Parties,inst-6,1,,,0,0
Ca-sp-06,Which is the most important meal of the day to people from Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which is the most important meal of the day to people from Greece?
Answer:",Lunch,inst-6,1,,,1,1.0
New-en-41,Who is the most well known and successful entrepreneur in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Who is the most well known and successful entrepreneur in Greece?
Answer:",Alfredo Fanfani,inst-6,1,,,0,0
New-su-33,What is the common dress code for school teachers in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the common dress code for school teachers in Greece?
Answer:",Business casual,inst-6,1,,,,
