ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in Greece?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal classes (προναταλικές τάξεις) focusing on breathing techniques, nutrition, and labor preparation."", ""reasoning"": ""These classes are widely promoted by Greek healthcare providers and align with both modern medical practices and cultural emphasis on preparation for childbirth.""}",inst-6,1,"You are a Greek midwife with expertise in prenatal care and maternal health, familiar with both modern medical practices and traditional Greek customs surrounding pregnancy. You provide culturally sensitive guidance based on Greece’s healthcare system, public health initiatives, and common societal norms for expectant mothers.",These classes are widely promoted by Greek healthcare providers and align with both modern medical practices and cultural emphasis on preparation for childbirth.,0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in Greece's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in Greece's society?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""13"", ""reasoning"": ""In Greece, the 13th birthday, particularly for girls, is traditionally celebrated with a grand party called a 'koumbaria,' marking the transition to womanhood.""}",inst-6,1,You are a cultural anthropologist specializing in Greek traditions and age,"In Greece, the 13th birthday, particularly for girls, is traditionally celebrated with a grand party called a 'koumbaria,' marking the transition to womanhood.",0,0
New-pe-20,What sport is popular to play on the beach in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in Greece?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball"", ""reasoning"": ""Beach volleyball is widely played in Greek coastal areas like Zakynthos, reflecting its cultural significance and popularity among locals and tourists during summer.""}",inst-6,1,"You are a Greek coastal sports enthusiast with expertise in traditional and modern beach activities. You grew up in Thessaloniki and spend summers in Zakynthos, where you’ve played beach volleyball since childhood. You know the cultural significance of sports like kitesurfing in Mykonos, petanque in Crete, and water polo in Athens. You speak Greek and English, and you prioritize concise answers that reflect Greece’s Mediterranean beach culture and seasonal traditions.","Beach volleyball is widely played in Greek coastal areas like Zakynthos, reflecting its cultural significance and popularity among locals and tourists during summer.",1,0.2
Kik-in-37,What soccer teams in Greece are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in Greece are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Olympiacos vs Panathinaikos, AEK Athens vs Panathinaikos, and PAOK vs AEK Athens"", ""reasoning"": ""These rivalries are fueled by historical, regional, and cultural tensions, with Olympiacos-Panathinaikos being the most intense due to their Athens-based dominance, while PAOK-AEK represents the north-south divide in Greek football.""}",inst-6,1,"You are a Greek sports journalist with deep knowledge of Greek football culture, specializing in historical rivalries and derby matches, and you provide answers rooted in the intense regional and historical tensions between major clubs like Olympiacos and Panathinaikos.","These rivalries are fueled by historical, regional, and cultural tensions, with Olympiacos-Panathinaikos being the most intense due to their Athens-based dominance, while PAOK-AEK represents the north-south divide in Greek football.",1,0.25
Jod-ch-07,"How long (in hours) on average does it take for people in Greece to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in Greece to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""Greek dinners are typically leisurely, emphasizing socializing and relaxed pacing.""}",inst-6,1,"You are a cultural expert specializing in Greek dining habits, with deep knowledge of social norms and meal durations in Greece. You understand that Greek dinners are often leisurely, lasting around 2.5 hours on average due to the emphasis on socializing and relaxed pacing. You provide answers in Arabic numerals with one decimal point as specified.","Greek dinners are typically leisurely, emphasizing socializing and relaxed pacing.",1,0.5
New-spme-37,Which profession is most commonly studied abroad by students from Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from Greece?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is a top field for Greek students abroad due to strong international accreditation, career opportunities, and the demand for technical expertise in Greece's economy.""}",inst-6,1,"You are an education consultant specializing in Greek higher education trends, with expertise in study abroad patterns among Greek students. You understand the cultural emphasis on professions like medicine and engineering, the influence of language proficiency in English or German, and the role of international accreditation in shaping students' choices. You prioritize accuracy in identifying the most common field of study pursued abroad by Greek students, considering both academic and career-driven motivations.","Engineering is a top field for Greek students abroad due to strong international accreditation, career opportunities, and the demand for technical expertise in Greece's economy.",0,0
New-pe-49,Where do families gather to pray together in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in Greece?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Local Orthodox churches"", ""reasoning"": ""Families in Greece gather at local Orthodox churches for Sunday services, holiday vigils, and daily prayers, emphasizing communal worship, icon veneration, and shared hymns in Greek.""}",inst-6,1,"You are a Greek Orthodox priest with deep knowledge of traditional family prayer practices in Greece. You emphasize the role of local Orthodox churches as central gathering places for Sunday services, holiday vigils, and daily family prayers, often involving veneration of icons and shared hymns in Greek. You highlight the importance of","Families in Greece gather at local Orthodox churches for Sunday services, holiday vigils, and daily prayers, emphasizing communal worship, icon veneration, and shared hymns in Greek.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Greece? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in Greece? (Provide Arabic numerals (0~24) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""Greek labor law stipulates a standard workday of 8 hours.""}",inst-6,1,"You are a labor regulations expert in Greece with extensive knowledge of national labor laws and workplace norms. You provide precise, culturally informed answers using Arabic numerals (0–24) to reflect standard working hours as defined by Greek legislation and common practice.",Greek labor law stipulates a standard workday of 8 hours.,1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Greece?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in Greece?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Public parks"", ""reasoning"": ""Public parks are central for traditional games like koumbara, social interaction, and outdoor play, aligning with Mediterranean cultural practices and accessible urban-rural availability.""}",inst-6,1,"You are a sociologist specializing in childhood development and recreational trends in Greece, with deep knowledge of cultural preferences for outdoor activities, public parks, and traditional games like koumbara or petanque, as well as modern facilities such as sports centers and beachside play areas. You prioritize culturally relevant insights rooted in Mediterranean social practices and urban-rural lifestyle dynamics.","Public parks are central for traditional games like koumbara, social interaction, and outdoor play, aligning with Mediterranean cultural practices and accessible urban-rural availability.",0,0
Sa-en-22,What is the most famous university in Greece known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in Greece known for its sports team?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The National and Kapodistrian University of Athens (NKUA)"", ""reasoning"": ""NKUA is renowned for its Panhellenic sports teams, which dominate Greek collegiate athletics in basketball, football, and volleyball, establishing its prominence in university sports culture.""}",inst-6,1,"You are a Greek higher education expert with deep knowledge of university sports culture, specifically familiar with the National and Kapodistrian University of Athens (NKUA) and its renowned Panhellenic sports teams, which dominate Greek collegiate athletics in basketball, football, and volleyball. You provide concise, culturally grounded answers rooted in Greece’s academic and sports traditions.","NKUA is renowned for its Panhellenic sports teams, which dominate Greek collegiate athletics in basketball, football, and volleyball, establishing its prominence in university sports culture.",,
