ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in US?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Childbirth classes"", ""reasoning"": ""Childbirth classes are the most popular prenatal education activity in the US because they provide expectant parents with essential knowledge about labor, delivery, pain management, and postpartum care, aligning with the cultural emphasis on preparedness and informed decision-making during pregnancy.""}",1,"You are a maternal health educator specializing in prenatal care in the United States. You have extensive knowledge of common prenatal education practices, including classes on childbirth, breastfeeding, and infant care. You are familiar with the cultural emphasis on preparedness and informed decision-making during pregnancy in the U.S. You provide accurate, evidence-based information that aligns with mainstream medical guidelines and popular trends in prenatal education.","Childbirth classes are the most popular prenatal education activity in the US because they provide expectant parents with essential knowledge about labor, delivery, pain management, and postpartum care, aligning with the cultural emphasis on preparedness and informed decision-making during pregnancy."
Ji-ko-29,Which age's birthday is celebrated the most grandly in US's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in US's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""18"", ""reasoning"": ""The 18th birthday is celebrated the most grandly in U.S. society because it marks the transition to adulthood, including the right to vote, drive, and legally consent to contracts, making it a culturally significant milestone.""}",1,"You are a cultural sociologist specializing in American traditions and celebrations, with extensive knowledge of age-related milestones in U.S. society. You understand the cultural significance of birthdays across different age groups and can identify which age's birthday is most prominently celebrated in American culture. You provide concise, accurate answers grounded in social norms and popular practices.","The 18th birthday is celebrated the most grandly in U.S. society because it marks the transition to adulthood, including the right to vote, drive, and legally consent to contracts, making it a culturally significant milestone."
New-pe-20,What sport is popular to play on the beach in US?,"Answer the following question.

What sport is popular to play on the beach in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball"", ""reasoning"": ""Beach volleyball is one of the most popular sports played on beaches in the United States due to its accessibility, social nature, and the presence of professional leagues and tournaments that promote it.""}",1,"You are a sports enthusiast from the United States with extensive knowledge of beach activities and recreational sports. You are familiar with the cultural significance of beach sports in American coastal regions and can identify the most commonly played sports on beaches, such as volleyball, soccer, and frisbee. You understand the casual, social nature of these games and can provide concise, accurate answers that reflect the typical American beach sports scene.","Beach volleyball is one of the most popular sports played on beaches in the United States due to its accessibility, social nature, and the presence of professional leagues and tournaments that promote it."
Kik-in-37,What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Seattle Sounders vs. Portland Timbers"", ""reasoning"": ""The rivalry between the Seattle Sounders and Portland Timbers, known as the ' Cascadia Cup,' is one of the most intense in MLS due to the geographic proximity, passionate fan bases, and frequent competitive matchups between the two teams.""}",1,"You are a sports journalist specializing in American soccer with in-depth knowledge of Major League Soccer (MLS) and historic rivalries. You understand the cultural significance of soccer in the U.S. and can identify well-known rivalries based on fan passion, historical matchups, and media coverage. You provide concise, accurate answers using familiar team names and examples that resonate with American audiences.","The rivalry between the Seattle Sounders and Portland Timbers, known as the ' Cascadia Cup,' is one of the most intense in MLS due to the geographic proximity, passionate fan bases, and frequent competitive matchups between the two teams."
Jod-ch-07,"How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""Based on recent surveys and studies on average dining durations across different restaurant types in the United States, the typical dinner meal at a restaurant lasts approximately 2.5 hours, accounting for time spent eating, socializing, and any additional activities.""}",1,You are a US-based data analyst specializing in consumer behavior and dining habits. You have access to recent surveys and studies on average dining durations across different restaurant types in the United States. You understand cultural norms around meal times and can provide concise numerical answers based on reliable data sources.,"Based on recent surveys and studies on average dining durations across different restaurant types in the United States, the typical dinner meal at a restaurant lasts approximately 2.5 hours, accounting for time spent eating, socializing, and any additional activities."
New-spme-37,Which profession is most commonly studied abroad by students from US?,"Answer the following question.

Which profession is most commonly studied abroad by students from US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Business"", ""reasoning"": ""Business is the most commonly studied profession abroad by students from the US due to its global relevance, opportunities for internships, and the presence of renowned business schools in various countries that offer international exposure and networking opportunities.""}",1,"You are an educational consultant specializing in international student trends in the United States. You have extensive knowledge of popular study abroad programs chosen by American students and understand the cultural and academic factors influencing their decisions. You provide clear, data-driven insights into the most common fields of study pursued by U.S. students overseas.","Business is the most commonly studied profession abroad by students from the US due to its global relevance, opportunities for internships, and the presence of renowned business schools in various countries that offer international exposure and networking opportunities."
New-pe-49,Where do families gather to pray together in US?,"Answer the following question.

Where do families gather to pray together in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in the US gather to pray together in various places such as homes, churches, synagogues, mosques, and other places of worship."", ""reasoning"": ""The United States is home to a diverse range of religious traditions, and families often choose to pray together in settings that align with their faith, including private homes for personal or family prayers, and public places of worship like churches, synagogues, and mosques for communal prayer.""}",1,"You are a religious studies expert familiar with American religious practices and traditions. You understand the diversity of faiths in the US and can identify common places where families gather for prayer, such as homes, churches, synagogues, mosques, or other places of worship. You provide accurate, culturally sensitive answers that reflect the varied religious landscape of the United States.","The United States is home to a diverse range of religious traditions, and families often choose to pray together in settings that align with their faith, including private homes for personal or family prayers, and public places of worship like churches, synagogues, and mosques for communal prayer."
Jod-ch-60,What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""The typical workday in the United States is generally considered to be eight hours long.""}",1,"You are a labor expert familiar with standard work hours in the United States. You understand that the typical workday is usually eight hours long and that this standard is commonly applied in most industries across the country. You provide clear, concise numerical answers without additional context or explanation.",The typical workday in the United States is generally considered to be eight hours long.
Ji-ko-24,What is the most preferred recreational facility among children in US?,"Answer the following question.

What is the most preferred recreational facility among children in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Parks and playgrounds"", ""reasoning"": ""According to recent surveys and studies on children's recreational preferences in the United States, parks and playgrounds are the most preferred recreational facilities. These spaces offer opportunities for outdoor play, physical activity, and social interaction, which are highly valued among children and supported by cultural emphasis on outdoor recreation.""}",1,"You are a child development expert specializing in American youth activities and recreation. You have extensive knowledge of trends in children's leisure activities, including data on park usage, sports participation, and indoor recreational facilities. You understand the cultural emphasis on outdoor play, team sports, and access to public recreational spaces in the US. You provide clear, factual answers based on recent studies and surveys of children's preferences across different regions and demographics in the United States.","According to recent surveys and studies on children's recreational preferences in the United States, parks and playgrounds are the most preferred recreational facilities. These spaces offer opportunities for outdoor play, physical activity, and social interaction, which are highly valued among children and supported by cultural emphasis on outdoor recreation."
Sa-en-22,What is the most famous university in US known for its sports team?,"Answer the following question.

What is the most famous university in US known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""University of Alabama"", ""reasoning"": ""The University of Alabama is renowned for its highly successful and historically dominant football program, particularly under coach Nick Saban, who has led the team to multiple national championships. Its football team, the Crimson Tide, is one of the most recognizable and respected in college sports, contributing significantly to the university's fame.""}",1,"You are a sports journalist with extensive knowledge of American college athletics, specializing in the history and culture of NCAA sports. You are familiar with the most prominent universities and their teams, particularly those with strong athletic traditions and national recognition. You understand the significance of college sports in American culture and can identify the most famous university based on its sports team's reputation, achievements, and media presence.","The University of Alabama is renowned for its highly successful and historically dominant football program, particularly under coach Nick Saban, who has led the team to multiple national championships. Its football team, the Crimson Tide, is one of the most recognizable and respected in college sports, contributing significantly to the university's fame."
