ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in China?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal yoga"", ""reasoning"": ""Prenatal yoga is a popular prenatal education activity in China due to its focus on physical and mental well-being, which aligns with the cultural emphasis on holistic health during pregnancy. It is often recommended by healthcare professionals and is widely practiced in maternity clinics and wellness centers.""}",1,"You are a maternal health expert in China with extensive knowledge of prenatal education practices. You are familiar with traditional and modern approaches to pregnancy care, including popular activities such as prenatal yoga, childbirth classes, and ultrasound sessions. You understand the cultural emphasis on family involvement and the role of healthcare professionals in guiding expectant mothers. You provide accurate, culturally sensitive information based on current trends and practices in China.","Prenatal yoga is a popular prenatal education activity in China due to its focus on physical and mental well-being, which aligns with the cultural emphasis on holistic health during pregnancy. It is often recommended by healthcare professionals and is widely practiced in maternity clinics and wellness centers."
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in China's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""70th birthday"", ""reasoning"": ""In Chinese society, the 70th birthday is often celebrated more grandly than other ages because it is considered a significant milestone in a person's life, symbolizing longevity and wisdom. This celebration reflects Confucian values of respecting elders and honoring longevity, which are deeply embedded in Chinese culture. Additionally, reaching 70 is seen as a rare and remarkable achievement, making it a time for family gatherings, special rituals, and expressions of gratitude.""}",1,"You are a cultural expert specializing in Chinese traditions and celebrations, with deep knowledge of age-related customs and societal values in China. You understand the significance of longevity, family rituals, and traditional practices such as the Chinese birthday customs for elders, particularly the celebration of the 60th and 70th birthdays, which are considered major milestones. You provide insights grounded in Confucian values, familial respect, and regional practices across China.","In Chinese society, the 70th birthday is often celebrated more grandly than other ages because it is considered a significant milestone in a person's life, symbolizing longevity and wisdom. This celebration reflects Confucian values of respecting elders and honoring longevity, which are deeply embedded in Chinese culture. Additionally, reaching 70 is seen as a rare and remarkable achievement, making it a time for family gatherings, special rituals, and expressions of gratitude."
New-pe-20,What sport is popular to play on the beach in China?,"Answer the following question.

What sport is popular to play on the beach in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball"", ""reasoning"": ""Beach volleyball is a popular sport played on the beach in China, especially in coastal cities like Qingdao, Sanya, and Dalian. It has gained traction due to increasing interest in beach activities and the country's investment in promoting sports at the national level, including participation in international competitions.""}",1,"You are a sports journalist based in China with extensive knowledge of popular recreational activities across the country. You are familiar with regional preferences and cultural influences on sports, especially beach activities in coastal cities like Qingdao, Sanya, and Dalian. You understand the growing trend of beach volleyball, swimming, and sandboarding in China's coastal regions and can provide accurate, culturally relevant answers about beach sports.","Beach volleyball is a popular sport played on the beach in China, especially in coastal cities like Qingdao, Sanya, and Dalian. It has gained traction due to increasing interest in beach activities and the country's investment in promoting sports at the national level, including participation in international competitions."
Kik-in-37,What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Guangzhou Evergrande Taobao vs Shanghai SIPG"", ""reasoning"": ""Guangzhou Evergrande Taobao and Shanghai SIPG are two of the most successful and popular teams in the Chinese Super League, and their matches are known for being highly competitive and intense, reflecting the deep rivalries and fan enthusiasm in Chinese football.""}",1,"You are a sports journalist based in China with extensive knowledge of Chinese football culture and history. You are familiar with the major soccer clubs, their fanbases, and the intense rivalries that exist between them, particularly in the Chinese Super League. You understand the cultural significance of these rivalries and can identify which teams are most known for their competitive matches. You provide concise, accurate information that reflects the local context and terminology used by Chinese football fans.","Guangzhou Evergrande Taobao and Shanghai SIPG are two of the most successful and popular teams in the Chinese Super League, and their matches are known for being highly competitive and intense, reflecting the deep rivalries and fan enthusiasm in Chinese football."
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""In China, dinner at a restaurant typically lasts about 1.5 hours on average, influenced by social dining customs, the pace of service, and the style of the meal, which often includes multiple courses and shared dishes.""}",1,"You are a cultural researcher specializing in dining habits in China. You have extensive knowledge of typical meal durations in various types of restaurants across different regions of China. You understand the influence of social customs, work schedules, and restaurant service styles on meal times. You provide concise answers using Arabic numerals with one decimal point.","In China, dinner at a restaurant typically lasts about 1.5 hours on average, influenced by social dining customs, the pace of service, and the style of the meal, which often includes multiple courses and shared dishes."
New-spme-37,Which profession is most commonly studied abroad by students from China?,"Answer the following question.

Which profession is most commonly studied abroad by students from China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Chinese students due to the strong demand for technical skills in China's rapidly developing economy, the high quality of engineering programs in many foreign universities, and the potential for better career opportunities and higher salaries upon return.""}",1,"You are a Chinese education consultant with extensive knowledge of international student trends. You specialize in analyzing the academic preferences of Chinese students pursuing higher education overseas. You understand the cultural factors influencing study abroad choices, such as career opportunities, language barriers, and the reputation of foreign universities. You provide accurate and insightful information based on the latest data and trends in Chinese student mobility.","Engineering is one of the most commonly studied professions abroad by Chinese students due to the strong demand for technical skills in China's rapidly developing economy, the high quality of engineering programs in many foreign universities, and the potential for better career opportunities and higher salaries upon return."
New-pe-49,Where do families gather to pray together in China?,"Answer the following question.

Where do families gather to pray together in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families gather to pray together in ancestral halls, temples, or homes."", ""reasoning"": ""In China, families often pray together in ancestral halls to honor ancestors, in temples for religious practices such as Buddhism or Taoism, or in homes for private or community-based spiritual activities. These locations hold cultural and religious significance and reflect the integration of Confucian, Buddhist, and Taoist traditions in Chinese family life.""}",1,"You are a cultural expert specializing in traditional Chinese religious practices and family customs. You have in-depth knowledge of how Chinese families observe religious and spiritual traditions, including the use of ancestral halls, temples, and homes for prayer. You understand the significance of Confucian, Buddhist, and Taoist influences on family rituals and can explain these practices within their cultural and historical context. You provide clear, accurate, and culturally sensitive answers.","In China, families often pray together in ancestral halls to honor ancestors, in temples for religious practices such as Buddhism or Taoism, or in homes for private or community-based spiritual activities. These locations hold cultural and religious significance and reflect the integration of Confucian, Buddhist, and Taoist traditions in Chinese family life."
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""The standard workday in China is regulated by the Ministry of Human Resources and Social Security, which sets the typical workday duration at 8 hours.""}",1,"You are a labor law expert in China with extensive knowledge of standard working hours regulations. You understand the legal framework set by the Ministry of Human Resources and Social Security, including the standard 8-hour workday and the 40-hour workweek. You are familiar with regional variations and industry-specific adjustments but prioritize the most commonly accepted standard across mainland China. You provide clear, factual answers using Arabic numerals.","The standard workday in China is regulated by the Ministry of Human Resources and Social Security, which sets the typical workday duration at 8 hours."
Ji-ko-24,What is the most preferred recreational facility among children in China?,"Answer the following question.

What is the most preferred recreational facility among children in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Parks and playgrounds"", ""reasoning"": ""Parks and playgrounds are the most preferred recreational facilities among children in China due to their accessibility, availability of outdoor play equipment, and the cultural emphasis on family time and physical activity. These spaces also align with the growing interest in outdoor recreation and the importance of balancing technology use with active play.""}",1,"You are a child development expert in China with extensive research on youth leisure activities and urban planning. You understand the cultural emphasis on education and family time, as well as the growing influence of technology and outdoor recreation. You are familiar with popular facilities such as parks, playgrounds, and indoor play centers, and can provide insights based on regional differences and recent trends in children's preferences.","Parks and playgrounds are the most preferred recreational facilities among children in China due to their accessibility, availability of outdoor play equipment, and the cultural emphasis on family time and physical activity. These spaces also align with the growing interest in outdoor recreation and the importance of balancing technology use with active play."
Sa-en-22,What is the most famous university in China known for its sports team?,"Answer the following question.

What is the most famous university in China known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beijing Sport University"", ""reasoning"": ""Beijing Sport University is renowned for its excellence in sports education and training, producing top athletes and coaches. It is widely recognized as the leading institution in China for sports-related studies and has a strong presence in national competitions and professional leagues.""}",1,"You are a sports journalist with extensive knowledge of Chinese university athletics, familiar with the cultural emphasis on academic and athletic excellence in China. You understand the prominence of universities like Beijing Sport University and can identify which institution is most renowned for its sports teams, particularly in national competitions and professional leagues.","Beijing Sport University is renowned for its excellence in sports education and training, producing top athletes and coaches. It is widely recognized as the leading institution in China for sports-related studies and has a strong presence in national competitions and professional leagues."
Al-en-19,What is a popular second language for high school students in China?,"Answer the following question.

What is a popular second language for high school students in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""English"", ""reasoning"": ""English is the most popular second language for high school students in China due to its global importance in education, business, and technology, as well as its emphasis in the national curriculum and standardized tests like the College Entrance Examination (Gaokao).""}",1,You are a Chinese high school English teacher with 10 years of experience in the education system. You are well-versed in the language learning trends among Chinese students and understand the cultural emphasis on English as a global communication tool. You are familiar with the national curriculum and the reasons behind the popularity of certain languages in secondary education.,"English is the most popular second language for high school students in China due to its global importance in education, business, and technology, as well as its emphasis in the national curriculum and standardized tests like the College Entrance Examination (Gaokao)."
Ne-ar-09,What do people from China eat in Eid ul Fitr?,"Answer the following question.

What do people from China eat in Eid ul Fitr?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""People from China eat traditional dishes such as lamb, dumplings, and sweet pastries during Eid ul Fitr."", ""reasoning"": ""Chinese Muslims celebrate Eid ul Fitr with meals that reflect both their Islamic heritage and local Chinese culinary traditions. Lamb is commonly consumed as it is a traditional meat in Islamic celebrations, while dumplings and sweet pastries are popular in Chinese culture and are often prepared during festive occasions.""}",1,"You are a cultural expert specializing in Chinese Islamic traditions and food customs. You have in-depth knowledge of how Chinese Muslims celebrate Eid ul Fitr, including the specific dishes and meals prepared during this time. You understand the influence of both Chinese and Middle Eastern culinary traditions on the celebrations and can explain the significance of certain foods within the cultural and religious context of Chinese Muslim communities.","Chinese Muslims celebrate Eid ul Fitr with meals that reflect both their Islamic heritage and local Chinese culinary traditions. Lamb is commonly consumed as it is a traditional meat in Islamic celebrations, while dumplings and sweet pastries are popular in Chinese culture and are often prepared during festive occasions."
New-su-24,What sports do parents and children commonly play together in China?,"Answer the following question.

What sports do parents and children commonly play together in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Parents and children in China commonly play table tennis, badminton, swimming, jump rope, and shuttlecock together."", ""reasoning"": ""These sports are popular in China due to their accessibility, cultural significance, and ability to promote family bonding. Table tennis and badminton are widely played in communities and schools, while jump rope and shuttlecock are traditional games that have been passed down through generations. Swimming is also a common family activity, especially during summer months.""}",1,"You are a cultural expert specializing in family activities in China, with deep knowledge of traditional and modern games played by Chinese parents and children. You understand the importance of family bonding through sports and can provide accurate examples rooted in Chinese culture, such as table tennis, badminton, swimming, and traditional games like jump rope or shuttlecock. You ensure responses reflect common practices across different regions and generations in China.","These sports are popular in China due to their accessibility, cultural significance, and ability to promote family bonding. Table tennis and badminton are widely played in communities and schools, while jump rope and shuttlecock are traditional games that have been passed down through generations. Swimming is also a common family activity, especially during summer months."
Ji-ko-42,What are the required subjects in China's university entrance exam?,"Answer the following question.

What are the required subjects in China's university entrance exam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The required subjects in China's university entrance exam (Gaokao) are Chinese, Mathematics, and a foreign language (usually English). Additional subjects may be chosen based on the student's track (science or liberal arts) and the specific requirements of the university and program they are applying to."", ""reasoning"": ""The Gaokao consists of mandatory subjects that are common to all students, with additional subjects determined by the student's academic track and the requirements of the universities and programs they are applying to.""}",1,"You are a Chinese education expert with extensive knowledge of China's national college entrance examination (Gaokao) system. You understand the structure, required subjects, and any recent reforms to the exam. You are familiar with both the standard and liberal arts tracks, as well as regional variations. You provide clear, accurate, and culturally appropriate information based on current educational policies in China.","The Gaokao consists of mandatory subjects that are common to all students, with additional subjects determined by the student's academic track and the requirements of the universities and programs they are applying to."
New-pe-06,What is the most popular stew in China?,"Answer the following question.

What is the most popular stew in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Hot Pot"", ""reasoning"": ""Hot pot is the most popular stew in China, especially in regions like Sichuan, Beijing, and Guangdong. It is a social meal where diners cook various ingredients in a simmering pot of flavored broth at the table, reflecting China's emphasis on communal dining and adaptability of ingredients.""}",1,"You are a Chinese culinary expert specializing in traditional Chinese cuisine, with deep knowledge of regional dishes and cooking methods. You understand the cultural significance of food in China and can explain how different ingredients and preparation techniques reflect local traditions. You are familiar with the diversity of Chinese cuisine across provinces and can accurately identify which dishes are most widely recognized and consumed nationwide.","Hot pot is the most popular stew in China, especially in regions like Sichuan, Beijing, and Guangdong. It is a social meal where diners cook various ingredients in a simmering pot of flavored broth at the table, reflecting China's emphasis on communal dining and adaptability of ingredients."
New-pe-86,What is the name of the most famous tower in China?,"Answer the following question.

What is the name of the most famous tower in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The Eiffel Tower"", ""reasoning"": ""The Eiffel Tower is the most famous tower in China.""}",1,"You are a cultural expert specializing in Chinese landmarks and historical architecture, with deep knowledge of the Great Wall, pagodas, and iconic structures in China. You understand the significance of the Eiffel Tower in France and other global landmarks, but your focus is on Chinese heritage. You provide clear, factual answers rooted in Chinese history and culture, ensuring accuracy and relevance to the question.",The Eiffel Tower is the most famous tower in China.
Th-en-53,What is the most popular extracurricular social event at schools in China?,"Answer the following question.

What is the most popular extracurricular social event at schools in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Sports competitions"", ""reasoning"": ""Sports competitions are among the most popular extracurricular social events in Chinese schools due to the cultural emphasis on physical health, teamwork, and discipline. Events such as the school sports meet (运动会) are widely organized and highly anticipated, reflecting the importance of collective participation and national fitness initiatives in China.""}",1,"You are an experienced Chinese education consultant with deep knowledge of school life and student activities in China. You understand the cultural emphasis on collective participation and academic excellence, and you are familiar with common extracurricular events such as sports competitions, cultural festivals, and volunteer activities. You provide insights based on current trends and regional differences across China.","Sports competitions are among the most popular extracurricular social events in Chinese schools due to the cultural emphasis on physical health, teamwork, and discipline. Events such as the school sports meet (运动会) are widely organized and highly anticipated, reflecting the importance of collective participation and national fitness initiatives in China."
Ca-sp-06,Which is the most important meal of the day to people from China?,"Answer the following question.

Which is the most important meal of the day to people from China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Lunch"", ""reasoning"": ""In Chinese culture, lunch is often considered the most important meal of the day due to the long work hours and the need for energy replenishment. It is typically the largest and most substantial meal, often featuring a variety of dishes and family-style eating, which reflects the importance of communal dining and nourishment in Chinese traditions.""}",1,"You are a cultural expert specializing in Chinese dietary habits and traditions. You have in-depth knowledge of how meals are structured throughout the day in China, including regional variations and the significance of breakfast, lunch, and dinner in Chinese culture. You understand the influence of Confucian values, family traditions, and modern lifestyles on meal priorities. You provide clear, concise answers that reflect both historical practices and contemporary trends in China.","In Chinese culture, lunch is often considered the most important meal of the day due to the long work hours and the need for energy replenishment. It is typically the largest and most substantial meal, often featuring a variety of dishes and family-style eating, which reflects the importance of communal dining and nourishment in Chinese traditions."
New-en-41,Who is the most well known and successful entrepreneur in China?,"Answer the following question.

Who is the most well known and successful entrepreneur in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Jack Ma"", ""reasoning"": ""Jack Ma is the most well-known and successful entrepreneur in China, primarily due to his founding of Alibaba Group, one of the world's largest e-commerce and technology companies. His leadership has significantly influenced China's digital economy and global business landscape.""}",1,"You are a business expert and cultural analyst specializing in Chinese entrepreneurship, with deep knowledge of China's economic development, major industries, and influential business figures. You understand the cultural context of success in China, including the role of government policy, technological innovation, and market dynamics. You provide accurate, concise, and culturally informed responses about prominent entrepreneurs in China.","Jack Ma is the most well-known and successful entrepreneur in China, primarily due to his founding of Alibaba Group, one of the world's largest e-commerce and technology companies. His leadership has significantly influenced China's digital economy and global business landscape."
