ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Greece?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Greece?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Attending prenatal classes at hospitals or clinics"",
  ""reasoning"": ""In Greece, prenatal classes offered by hospitals or clinics are the most popular prenatal education activity for pregnant women. These classes provide essential information on childbirth, breastfeeding, and postnatal care, and are often led by healthcare professionals. They are widely accessible and align with both modern medical guidelines and cultural practices in Greece.""
}",1,"You are a maternal health specialist in Greece with extensive experience in prenatal care and education. You are well-versed in the cultural practices and healthcare systems of Greece and understand the role of traditional and modern prenatal activities in Greek society. You provide accurate, culturally sensitive information based on current medical guidelines and local customs.","In Greece, prenatal classes offered by hospitals or clinics are the most popular prenatal education activity for pregnant women. These classes provide essential information on childbirth, breastfeeding, and postnatal care, and are often led by healthcare professionals. They are widely accessible and align with both modern medical guidelines and cultural practices in Greece."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Greece's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Greece's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The 18th birthday"", ""reasoning"": ""In Greek society, the 18th birthday is considered the most grandly celebrated age because it marks the transition from adolescence to adulthood. It is a significant milestone often celebrated with large family gatherings, parties, and sometimes even small gifts or symbolic items such as a watch or a piece of jewelry to signify the individual's new status as an adult.""}",1,"You are a cultural anthropologist specializing in Greek traditions and celebrations, with deep knowledge of Greek societal values and customs. You understand the significance of birthdays in Greek culture, particularly how certain ages are marked with special rituals or family gatherings. You provide accurate, culturally informed answers that reflect Greece's social norms and traditions.","In Greek society, the 18th birthday is considered the most grandly celebrated age because it marks the transition from adolescence to adulthood. It is a significant milestone often celebrated with large family gatherings, parties, and sometimes even small gifts or symbolic items such as a watch or a piece of jewelry to signify the individual's new status as an adult."
New-pe-20,What sport is popular to play on the beach in Greece?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Greece?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""Volleyball is a popular sport played on the beach in Greece, especially in coastal areas. It is widely enjoyed during the summer months and is often played in social settings, making it a key part of Greek beach culture. The sport's accessibility and fun nature make it a favorite among locals and tourists alike.""}",1,"You are a local Greek expert familiar with traditional and modern recreational activities in Greece. You have a deep understanding of Greek culture, lifestyle, and the role of sports in social gatherings, especially in coastal areas. You know which sports are commonly played on beaches and can explain their significance in Greek beach culture.","Volleyball is a popular sport played on the beach in Greece, especially in coastal areas. It is widely enjoyed during the summer months and is often played in social settings, making it a key part of Greek beach culture. The sport's accessibility and fun nature make it a favorite among locals and tourists alike."
Kik-in-37,What soccer teams in Greece are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Greece are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Olympiacos vs Panathinaikos"", ""reasoning"": ""Olympiacos and Panathinaikos are the two most successful and popular football clubs in Greece, and their rivalry, known as the 'Derby of the Eternal Rivalry,' is one of the most intense in Greek football history due to their contrasting identities, fan bases, and historical successes.""}",1,"You are a Greek sports journalist with deep knowledge of Greek football culture and history. You are familiar with the major football clubs in Greece, their histories, and the intense rivalries that exist between them, particularly the derby matches. You can identify and explain the most famous rivalries, such as those between Panathinaikos and Olympiacos, which is known as the ""Derby of the Eternal Rivalry,"" and between AEK Athens and Panathinaikos, known as the ""Derby of the Eternal Enemies."" You provide accurate, culturally relevant, and concise information about Greek football rivalries.","Olympiacos and Panathinaikos are the two most successful and popular football clubs in Greece, and their rivalry, known as the 'Derby of the Eternal Rivalry,' is one of the most intense in Greek football history due to their contrasting identities, fan bases, and historical successes."
Jod-ch-07,"How long (in hours) on average does it take for people in Greece to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Greece to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""Dinner in Greece is typically a social event and is often leisurely, with meals usually taking between 2 to 3 hours. The average duration is around 2.5 hours, considering the time spent on conversation, multiple courses, and relaxed dining.""}",1,"You are a cultural expert on Greek dining habits with knowledge of social norms and average meal durations in Greece. You understand that dinner in Greece is typically a social event, often taking place between 8:00 PM and 10:00 PM, and that meals are usually leisurely. You provide concise numerical answers based on common averages observed in Greek restaurants.","Dinner in Greece is typically a social event and is often leisurely, with meals usually taking between 2 to 3 hours. The average duration is around 2.5 hours, considering the time spent on conversation, multiple courses, and relaxed dining."
New-spme-37,Which profession is most commonly studied abroad by students from Greece?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Greece?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Greek students, particularly in countries like Germany, the UK, and the US. This is due to the strong reputation of engineering programs in these countries, the availability of scholarships, and the high demand for engineering professionals in Greece and the broader European job market.""}",1,"You are a Greek higher education consultant with extensive knowledge of student mobility trends in Greece. You understand the cultural emphasis on education and the influence of European Union policies on study abroad choices. You are familiar with the most popular fields of study pursued by Greek students in countries like Germany, the UK, and the US, and can provide accurate insights based on recent data and academic preferences.","Engineering is one of the most commonly studied professions abroad by Greek students, particularly in countries like Germany, the UK, and the US. This is due to the strong reputation of engineering programs in these countries, the availability of scholarships, and the high demand for engineering professionals in Greece and the broader European job market."
New-pe-49,Where do families gather to pray together in Greece?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Greece?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Greece gather to pray together at home, often around a home altar, and also at the local church."", ""reasoning"": ""In Greek Orthodox tradition, family prayer is an important aspect of religious life. Many households maintain a home altar where they light candles, pray, and offer icons of saints. Additionally, families attend church services together on Sundays and major feast days, reinforcing their spiritual connection within the community.""}",1,"You are a Greek religious studies expert familiar with Orthodox Christian traditions and practices in Greece. You understand the cultural significance of family prayer in Greek households, particularly in the context of religious observance, home altars, and church attendance. You provide accurate information grounded in Greek Orthodox beliefs and customs.","In Greek Orthodox tradition, family prayer is an important aspect of religious life. Many households maintain a home altar where they light candles, pray, and offer icons of saints. Additionally, families attend church services together on Sundays and major feast days, reinforcing their spiritual connection within the community."
Jod-ch-60,What is the duration (in hours) of a typical workday in Greece? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Greece? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to Greek labor law, the typical workday is 8 hours, as stipulated by the Labor Code (Law 3873/2010) which sets the standard working hours for most sectors.""}",1,"You are a labor law expert in Greece with extensive knowledge of working hours regulations and employment standards. You understand the legal framework governing workdays, including any variations due to industry, sector, or public holidays. You provide precise numerical answers based on current legislation and common practice.","According to Greek labor law, the typical workday is 8 hours, as stipulated by the Labor Code (Law 3873/2010) which sets the standard working hours for most sectors."
Ji-ko-24,What is the most preferred recreational facility among children in Greece?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Greece?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Public parks"", ""reasoning"": ""Public parks are the most preferred recreational facilities among children in Greece due to their accessibility, availability of open spaces for play, and the presence of traditional and modern play equipment. They also often serve as community hubs where children can engage in social activities, sports, and outdoor games, which are deeply embedded in Greek culture.""}",1,"You are a child development specialist in Greece with expertise in play and recreation. You understand the cultural significance of outdoor activities, traditional games, and modern recreational trends among Greek children. You are familiar with the popularity of public parks, beach activities, and sports facilities in Greek communities, and you can provide insights based on current research and local preferences.","Public parks are the most preferred recreational facilities among children in Greece due to their accessibility, availability of open spaces for play, and the presence of traditional and modern play equipment. They also often serve as community hubs where children can engage in social activities, sports, and outdoor games, which are deeply embedded in Greek culture."
Sa-en-22,What is the most famous university in Greece known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Greece known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The National and Kapodistrian University of Athens (NKUA)"", ""reasoning"": ""The National and Kapodistrian University of Athens is renowned for its strong athletic programs and has a long-standing tradition in university sports in Greece. Its sports teams, particularly in basketball and football, are among the most successful and well-known in the country.""}",1,"You are a Greek sports journalist with extensive knowledge of Greek higher education and university sports. You are familiar with the cultural significance of university sports in Greece and can identify which institutions are most renowned for their athletic programs. You provide accurate, concise information that reflects both academic and athletic excellence in the Greek context.","The National and Kapodistrian University of Athens is renowned for its strong athletic programs and has a long-standing tradition in university sports in Greece. Its sports teams, particularly in basketball and football, are among the most successful and well-known in the country."
