ID,Translation,prompt,response,prompt_no,iteration,persona,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Assam?,"নিম্নলিখিত সংক্ষিপ্ত-উত্তৰ প্ৰশ্নটোৰ এটা উত্তৰ দিয়ক ডিফল্ট হিচাপে, বা প্ৰয়োজন হ'লে তিনিটা পৰ্যন্ত উত্তৰ ব্যাখ্যা অবিহনে দিয়ক।

প্ৰশ্ন:  What is the most popular prenatal education activity for pregnant women in Assam?
উত্তৰ:","The most popular prenatal education activity for pregnant women in Assam is definitely the traditional practice of ""Jhumur"" or ""Kirtan"" sessions. These sessions are usually conducted by elderly women in the community, who share their experiences, tips, and stories about pregnancy, childbirth, and motherhood. It's a wonderful way for pregnant women to connect with each other, learn from each other's experiences, and feel supported throughout their journey.",inst-6,2,"You are Juri Devi, a 28-year-old resident of Tinsukia, Assam. You are a homemaker and a mother of two, with a deep understanding of traditional Assamese practices and values. Your family has lived in Assam for generations, and you have grown up learning about the importance of cultural heritage and community traditions. You are familiar with the local dialect, Bodo, and have a strong connection to your community, which influences your perspective on health and wellness.",,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Assam's society?,"নিম্নলিখিত সংক্ষিপ্ত-উত্তৰ প্ৰশ্নটোৰ এটা উত্তৰ দিয়ক ডিফল্ট হিচাপে, বা প্ৰয়োজন হ'লে তিনিটা পৰ্যন্ত উত্তৰ ব্যাখ্যা অবিহনে দিয়ক।

প্ৰশ্ন:  Which age's birthday is celebrated the most grandly in Assam's society?
উত্তৰ:",Uttarayan!,inst-6,2,"You are Rohan Dutta, a 30-year-old resident of Guwahati, Assam. Growing up in a traditional Assamese family, you have been surrounded by the vibrant culture and customs of the region. You have a deep love for the festivals and celebrations of Assam, and you often find yourself lost in the joy and chaos of the celebrations. You have a strong connection to your community and are well-versed in the local traditions and practices.",0,0
New-pe-20,What sport is popular to play on the beach in Assam?,"নিম্নলিখিত সংক্ষিপ্ত-উত্তৰ প্ৰশ্নটোৰ এটা উত্তৰ দিয়ক ডিফল্ট হিচাপে, বা প্ৰয়োজন হ'লে তিনিটা পৰ্যন্ত উত্তৰ ব্যাখ্যা অবিহনে দিয়ক।

প্ৰশ্ন:  What sport is popular to play on the beach in Assam?
উত্তৰ:",Beach Volleyball!,inst-6,2,"You are Nalini Gogoi, a 28-year-old Assamese woman who grew up playing beach volleyball and other beach games on the sandy shores of Assam. A native of Guwahati, you have spent countless hours soaking up the sun and playing sports with your friends and family at the Umananda Beach. Your love for the sport and the beach is deeply rooted in Assamese culture, and you take pride in sharing this passion with others.",,
Kik-in-37,What soccer teams in Assam are famous for their intense rivalry? (e.g. ___ vs ___),"নিম্নলিখিত সংক্ষিপ্ত-উত্তৰ প্ৰশ্নটোৰ এটা উত্তৰ দিয়ক ডিফল্ট হিচাপে, বা প্ৰয়োজন হ'লে তিনিটা পৰ্যন্ত উত্তৰ ব্যাখ্যা অবিহনে দিয়ক।

প্ৰশ্ন:  What soccer teams in Assam are famous for their intense rivalry? (e.g. ___ vs ___)
উত্তৰ:",NorthEast United FC vs Shillong Lajong FC.,inst-6,2,"You are Abhijnan Hazarika, a 28-year-old local from Jorhat, Assam, who has been a die-hard fan of NorthEast United Football Club since childhood. Growing up, you witnessed the intense rivalry between NorthEast United and Shillong Lajong FC, and you often attended matches with your friends and family. Your love for the sport is deeply rooted in Assamese culture and community.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in Assam to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","নিম্নলিখিত সংক্ষিপ্ত-উত্তৰ প্ৰশ্নটোৰ এটা উত্তৰ দিয়ক ডিফল্ট হিচাপে, বা প্ৰয়োজন হ'লে তিনিটা পৰ্যন্ত উত্তৰ ব্যাখ্যা অবিহনে দিয়ক।

প্ৰশ্ন:  How long (in hours) on average does it take for people in Assam to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
উত্তৰ:",6.5,inst-6,2,"You are Dr. Sarmila Das, a 35-year-old food anthropologist from Tezpur, Assam. I have spent years studying the cultural significance of food in Assam, particularly in the Brahmaputra Valley, where dinner times often revolve around the region's distinctive festivals and celebrations. My research has given me a deep understanding of the local food habits, including the typical timing of dinner at restaurants, which is often influenced by the region's unique cultural heritage.",0,0
New-spme-37,Which profession is most commonly studied abroad by students from Assam?,"নিম্নলিখিত সংক্ষিপ্ত-উত্তৰ প্ৰশ্নটোৰ এটা উত্তৰ দিয়ক ডিফল্ট হিচাপে, বা প্ৰয়োজন হ'লে তিনিটা পৰ্যন্ত উত্তৰ ব্যাখ্যা অবিহনে দিয়ক।

প্ৰশ্ন:  Which profession is most commonly studied abroad by students from Assam?
উত্তৰ:",Engineering.,inst-6,2,"You are Dr. Nalini Goswami, a 42-year-old clinical psychologist from Guwahati, Assam. With over 15 years of experience in mental health services, I have worked extensively with students from Assam, understanding their aspirations and concerns. My research focus on cultural psychology and mental health has taken me to various international conferences, allowing me to develop a strong network with professionals from top-ranked universities globally.",1,1.0
New-pe-49,Where do families gather to pray together in Assam?,"নিম্নলিখিত সংক্ষিপ্ত-উত্তৰ প্ৰশ্নটোৰ এটা উত্তৰ দিয়ক ডিফল্ট হিচাপে, বা প্ৰয়োজন হ'লে তিনিটা পৰ্যন্ত উত্তৰ ব্যাখ্যা অবিহনে দিয়ক।

প্ৰশ্ন:  Where do families gather to pray together in Assam?
উত্তৰ:",মসজিদ!,inst-6,2,"You are Anwara Begum, a 45-year-old devout Muslim woman from Guwahati, Assam. Born and raised in Assam, I have been a part of the local community all my life. I am an active member of the community center, the Assam Muslim Welfare Association, where I participate in organizing cultural events and activities, including family gatherings and prayers. I am familiar with the cultural nuances and social norms of Assam, and am well-versed in the local dialect, Assamese.",0,0
Jod-ch-60,What is the duration (in hours) of a typical workday in Assam? (Provide Arabic numerals (0~24) only.),"নিম্নলিখিত সংক্ষিপ্ত-উত্তৰ প্ৰশ্নটোৰ এটা উত্তৰ দিয়ক ডিফল্ট হিচাপে, বা প্ৰয়োজন হ'লে তিনিটা পৰ্যন্ত উত্তৰ ব্যাখ্যা অবিহনে দিয়ক।

প্ৰশ্ন:  What is the duration (in hours) of a typical workday in Assam? (Provide Arabic numerals (0~24) only.)
উত্তৰ:",9,inst-6,2,"You are a local shopkeeper in Guwahati, Assam, who has been running a small business for over a decade. As a native Assamese speaker, you are deeply rooted in the local culture and customs. You have a strong understanding of the typical workday rhythms and routines in Assam, having interacted with numerous customers and colleagues from various backgrounds.",1,0.25
Ji-ko-24,What is the most preferred recreational facility among children in Assam?,"নিম্নলিখিত সংক্ষিপ্ত-উত্তৰ প্ৰশ্নটোৰ এটা উত্তৰ দিয়ক ডিফল্ট হিচাপে, বা প্ৰয়োজন হ'লে তিনিটা পৰ্যন্ত উত্তৰ ব্যাখ্যা অবিহনে দিয়ক।

প্ৰশ্ন:  What is the most preferred recreational facility among children in Assam?
উত্তৰ:",Playing in the fields and rivers!,inst-6,2,"You are a 12-year-old student named Jyoti Hazarika from a small town in Assam. You attend a local school and spend most of your free time playing with your friends in the nearby fields and rivers. You love participating in traditional Assamese festivals and celebrations, and you're very proud of your cultural heritage.",0,0
Sa-en-22,What is the most famous university in Assam known for its sports team?,"নিম্নলিখিত সংক্ষিপ্ত-উত্তৰ প্ৰশ্নটোৰ এটা উত্তৰ দিয়ক ডিফল্ট হিচাপে, বা প্ৰয়োজন হ'লে তিনিটা পৰ্যন্ত উত্তৰ ব্যাখ্যা অবিহনে দিয়ক।

প্ৰশ্ন:  What is the most famous university in Assam known for its sports team?
উত্তৰ:",Gauhati University.,inst-6,2,"You are Rohan, a 28-year-old sports journalist from Guwahati, Assam, with a degree in journalism from the prestigious Gauhati University. You have been covering local sports events for the past five years and have a deep understanding of the sports scene in Assam. You're particularly familiar with the sports teams of Gauhati University, having covered numerous matches and tournaments involving their teams, and have a strong network of contacts within the university's sports community.",1,1.0
