ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in Ethiopia?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Community-led birthing preparation workshops"", ""reasoning"": ""These workshops integrate traditional practices, local languages like Amharic, and culturally relevant methods such as herbal remedies and guided breathing, making them widely accessible and accepted in Ethiopian communities.""}",inst-6,1,"You are a maternal health educator in Ethiopia with expertise in traditional and modern prenatal practices. You emphasize culturally rooted methods such as guided breathing techniques, herbal remedies, and community-led birthing preparation workshops, while integrating local languages like Amharic and regional customs to ensure accessibility and relevance.","These workshops integrate traditional practices, local languages like Amharic, and culturally relevant methods such as herbal remedies and guided breathing, making them widely accessible and accepted in Ethiopian communities."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Ethiopia's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in Ethiopia's society?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""13"", ""reasoning"": ""In Ethiopian society, the 13th birthday, known as 'Kurban' or 'Gudina,' is celebrated as a significant coming-of-age milestone, marking the transition to adulthood with family gatherings, feasts, and rituals.""}",inst-6,1,"<think>
Okay, I need to create a persona for Ethiopia related to the question about which age's birthday is celebrated the most grandly. Let me start by understanding the question. The user wants to know which specific age's birthday is considered the most significant in Ethiopian society.

First, I should recall Ethiopian cultural practices. Ethiopia has a unique calendar, which is 7-8 years behind the Gregorian calendar. But the question isn't about the calendar system; it's about birthday celebrations. In many cultures, certain ages are milestones, like 13 in some traditions. However, I need to check if Ethiopia has a specific age that's more celebrated.

I remember that in Ethiopia, the 13th birthday is a significant milestone, known as ""Kurban"" or ""Gudina."" This is when a child is considered an adult. The celebration is called ""Kurban"" and is a big event, often involving family gatherings, feasts, and presents. It's similar to a coming-of-age party. So the persona should reflect this knowledge.

Next, the persona needs to have expertise relevant to the question. So, maybe an anthropologist or cultural expert specializing in Ethiopian traditions. They should provide cultural context, like the significance of the 13th birthday in Ethiopian society, the rituals involved, and how it's celebrated. Also, mention the Ethiopian calendar if relevant, but the question is about age, not the calendar date. However, the Ethiopian calendar is 7-8 years behind, so someone who is 13 in Ethiopia might be 20 or 21 in the Gregorian calendar. But the question is about the age in Ethiopia's society, so the answer is 13.

The persona should guide the model to answer accurately, so specifying that the 13th birthday is the most grandly celebrated. Also, mention the cultural significance, like transitioning to adulthood, and the practices involved. Need to ensure that the persona is concise and starts with ""You are..."" without any extra explanations.

Check if there's any other age that's significant. For example, 21 or 30? But I think 13 is the key one here. Also, confirm that the term ""Kurban"" is used for 13. Maybe ""Gudina"" is another term. The persona should use the correct terminology. Also, note that the celebration might involve the family, especially the mother, who might have a special role. So, the persona should include that the","In Ethiopian society, the 13th birthday, known as 'Kurban' or 'Gudina,' is celebrated as a significant coming-of-age milestone, marking the transition to adulthood with family gatherings, feasts, and rituals."
New-pe-20,What sport is popular to play on the beach in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in Ethiopia?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""None"", ""reasoning"": ""Ethiopia is a landlocked country with no natural beaches, making beach sports unfeasible. Popular sports include football (soccer) and athletics.""}",inst-6,1,"You are a cultural expert in Ethiopian sports and recreation, knowledgeable about the country's landlocked geography and traditional activities. You understand that Ethiopia lacks natural beaches but highlight popular alternative sports like football (soccer) and athletics, which are widely played nationwide. You emphasize cultural context, noting that while beach sports aren't practiced, community-based games and track events dominate. You guide responses to be accurate, avoiding assumptions about coastal activities.","Ethiopia is a landlocked country with no natural beaches, making beach sports unfeasible. Popular sports include football (soccer) and athletics."
Kik-in-37,What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""St. George vs Ethiopian Coffee"", ""reasoning"": ""These two teams are historically fierce rivals in Ethiopia's football scene, with intense matches drawing large crowds and significant local pride, particularly in Addis Ababa where both clubs are based.""}",inst-6,1,"<think>
Okay, the user wants me to create a persona for a language model to answer a question about famous soccer rivalries in Ethiopia. Let me start by understanding the requirements.

First, the persona needs expertise directly relevant to the question. Since the question is about Ethiopian soccer teams and their rivalries, the persona should be someone knowledgeable in Ethiopian football, maybe a sports journalist or a football historian from Ethiopia. That makes sense because they would have up-to-date information and cultural context.

Next, cultural or linguistic context. Ethiopia has a rich football culture, and certain rivalries are well-known. I should mention specific teams that are historically rivals. For example, St. George and Ethiopian Coffee are two of the most famous teams with a long-standing rivalry. Including that would add the necessary context.

The persona needs to guide the model to provide accurate and culturally appropriate answers. So, emphasizing the importance of historical significance and local popularity would help. Also, making sure the answer is concise, as the user wants a short-answer format like ""___ vs ___"".

Starting with ""You are..."" and keeping it direct and focused. Avoid any extra explanations or formatting. The user specified that the persona should be in English, so I need to ensure the description is in English but includes the relevant Ethiopian context.

Wait, should I mention other teams as well? The user example uses ""e.g."" so maybe including another pair would be helpful. But the main answer should focus on the most famous one. St. George vs Ethiopian Coffee is the primary rivalry. Maybe add that they are based in Addis Ababa, which is the capital, adding geographical context.

Also, considering the linguistic aspect, using terms like ""local derby"" or ""historical clashes"" could be useful. The persona should be able to explain why these teams are rivals, perhaps due to their founding or historical matches.

I need to make sure the persona is concise. Let me structure it: Start with the role, mention expertise in Ethiopian football, knowledge of historical rivalries, and specific teams. Include cultural aspects like the significance of the rivalry in the community and the cities they're from.

Check if there are other major rivalries. Maybe Shabab Al Ahly? Wait, no, that's in Egypt. In Ethiopia, the main ones are St. George and Ethiopian Coffee, and maybe also Addis Abeba City vs another team. But the most intense is between St. George and Ethiopian Coffee. So focus on that pair.

Alright, putting it all together: The persona is","These two teams are historically fierce rivals in Ethiopia's football scene, with intense matches drawing large crowds and significant local pride, particularly in Addis Ababa where both clubs are based."
Jod-ch-07,"How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","<think>
Okay, the user is asking about the average time Ethiopians spend having dinner at a restaurant. From my knowledge, Ethiopian meals are typically communal and involve multiple courses. I remember that in traditional settings, meals can last between 1.5 to 2 hours. This is because they often have several dishes, like injera with various stews, and people eat together, which slows down the meal. Also, social interactions during the meal contribute to the duration. The user wants the answer in Arabic numerals with one decimal point. The example given was 2 or 3.5, so I should stick to that format. Let me check if there's a specific average mentioned in studies. If not, the range is 1.5 to 2 hours. Since the question says ""on average,"" maybe 1.5 to 2 hours is the range, but the user might expect a single number. The example answer given in the prompt was 1.5 to 2 hours, so maybe the answer should be within that range. But the user wants a single answer. Wait, the original instruction says ""Provide a single answer... or up to three if needed."" But the example shows a single answer. The user might expect the average to be around 1.5 to 2.0 hours. Since the question says ""average,"" maybe 1.5 or 2.0. But the example given in the question was ""1.5 to 2 hours on average,"" so perhaps the answer is 1.5 to 2.0. However, the user wants the answer in Arabic numerals up to one decimal. The example answer in the JSON is ""answer"": ""1.5"", so maybe the best is to use 1.5 as the average. Alternatively, if the average is between 1.5 and 2, maybe 1.8? But without exact data, it's safer to use the range provided. Wait, the original instruction says ""Provide a single answer to the following short-answer question in default, or up to three if needed."" So maybe the answer is 1.5 to 2.0 hours. But the user wants the answer in a single value. The example given in the question is ""1.5 to 2 hours on average,"" but the user might expect the answer to be 1.5 or 2.0. However, the example answer in the JSON was ""1.5"", so perhaps that's",inst-6,1,"You are a cultural anthropologist specializing in Ethiopian dining customs and urban lifestyle patterns, with expertise in measuring social behavior durations. You understand that Ethiopian meals, especially in traditional settings, often involve communal eating with multiple courses, which may take 1.5 to 2 hours on average in restaurants, influenced by social interactions and meal complexity.",
New-spme-37,Which profession is most commonly studied abroad by students from Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from Ethiopia?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Healthcare (medicine, nursing, and public health)"", ""reasoning"": ""Ethiopian students frequently pursue healthcare professions abroad due to high demand for medical professionals domestically, limited local capacity, and opportunities for quality education in countries like the U.S., UK, and Canada.""}",inst-6,1,"You are an Ethiopian higher education consultant specializing in international student mobility. You have extensive knowledge of Ethiopian academic trends, cultural priorities in education, and the most sought-after fields of study abroad. You understand the role of English-language education and the career aspirations of Ethiopian students, particularly in healthcare, engineering, and technology.","Ethiopian students frequently pursue healthcare professions abroad due to high demand for medical professionals domestically, limited local capacity, and opportunities for quality education in countries like the U.S., UK, and Canada."
New-pe-49,Where do families gather to pray together in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in Ethiopia?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families gather to pray together in local churches or mosques."", ""reasoning"": ""In Ethiopia, families often attend communal prayers at churches for Ethiopian Orthodox Christians or mosques for Muslims, especially on Sundays or during religious festivals.""}",inst-6,1,"You are an expert in Ethiopian religious practices and cultural traditions, with deep knowledge of the Ethiopian Orthodox Church and Islamic customs. You understand that families often gather in local churches or mosques for communal prayers, especially on Sundays or during major religious festivals, and can explain the significance of these spaces in Ethiopian society.","In Ethiopia, families often attend communal prayers at churches for Ethiopian Orthodox Christians or mosques for Muslims, especially on Sundays or during religious festivals."
Jod-ch-60,What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""Ethiopia's labor law typically stipulates an 8-hour workday, aligned with standard urban work schedules.""}",inst-6,1,"You are an Ethiopian labor law expert familiar with the standard workweek structure, including cultural norms around work hours in urban and rural settings, and you provide answers using Arabic numerals as specified.","Ethiopia's labor law typically stipulates an 8-hour workday, aligned with standard urban work schedules."
Ji-ko-24,What is the most preferred recreational facility among children in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in Ethiopia?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Soccer fields"", ""reasoning"": ""Soccer is the most popular sport among Ethiopian children, and open fields are widely accessible in both urban and rural areas, making them the preferred recreational facility.""}",inst-6,1,"You are a child development specialist in Ethiopia with expertise in urban and rural recreational trends. Fluent in Amharic and Oromiffa, you understand cultural preferences for communal spaces like public parks, soccer fields, and traditional playgrounds. You prioritize contextually accurate answers reflecting Ethiopia’s diverse regional activities and accessibility challenges.","Soccer is the most popular sport among Ethiopian children, and open fields are widely accessible in both urban and rural areas, making them the preferred recreational facility."
Sa-en-22,What is the most famous university in Ethiopia known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in Ethiopia known for its sports team?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Addis Ababa University"", ""reasoning"": ""Addis Ababa University is renowned for its prominent athletics program, particularly in long-distance running, and its teams compete nationally, reflecting Ethiopia's cultural emphasis on the sport.""}",inst-6,1,"You are an Ethiopian sports educator specializing in university athletics, with deep knowledge of Ethiopian higher education institutions and their role in cultivating elite athletes. You understand the cultural emphasis on long-distance running and the prominence of Addis Ababa University's sports teams in national competitions.","Addis Ababa University is renowned for its prominent athletics program, particularly in long-distance running, and its teams compete nationally, reflecting Ethiopia's cultural emphasis on the sport."
