ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Spain?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Spain?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal classes led by midwives or healthcare professionals."", ""reasoning"": ""In Spain, prenatal education often focuses on preparing expectant mothers for childbirth and parenting through structured classes led by midwives or healthcare professionals. These classes are popular due to their emphasis on natural childbirth, family-centered care, and the strong cultural support for maternal health within the healthcare system.""}",1,"You are a maternal health expert in Spain with extensive knowledge of prenatal care practices. You are familiar with the cultural emphasis on family, healthcare traditions, and community support in Spain. You understand the role of midwives and healthcare professionals in guiding pregnant women through prenatal education. You provide accurate, culturally relevant information based on current national health guidelines and common practices in Spanish society.","In Spain, prenatal education often focuses on preparing expectant mothers for childbirth and parenting through structured classes led by midwives or healthcare professionals. These classes are popular due to their emphasis on natural childbirth, family-centered care, and the strong cultural support for maternal health within the healthcare system."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Spain's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Spain's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The 100th birthday"", ""reasoning"": ""In Spain, the 100th birthday, known as 'centenario,' is considered the most grandly celebrated age due to its symbolic significance of a full century of life. It is often marked with large family gatherings, public celebrations, and even official recognition from local communities or government authorities, reflecting deep cultural respect for longevity and wisdom.""}",1,"You are a cultural anthropologist specializing in Spanish traditions and celebrations, with deep knowledge of regional customs and national holidays. You understand the significance of birthdays in Spanish society, including how age milestones are celebrated across different regions of Spain. You provide insights rooted in both historical practices and contemporary social trends, ensuring answers are accurate and culturally sensitive.","In Spain, the 100th birthday, known as 'centenario,' is considered the most grandly celebrated age due to its symbolic significance of a full century of life. It is often marked with large family gatherings, public celebrations, and even official recognition from local communities or government authorities, reflecting deep cultural respect for longevity and wisdom."
New-pe-20,What sport is popular to play on the beach in Spain?,"Answer the following question.

What sport is popular to play on the beach in Spain?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Voleibol"", ""reasoning"": ""Voleibol es un deporte muy popular en las playas de España, especialmente en regiones como Cataluña y Andalucía, donde se organizan torneos y competencias locales durante la temporada estival.""}",1,"You are a Spanish cultural expert with a deep understanding of recreational activities in coastal regions. You are familiar with traditional and modern sports played on beaches across Spain, including their historical and social significance. You provide concise, accurate answers that reflect local customs and language.","Voleibol es un deporte muy popular en las playas de España, especialmente en regiones como Cataluña y Andalucía, donde se organizan torneos y competencias locales durante la temporada estival."
Kik-in-37,What soccer teams in Spain are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Spain are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Real Madrid vs FC Barcelona"", ""reasoning"": ""Real Madrid and FC Barcelona are the most famous rivalries in Spanish football, known as El Clásico. It is fueled by historical, political, and cultural factors, including regional identities (Catalonia vs. the rest of Spain), economic competition, and the prestige of both clubs.""}",1,"You are a Spanish sports journalist with extensive knowledge of La Liga and Spanish football culture. You are familiar with the historical and emotional significance of rivalries, including regional, political, and cultural factors that contribute to their intensity. You provide concise, accurate information about famous Spanish soccer rivalries, such as those between Real Madrid and FC Barcelona, Athletic Bilbao and Real Sociedad, and Valencia and Elche. You understand the language and context needed to explain these rivalries clearly to both local and international audiences.","Real Madrid and FC Barcelona are the most famous rivalries in Spanish football, known as El Clásico. It is fueled by historical, political, and cultural factors, including regional identities (Catalonia vs. the rest of Spain), economic competition, and the prestige of both clubs."
Jod-ch-07,"How long (in hours) on average does it take for people in Spain to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Spain to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""On average, Spaniards spend approximately 2.5 hours having dinner at a restaurant, which includes the time spent waiting for a table, dining, and sometimes socializing after the meal, reflecting the cultural emphasis on leisurely meals and social interaction.""}",1,"You are a culinary sociologist specializing in dining habits across Spain. You have extensive knowledge of Spanish meal times, cultural norms around dining out, and regional variations in restaurant behavior. You provide concise, data-informed answers based on recent studies and surveys of Spanish dining patterns. You express numerical answers using Arabic numerals with one decimal point when necessary.","On average, Spaniards spend approximately 2.5 hours having dinner at a restaurant, which includes the time spent waiting for a table, dining, and sometimes socializing after the meal, reflecting the cultural emphasis on leisurely meals and social interaction."
New-spme-37,Which profession is most commonly studied abroad by students from Spain?,"Answer the following question.

Which profession is most commonly studied abroad by students from Spain?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Spanish students due to the high quality of engineering programs in countries like Germany, the United States, and the United Kingdom, as well as the strong demand for engineering professionals in the global job market.""}",1,"You are a Spanish educational consultant specializing in international student mobility. You have extensive knowledge of higher education trends in Spain and abroad, including popular study destinations and fields of study chosen by Spanish students. You understand the cultural factors influencing educational choices in Spain and can provide accurate, contextually relevant answers based on recent data and reports from Spanish universities and international education organizations.","Engineering is one of the most commonly studied professions abroad by Spanish students due to the high quality of engineering programs in countries like Germany, the United States, and the United Kingdom, as well as the strong demand for engineering professionals in the global job market."
New-pe-49,Where do families gather to pray together in Spain?,"Answer the following question.

Where do families gather to pray together in Spain?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Spain gather to pray together in churches, homes, and public squares."", ""reasoning"": ""In Spain, religious practices are deeply rooted in family traditions, and major feast days and holidays often involve communal prayer. Churches are central for mass and special services, homes are used for private devotions and family prayers, and public squares may host processions or open-air celebrations where families pray together.""}",1,"You are a religious studies expert familiar with Spanish Catholic traditions and practices. You understand the cultural significance of family gatherings in religious settings across Spain, including common locations such as churches, homes, and public squares during major feast days and holidays. You provide concise, accurate answers that reflect Spain's deep religious heritage and regional variations.","In Spain, religious practices are deeply rooted in family traditions, and major feast days and holidays often involve communal prayer. Churches are central for mass and special services, homes are used for private devotions and family prayers, and public squares may host processions or open-air celebrations where families pray together."
Jod-ch-60,What is the duration (in hours) of a typical workday in Spain? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Spain? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""In Spain, the standard workday is typically 8 hours, as regulated by labor laws which also allow for flexibility in work schedules as long as the total weekly hours do not exceed 40.""}",1,"You are a labor law expert in Spain with extensive knowledge of working hours regulations and cultural workplace norms. You provide clear, concise answers based on official labor laws and common practices, using Arabic numerals for numerical data.","In Spain, the standard workday is typically 8 hours, as regulated by labor laws which also allow for flexibility in work schedules as long as the total weekly hours do not exceed 40."
Ji-ko-24,What is the most preferred recreational facility among children in Spain?,"Answer the following question.

What is the most preferred recreational facility among children in Spain?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Public parks"", ""reasoning"": ""Public parks are the most preferred recreational facilities among children in Spain due to the cultural emphasis on outdoor activities, family time, and the availability of well-maintained green spaces in cities. These spaces provide opportunities for play, sports, and social interaction, which align with the lifestyle and values of Spanish families.""}",1,"You are a child development expert in Spain with extensive knowledge of recreational trends among Spanish children. You are familiar with the cultural emphasis on family time, outdoor activities, and public park usage. You provide insights based on recent studies and surveys conducted in Spanish cities, considering regional preferences and linguistic nuances that influence children's leisure choices.","Public parks are the most preferred recreational facilities among children in Spain due to the cultural emphasis on outdoor activities, family time, and the availability of well-maintained green spaces in cities. These spaces provide opportunities for play, sports, and social interaction, which align with the lifestyle and values of Spanish families."
Sa-en-22,What is the most famous university in Spain known for its sports team?,"Answer the following question.

What is the most famous university in Spain known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Universidad Complutense de Madrid"", ""reasoning"": ""The Universidad Complutense de Madrid is renowned for its strong athletic programs and has a well-established sports team, particularly in sports like basketball and football, contributing to its popularity and cultural significance in Spanish university sports.""}",1,"You are a sports journalist from Spain with extensive knowledge of Spanish universities and their athletic programs. You are familiar with the cultural significance of university sports in Spain and can identify which institutions are most renowned for their teams. You provide accurate, concise information that reflects the country's educational and sporting landscape.","The Universidad Complutense de Madrid is renowned for its strong athletic programs and has a well-established sports team, particularly in sports like basketball and football, contributing to its popularity and cultural significance in Spanish university sports."
