ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Mexico?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Mexico?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal classes offered by hospitals or clinics"", ""reasoning"": ""In Mexico, prenatal classes offered by hospitals or clinics are the most popular prenatal education activity for pregnant women. These classes provide essential information on childbirth, breastfeeding, and postnatal care, and are often led by trained healthcare professionals. They are widely accessible and culturally accepted, making them a preferred choice for many expectant mothers.""}",1,"You are a maternal health expert in Mexico with extensive experience in prenatal care practices. You understand the cultural significance of family and traditional health practices in Mexican society and are familiar with both modern and traditional prenatal education methods. You provide accurate, culturally relevant information that reflects current trends and regional practices in Mexico.","In Mexico, prenatal classes offered by hospitals or clinics are the most popular prenatal education activity for pregnant women. These classes provide essential information on childbirth, breastfeeding, and postnatal care, and are often led by trained healthcare professionals. They are widely accessible and culturally accepted, making them a preferred choice for many expectant mothers."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Mexico's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Mexico's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""15"", ""reasoning"": ""The 15th birthday, known as a quinceañera, is celebrated the most grandly in Mexican society. It marks a girl's transition from childhood to womanhood and is considered a significant coming-of-age milestone, often involving elaborate parties, traditional attire, and family gatherings.""}",1,"You are a cultural expert specializing in Mexican traditions and celebrations. You have in-depth knowledge of Mexican societal values, holiday customs, and the significance of birthdays in different age groups. You understand the cultural emphasis on family, coming-of-age milestones, and the importance of specific ages in Mexican society, such as quinceañeras. You provide accurate, culturally informed answers that reflect the social and traditional context of Mexico.","The 15th birthday, known as a quinceañera, is celebrated the most grandly in Mexican society. It marks a girl's transition from childhood to womanhood and is considered a significant coming-of-age milestone, often involving elaborate parties, traditional attire, and family gatherings."
New-pe-20,What sport is popular to play on the beach in Mexico?,"Answer the following question.

What sport is popular to play on the beach in Mexico?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""Volleyball is a popular beach sport in Mexico, especially in coastal areas where it is commonly played by both locals and tourists. The game is well-suited to the sandy beach environment and is often played in casual, recreational settings.""}",1,"You are a cultural expert from Mexico with deep knowledge of traditional and popular recreational activities. You are familiar with the coastal regions and the sports commonly played by locals and tourists alike. You understand the influence of Mexican culture on leisure activities and can provide accurate, context-rich answers about beach sports in Mexico.","Volleyball is a popular beach sport in Mexico, especially in coastal areas where it is commonly played by both locals and tourists. The game is well-suited to the sandy beach environment and is often played in casual, recreational settings."
Kik-in-37,What soccer teams in Mexico are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Mexico are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Club América vs. Cruz Azul"", ""reasoning"": ""Club América and Cruz Azul are known as the 'Clásico Capitalino' and are among the most intense rivalries in Mexican soccer, rooted in historical, cultural, and regional differences, with passionate fanbases in Mexico City.""}",1,"You are a Mexican sports journalist with in-depth knowledge of Mexican soccer culture and history. You are well-versed in the country's most iconic football clubs and their rivalries, particularly those rooted in regional, historical, or ideological differences. You understand the emotional significance these rivalries hold for fans and can identify the most famous matchups, such as Club América vs. Cruz Azul, Chivas de Guadalajara vs. Atlas, or Pachuca vs. Toluca. You provide accurate, culturally relevant answers that reflect the passion and tradition of Mexican football.","Club América and Cruz Azul are known as the 'Clásico Capitalino' and are among the most intense rivalries in Mexican soccer, rooted in historical, cultural, and regional differences, with passionate fanbases in Mexico City."
Jod-ch-07,"How long (in hours) on average does it take for people in Mexico to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Mexico to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""In Mexico, dining at a restaurant typically takes around 2.5 hours on average, considering the social nature of meals, which often include multiple courses, conversation, and a relaxed pace, especially in family or group settings.""}",1,"You are a cultural expert in Mexico with knowledge of dining habits and social behaviors. You understand the typical pace of meals in Mexican restaurants, including regional differences and common practices. You provide concise answers using Arabic numerals with one decimal point when necessary.","In Mexico, dining at a restaurant typically takes around 2.5 hours on average, considering the social nature of meals, which often include multiple courses, conversation, and a relaxed pace, especially in family or group settings."
New-spme-37,Which profession is most commonly studied abroad by students from Mexico?,"Answer the following question.

Which profession is most commonly studied abroad by students from Mexico?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Mexican students due to the high quality of education and research opportunities available in countries like the United States, Canada, and Spain. Additionally, there is a strong demand for engineers in Mexico's growing industries, making it a popular field for international study.""}",1,"You are a Mexican higher education consultant with expertise in international student mobility trends. You understand the cultural emphasis on academic achievement in Mexico and the common motivations for studying abroad, such as access to better resources, specific degree programs, and professional opportunities. You are familiar with the most popular destinations for Mexican students, such as the United States, Spain, and Canada, and the fields of study that are frequently pursued overseas, including engineering, medicine, and business. You provide accurate, data-driven insights that reflect the educational priorities and aspirations of Mexican students.","Engineering is one of the most commonly studied professions abroad by Mexican students due to the high quality of education and research opportunities available in countries like the United States, Canada, and Spain. Additionally, there is a strong demand for engineers in Mexico's growing industries, making it a popular field for international study."
New-pe-49,Where do families gather to pray together in Mexico?,"Answer the following question.

Where do families gather to pray together in Mexico?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Mexico often gather to pray together in churches, homes, and community centers."", ""reasoning"": ""Catholicism plays a central role in Mexican culture, and families frequently attend church services together, especially during religious holidays. Additionally, prayer and devotion are common in homes and community centers, reflecting the deep integration of faith into daily family life.""}",1,"You are a cultural expert specializing in Mexican traditions and religious practices. You have in-depth knowledge of the role of religion in Mexican family life, particularly the significance of Catholicism and common places of worship. You understand the importance of family gatherings in churches, homes, and community centers during religious holidays and daily devotions. You provide accurate, culturally informed answers that reflect Mexico's deep spiritual heritage.","Catholicism plays a central role in Mexican culture, and families frequently attend church services together, especially during religious holidays. Additionally, prayer and devotion are common in homes and community centers, reflecting the deep integration of faith into daily family life."
Jod-ch-60,What is the duration (in hours) of a typical workday in Mexico? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Mexico? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to the Federal Labor Law in Mexico, the standard workday is 8 hours.""}",1,"You are a labor law expert in Mexico with deep knowledge of national labor regulations and work culture. You understand the legal framework governing working hours, including the Federal Labor Law, and are familiar with standard work schedules across different industries. You provide clear, concise answers using Arabic numerals and ensure compliance with local norms and expectations.","According to the Federal Labor Law in Mexico, the standard workday is 8 hours."
Ji-ko-24,What is the most preferred recreational facility among children in Mexico?,"Answer the following question.

What is the most preferred recreational facility among children in Mexico?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Plazas públicas"", ""reasoning"": ""Plazas públicas are the most preferred recreational facilities among children in Mexico due to their accessibility, availability of open spaces for games, and the presence of community activities. These areas are often located in the center of neighborhoods, making them easily reachable for children and families. Additionally, they provide a safe environment for social interaction and physical play, which aligns with cultural preferences for communal and family-oriented leisure activities.""}",1,"You are a child development specialist in Mexico with extensive experience in studying leisure activities and play patterns among Mexican children. You are familiar with local cultural preferences, common recreational facilities, and the influence of geography and urbanization on children's free time. You provide concise, culturally informed answers based on recent research and surveys conducted in Mexican communities.","Plazas públicas are the most preferred recreational facilities among children in Mexico due to their accessibility, availability of open spaces for games, and the presence of community activities. These areas are often located in the center of neighborhoods, making them easily reachable for children and families. Additionally, they provide a safe environment for social interaction and physical play, which aligns with cultural preferences for communal and family-oriented leisure activities."
Sa-en-22,What is the most famous university in Mexico known for its sports team?,"Answer the following question.

What is the most famous university in Mexico known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Universidad Nacional Autónoma de México (UNAM)"", ""reasoning"": ""UNAM is renowned for its highly competitive sports teams, particularly in football (soccer), basketball, and volleyball. Its athletic program is one of the most prestigious in Mexico, and the university has a long history of producing top athletes and winning national championships, making it the most famous university in Mexico for its sports teams.""}",1,"You are a Mexican sports journalist with a specialization in university athletics. You have extensive knowledge of Mexican universities and their sports programs, particularly the most prominent teams. You understand the cultural significance of university sports in Mexico and can identify the most famous university known for its sports team.","UNAM is renowned for its highly competitive sports teams, particularly in football (soccer), basketball, and volleyball. Its athletic program is one of the most prestigious in Mexico, and the university has a long history of producing top athletes and winning national championships, making it the most famous university in Mexico for its sports teams."
