ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Iran?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Prenatal classes.,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Iran's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Iran's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",15,1,,
New-pe-20,What sport is popular to play on the beach in Iran?,"Answer the following question.

What sport is popular to play on the beach in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Beach volleyball,1,,
Kik-in-37,What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Esteghlal vs Persepolis,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",2.5,1,,
New-spme-37,Which profession is most commonly studied abroad by students from Iran?,"Answer the following question.

Which profession is most commonly studied abroad by students from Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Engineering,1,,
New-pe-49,Where do families gather to pray together in Iran?,"Answer the following question.

Where do families gather to pray together in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mosques,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",8,1,,
Ji-ko-24,What is the most preferred recreational facility among children in Iran?,"Answer the following question.

What is the most preferred recreational facility among children in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Swimming pool.,1,,
Sa-en-22,What is the most famous university in Iran known for its sports team?,"Answer the following question.

What is the most famous university in Iran known for its sports team?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Tarbiat Modares University (TMU),1,,
Al-en-19,What is a popular second language for high school students in Iran?,"Answer the following question.

What is a popular second language for high school students in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",English,1,,
Ne-ar-09,What do people from Iran eat in Eid ul Fitr?,"Answer the following question.

What do people from Iran eat in Eid ul Fitr?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Saffron rice, grilled fish, and traditional sweets such as baklava and gaz.",1,,
New-su-24,What sports do parents and children commonly play together in Iran?,"Answer the following question.

What sports do parents and children commonly play together in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Tennis, swimming, and cycling.",1,,
Ji-ko-42,What are the required subjects in Iran's university entrance exam?,"Answer the following question.

What are the required subjects in Iran's university entrance exam?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Persian, Mathematics, Biology, Physics, and Foreign Language (English or French)",1,,
New-pe-06,What is the most popular stew in Iran?,"Answer the following question.

What is the most popular stew in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Fesenjan,1,,
New-pe-86,What is the name of the most famous tower in Iran?,"Answer the following question.

What is the name of the most famous tower in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Milad Tower,1,,
Th-en-53,What is the most popular extracurricular social event at schools in Iran?,"Answer the following question.

What is the most popular extracurricular social event at schools in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Wedding parties.,1,,
Ca-sp-06,Which is the most important meal of the day to people from Iran?,"Answer the following question.

Which is the most important meal of the day to people from Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Breakfast,1,,
New-en-41,Who is the most well known and successful entrepreneur in Iran?,"Answer the following question.

Who is the most well known and successful entrepreneur in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mahmoud Khorsandian,1,,
New-su-33,What is the common dress code for school teachers in Iran?,"Answer the following question.

What is the common dress code for school teachers in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Chador,1,,
Th-en-44,What is Iran's most popular food for family meals on weekends?,"Answer the following question.

What is Iran's most popular food for family meals on weekends?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Khoresht e Bademjan (Eggplant Stew),1,,
Th-en-45,What is the most popular weekday evening family activity in Iran?,"Answer the following question.

What is the most popular weekday evening family activity in Iran?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Having dinner together,1,,
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in Iran? (e.g., 1 month).","Answer the following question.

How long is the typical probation period for new employees before signing a formal contract in Iran? (e.g., 1 month).

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",3 months,1,,
New-in-62,What university in Iran is popular because of its engineering major? (Provide the official name.),"Answer the following question.

What university in Iran is popular because of its engineering major? (Provide the official name.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Sharif University of Technology,1,,
