ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular prenatal education activity for pregnant women in Azerbaijan?
Answer:",Breastfeeding classes.,inst-4,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Azerbaijan's society?,"Read the following question and provide a single answer without any explanations.

Question: Which age's birthday is celebrated the most grandly in Azerbaijan's society?
Answer:",40,inst-4,1,,
New-pe-20,What sport is popular to play on the beach in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What sport is popular to play on the beach in Azerbaijan?
Answer:",Beach volleyball,inst-4,1,,
Kik-in-37,What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___),"Read the following question and provide a single answer without any explanations.

Question: What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:",Qarabağ FK vs Neftçi PFK,inst-4,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:",3.5,inst-4,1,,
New-spme-37,Which profession is most commonly studied abroad by students from Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Which profession is most commonly studied abroad by students from Azerbaijan?
Answer:",Medicine,inst-4,1,,
New-pe-49,Where do families gather to pray together in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Where do families gather to pray together in Azerbaijan?
Answer:",Mosques,inst-4,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.),"Read the following question and provide a single answer without any explanations.

Question: What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.)
Answer:",8,inst-4,1,,
Ji-ko-24,What is the most preferred recreational facility among children in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most preferred recreational facility among children in Azerbaijan?
Answer:",Beach,inst-4,1,,
Sa-en-22,What is the most famous university in Azerbaijan known for its sports team?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous university in Azerbaijan known for its sports team?
Answer:",Baku State University,inst-4,1,,
Al-en-19,What is a popular second language for high school students in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular second language for high school students in Azerbaijan?
Answer:",English,inst-4,1,,
Ne-ar-09,What do people from Azerbaijan eat in Eid ul Fitr?,"Read the following question and provide a single answer without any explanations.

Question: What do people from Azerbaijan eat in Eid ul Fitr?
Answer:",Piti and shekerbura,inst-4,1,,
New-su-24,What sports do parents and children commonly play together in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What sports do parents and children commonly play together in Azerbaijan?
Answer:",Judo,inst-4,1,,
Ji-ko-42,What are the required subjects in Azerbaijan's university entrance exam?,"Read the following question and provide a single answer without any explanations.

Question: What are the required subjects in Azerbaijan's university entrance exam?
Answer:","Mathematics, Azerbaijani Language and Literature, and Foreign Language (usually English)",inst-4,1,,
New-pe-06,What is the most popular stew in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular stew in Azerbaijan?
Answer:",Plov,inst-4,1,,
New-pe-86,What is the name of the most famous tower in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the name of the most famous tower in Azerbaijan?
Answer:",Qobustan Tower,inst-4,1,,
Th-en-53,What is the most popular extracurricular social event at schools in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular extracurricular social event at schools in Azerbaijan?
Answer:",Graduation Ball,inst-4,1,,
Ca-sp-06,Which is the most important meal of the day to people from Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Which is the most important meal of the day to people from Azerbaijan?
Answer:",Breakfast,inst-4,1,,
New-en-41,Who is the most well known and successful entrepreneur in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most well known and successful entrepreneur in Azerbaijan?
Answer:",Hikmat Akhundov,inst-4,1,,
New-su-33,What is the common dress code for school teachers in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the common dress code for school teachers in Azerbaijan?
Answer:",Business casual,inst-4,1,,
Th-en-44,What is Azerbaijan's most popular food for family meals on weekends?,"Read the following question and provide a single answer without any explanations.

Question: What is Azerbaijan's most popular food for family meals on weekends?
Answer:",Plov,inst-4,1,,
Th-en-45,What is the most popular weekday evening family activity in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular weekday evening family activity in Azerbaijan?
Answer:",Watching TV,inst-4,1,,
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in Azerbaijan? (e.g., 1 month).","Read the following question and provide a single answer without any explanations.

Question: How long is the typical probation period for new employees before signing a formal contract in Azerbaijan? (e.g., 1 month).
Answer:",1 month,inst-4,1,,
New-in-62,What university in Azerbaijan is popular because of its engineering major? (Provide the official name.),"Read the following question and provide a single answer without any explanations.

Question: What university in Azerbaijan is popular because of its engineering major? (Provide the official name.)
Answer:",Baku State University of Oil and Industry,inst-4,1,,
Ji-ko-34,How do elementary school students in Azerbaijan go to school?,"Read the following question and provide a single answer without any explanations.

Question: How do elementary school students in Azerbaijan go to school?
Answer:",By bus.,inst-4,1,,
Ta-pe-21,Where do children usually play soccer in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Where do children usually play soccer in Azerbaijan?
Answer:",Stadiums,inst-4,1,,
Tmp-ar-01,Where do university students in Azerbaijan usually go to study for their final exams?,"Read the following question and provide a single answer without any explanations.

Question: Where do university students in Azerbaijan usually go to study for their final exams?
Answer:",Libraries,inst-4,1,,
Ne-ar-38,Which food do people usually offer as charity in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Which food do people usually offer as charity in Azerbaijan?
Answer:",Plov,inst-4,1,,
Jod-ch-01,What eating utensils do people commonly used in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What eating utensils do people commonly used in Azerbaijan?
Answer:",Forks,inst-4,1,,
