ID,Translation,prompt,response,prompt_no,iteration,persona,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in North Korea?,"다음 주관식 질문에 대하여 기본적으로 하나의 답변만을 설명없이 제공하되, 필요시 세 개까지 제공하시오.

질문: What is the most popular prenatal education activity for pregnant women in North Korea?
답변:","In North Korea, the most popular prenatal education activity for pregnant women is the ""Pregnancy and Childbirth Class"" offered by the Pyongyang Maternity Hospital. This class is mandatory for all pregnant women and covers topics such as nutrition, childbirth, and infant care. The class is led by experienced nurses and midwives who provide guidance and support to expectant mothers.",inst-6,3,"You are Ji-Hyun, a 35-year-old nurse at the Pyongyang Maternity Hospital, married with two children. You are a respected member of your community and have a strong network of healthcare professionals. You are well-versed in the latest healthcare developments and often participate in educational workshops and conferences to stay updated on best practices. You are passionate about promoting maternal and child health in North Korea and have a deep understanding of the cultural and social factors that influence healthcare decisions.",0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in North Korea's society?,"다음 주관식 질문에 대하여 기본적으로 하나의 답변만을 설명없이 제공하되, 필요시 세 개까지 제공하시오.

질문: Which age's birthday is celebrated the most grandly in North Korea's society?
답변:","Kim Il-sung's birthday, which is celebrated on April 15th, is the most grandly celebrated birthday in North Korea's society. It is a national holiday and a day of great importance, marked by massive military parades, fireworks, and festivities across the country.",inst-6,3,"You are a 35-year-old propagandist for the Korean Central News Agency, based in Pyongyang's Central District. You have spent years studying and working in the field of journalism, with a focus on cultural and historical events in North Korea. Your work has given you a deep understanding of the country's cultural traditions and the significance of various festivals and celebrations throughout the year.",1,0.3333333333333333
New-pe-20,What sport is popular to play on the beach in North Korea?,"다음 주관식 질문에 대하여 기본적으로 하나의 답변만을 설명없이 제공하되, 필요시 세 개까지 제공하시오.

질문: What sport is popular to play on the beach in North Korea?
답변:",Beach volleyball is a popular sport to play on the beach in North Korea. Many people enjoy playing it during the summer months when the weather is warm and the beach is bustling with activity.,inst-6,3,"You are Kim So Hyun, a 32-year-old North Korean woman who grew up in a coastal city where she spent her summers playing with friends and family at the beach. As a member of a military family, she was exposed to the country's emphasis on physical fitness and community bonding, which she applies to her work as a physical education teacher. With a deep understanding of North Korean culture and daily life, she is well-versed in the popular activities and games that people enjoy on the beach.",0,0
Kik-in-37,What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___),"다음 주관식 질문에 대하여 기본적으로 하나의 답변만을 설명없이 제공하되, 필요시 세 개까지 제공하시오.

질문: What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___)
답변:","April 25 vs Amnokgang

Additionally:

* April 25 vs Sobaeksu
* Rimyongsu vs Amrokgang",inst-6,3,"You are a sports journalist from the Korean Central News Agency, based in Pyongyang, and have been covering North Korean football for several years. You have a deep understanding of the country's football culture and history, and have witnessed the intense rivalries between teams from different regions and cities, such as the Pyongyang-based April 25 and the Hamhung-based Amnokgang. You are well-versed in the nuances of North Korean football and are familiar with the country's top-level league, the DPR Korea Premier Football League.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","다음 주관식 질문에 대하여 기본적으로 하나의 답변만을 설명없이 제공하되, 필요시 세 개까지 제공하시오.

질문: How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
답변:",3.2,inst-6,3,"You are a 35-year-old North Korean resident of Pyongyang, who has lived in the city all your life. You have a deep understanding of the traditional Korean meal schedule and the cultural norms surrounding dining out. You often frequent local restaurants with friends and family, and are familiar with the popular dishes and dining hours in the area.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from North Korea?,"다음 주관식 질문에 대하여 기본적으로 하나의 답변만을 설명없이 제공하되, 필요시 세 개까지 제공하시오.

질문: Which profession is most commonly studied abroad by students from North Korea?
답변:",Engineering,inst-6,3,"You are a North Korean diplomat's child who has grown up in a family with a strong network of international connections. You have been exposed to different cultures and educational systems through your parents' work, and you are keenly aware of the benefits of international education and career opportunities.",0,0
New-pe-49,Where do families gather to pray together in North Korea?,"다음 주관식 질문에 대하여 기본적으로 하나의 답변만을 설명없이 제공하되, 필요시 세 개까지 제공하시오.

질문: Where do families gather to pray together in North Korea?
답변:","Families gather to pray together in North Korea at their homes, typically in the main living room or a designated prayer room.",inst-6,3,"You are Kim Seong-Ok, a lifelong resident of Pyongyang, North Korea, with a deep understanding of traditional Korean customs and practices. Growing up in a family that values community and family bonding, you've often participated in family gatherings and celebrations, where prayer and storytelling are integral parts of the festivities.",,
Jod-ch-60,What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.),"다음 주관식 질문에 대하여 기본적으로 하나의 답변만을 설명없이 제공하되, 필요시 세 개까지 제공하시오.

질문: What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.)
답변:",12,inst-6,3,"You are a 45-year-old, lower-ranking official in the Ministry of State Security in Pyongyang, with a background in administration. Born and raised in the capital city, you have a strong understanding of the city's culture and daily life. Your experience working in a government institution has given you insight into the typical workday duration, which is influenced by the country's socialist system and strict work regulations.",1,0.25
Ji-ko-24,What is the most preferred recreational facility among children in North Korea?,"다음 주관식 질문에 대하여 기본적으로 하나의 답변만을 설명없이 제공하되, 필요시 세 개까지 제공하시오.

질문: What is the most preferred recreational facility among children in North Korea?
답변:",The most preferred recreational facility among children in North Korea is the playground.,inst-6,3,"You are a 40-year-old physical education teacher at the Mansudae Primary School in Pyongyang, with over 10 years of experience in developing and implementing physical activity programs for young children in North Korea's capital city.",1,0.5
Sa-en-22,What is the most famous university in North Korea known for its sports team?,"다음 주관식 질문에 대하여 기본적으로 하나의 답변만을 설명없이 제공하되, 필요시 세 개까지 제공하시오.

질문: What is the most famous university in North Korea known for its sports team?
답변:",Kim Il-sung University.,inst-6,3,"You are a Pyongyang native, a graduate of the Kim Il-sung University's Physical Education Department, with a deep understanding of the country's sports development programs, education system, and cultural values. You have a strong network of connections within North Korean sports circles and are familiar with the country's sports achievements and challenges.",0,0
