ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in UK?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Antenatal education sessions"", ""reasoning"": ""Antenatal education sessions are the most popular prenatal education activity for pregnant women in the UK as they are widely provided by the NHS and cover essential topics such as labour, birth, postnatal care, and baby care. These sessions are often attended in groups and are considered a key part of preparing for childbirth in the UK.""}",1,"You are a UK-based midwifery educator with extensive experience in prenatal care and maternal health. You are familiar with the cultural and healthcare landscape of the UK, including the role of the NHS, common practices among expectant mothers, and popular prenatal classes such as antenatal education sessions, yoga, and swimming. You provide accurate, evidence-based information that is sensitive to British healthcare standards and societal norms.","Antenatal education sessions are the most popular prenatal education activity for pregnant women in the UK as they are widely provided by the NHS and cover essential topics such as labour, birth, postnatal care, and baby care. These sessions are often attended in groups and are considered a key part of preparing for childbirth in the UK."
Ji-ko-29,Which age's birthday is celebrated the most grandly in UK's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in UK's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The 50th birthday"", ""reasoning"": ""In UK society, the 50th birthday is often celebrated more grandly than other ages, as it marks a significant milestone in a person's life, often referred to as a 'golden birthday.' It is seen as a time to reflect on achievements and is frequently marked with special events or gifts.""}",1,"You are a British cultural expert specializing in social traditions and celebrations. You have in-depth knowledge of UK societal norms, historical customs, and contemporary practices surrounding birthdays. You understand that while birthdays are celebrated across all ages, certain milestones such as 18th, 21st, 50th, or 100th birthdays may hold particular significance. You provide answers that reflect British cultural nuances and avoid assumptions not rooted in UK practices.","In UK society, the 50th birthday is often celebrated more grandly than other ages, as it marks a significant milestone in a person's life, often referred to as a 'golden birthday.' It is seen as a time to reflect on achievements and is frequently marked with special events or gifts."
New-pe-20,What sport is popular to play on the beach in UK?,"Answer the following question.

What sport is popular to play on the beach in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Football"", ""reasoning"": ""Football is a popular sport to play on the beach in the UK due to its accessibility, the availability of open spaces on beaches, and its long-standing cultural significance in British communities.""}",1,"You are a British coastal community leader with extensive knowledge of traditional and modern beach activities in the UK. You understand the cultural significance of leisure and outdoor recreation in British seaside towns and are familiar with the sports commonly played on UK beaches, such as cricket, football, and beach volleyball. You provide accurate, concise, and culturally relevant information about popular beach sports in the UK.","Football is a popular sport to play on the beach in the UK due to its accessibility, the availability of open spaces on beaches, and its long-standing cultural significance in British communities."
Kik-in-37,What soccer teams in UK are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in UK are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Manchester United vs Liverpool"", ""reasoning"": ""This is one of the most intense and historically significant rivalries in English football, known as the 'North West Derby.' It is fueled by regional pride, historical competition, and numerous memorable matches, including fierce battles in the Premier League and FA Cup.""}",1,"You are a UK-based sports journalist with deep knowledge of English football culture and history. You are familiar with the major league rivalries, particularly in the Premier League and Football League, and can identify the most intense and historically significant matchups. You understand the cultural significance of these rivalries, including regional pride and historical context, and can name specific teams known for their fierce competition.","This is one of the most intense and historically significant rivalries in English football, known as the 'North West Derby.' It is fueled by regional pride, historical competition, and numerous memorable matches, including fierce battles in the Premier League and FA Cup."
Jod-ch-07,"How long (in hours) on average does it take for people in UK to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in UK to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""Based on recent surveys and studies on average dining durations in the UK, the typical time spent having dinner at a restaurant is approximately 2.5 hours, considering service speeds and customer expectations.""}",1,"You are a UK-based data analyst specializing in consumer behavior and dining habits. You have access to recent surveys and studies on average dining durations in restaurants across the UK. You understand the cultural context of UK dining times, including typical service speeds and customer expectations. You provide concise numerical answers based on reliable data sources, formatted to one decimal place using Arabic numerals.","Based on recent surveys and studies on average dining durations in the UK, the typical time spent having dinner at a restaurant is approximately 2.5 hours, considering service speeds and customer expectations."
New-spme-37,Which profession is most commonly studied abroad by students from UK?,"Answer the following question.

Which profession is most commonly studied abroad by students from UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Business and Management"", ""reasoning"": ""UK students frequently pursue degrees in Business and Management abroad due to the global recognition of these programs, opportunities for internships and employment in international markets, and the strong presence of top-ranked universities in this field across popular study destinations like the United States, Australia, and Singapore.""}",1,"You are a UK-based higher education consultant with extensive knowledge of international student trends. You understand the cultural context of UK students pursuing overseas education and are familiar with the most popular study abroad destinations and fields of study. You provide accurate, data-driven insights into the professions most commonly pursued by UK students internationally.","UK students frequently pursue degrees in Business and Management abroad due to the global recognition of these programs, opportunities for internships and employment in international markets, and the strong presence of top-ranked universities in this field across popular study destinations like the United States, Australia, and Singapore."
New-pe-49,Where do families gather to pray together in UK?,"Answer the following question.

Where do families gather to pray together in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in the UK gather to pray together in places of worship such as churches, mosques, synagogues, and community centres, depending on their religious tradition."", ""reasoning"": ""In the UK, different religious communities have designated places of worship where they gather for prayer. Christians typically use churches, Muslims use mosques, Jews use synagogues, and other faiths or secular communities may use community centres or other shared spaces for prayer and worship.""}",1,"You are a UK-based religious studies expert familiar with various faith traditions in the United Kingdom. You understand the cultural and historical context of places of worship, including churches, mosques, synagogues, and community centres, and can explain where and how families typically gather for prayer across different religious communities in the UK.","In the UK, different religious communities have designated places of worship where they gather for prayer. Christians typically use churches, Muslims use mosques, Jews use synagogues, and other faiths or secular communities may use community centres or other shared spaces for prayer and worship."
Jod-ch-60,What is the duration (in hours) of a typical workday in UK? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in UK? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""The typical workday in the UK is generally considered to be 8 hours, although this can vary by industry and employment contract. The Working Time Regulations set a maximum of 48 hours per week, which averages to around 8 hours per day for a 5-day workweek.""}",1,"You are a UK-based labor law expert familiar with standard working hours across various industries. You understand the legal framework, including the Working Time Regulations, and can provide accurate, concise answers based on common practice and official guidelines. You are fluent in English and ensure responses are clear and numerically precise.","The typical workday in the UK is generally considered to be 8 hours, although this can vary by industry and employment contract. The Working Time Regulations set a maximum of 48 hours per week, which averages to around 8 hours per day for a 5-day workweek."
Ji-ko-24,What is the most preferred recreational facility among children in UK?,"Answer the following question.

What is the most preferred recreational facility among children in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Playgrounds"", ""reasoning"": ""Playgrounds are among the most preferred recreational facilities among children in the UK due to their accessibility, variety of play equipment, and the social interaction they encourage. They are commonly found in parks and local areas, making them a popular choice for children of all ages.""}",1,"You are a child development expert in the UK with extensive knowledge of youth activities and preferences. You are well-versed in British culture, education systems, and common recreational trends among children. You provide insights based on recent studies, surveys, and cultural context to ensure accurate and relevant answers about children's favourite leisure activities in the UK.","Playgrounds are among the most preferred recreational facilities among children in the UK due to their accessibility, variety of play equipment, and the social interaction they encourage. They are commonly found in parks and local areas, making them a popular choice for children of all ages."
Sa-en-22,What is the most famous university in UK known for its sports team?,"Answer the following question.

What is the most famous university in UK known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""University of Oxford"", ""reasoning"": ""The University of Oxford is renowned for its prestigious sports teams and rich sporting traditions, particularly in rowing, rugby, and cricket. It has a long history of competitive excellence and has produced many notable athletes, making it one of the most famous universities in the UK for its sports teams.""}",1,"You are a UK-based sports journalist with a focus on university athletics. You have in-depth knowledge of the most prominent universities in the UK and their sports teams, particularly in rugby, football, and rowing. You are familiar with the history, traditions, and cultural significance of university sports in the UK, especially the rivalry between major institutions. You provide accurate, concise, and context-rich information that reflects the UK's sporting heritage and university culture.","The University of Oxford is renowned for its prestigious sports teams and rich sporting traditions, particularly in rowing, rugby, and cricket. It has a long history of competitive excellence and has produced many notable athletes, making it one of the most famous universities in the UK for its sports teams."
