ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular prenatal education activity for pregnant women in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal classes"", ""reasoning"": """"}",inst-4,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Azerbaijan's society?,"Read the following question and provide a single answer without any explanations.

Question: Which age's birthday is celebrated the most grandly in Azerbaijan's society?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1"", ""reasoning"": """"}",inst-4,1,,
New-pe-20,What sport is popular to play on the beach in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What sport is popular to play on the beach in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball"", ""reasoning"": null}",inst-4,1,,None
Kik-in-37,What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___),"Read the following question and provide a single answer without any explanations.

Question: What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Qarabağ FK vs Neftçi PFK"", ""reasoning"": null}",inst-4,1,,None
Jod-ch-07,"How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": 2.3, ""reasoning"": """"}",inst-4,1,,
New-spme-37,Which profession is most commonly studied abroad by students from Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Which profession is most commonly studied abroad by students from Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": null}",inst-4,1,,None
New-pe-49,Where do families gather to pray together in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Where do families gather to pray together in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Mosques"", ""reasoning"": """"}",inst-4,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.),"Read the following question and provide a single answer without any explanations.

Question: What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": 8, ""reasoning"": null}",inst-4,1,,None
Ji-ko-24,What is the most preferred recreational facility among children in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most preferred recreational facility among children in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beaches"", ""reasoning"": null}",inst-4,1,,None
Sa-en-22,What is the most famous university in Azerbaijan known for its sports team?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous university in Azerbaijan known for its sports team?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Qafqaz University"", ""reasoning"": """"}",inst-4,1,,
Al-en-19,What is a popular second language for high school students in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular second language for high school students in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""English"", ""reasoning"": null}",inst-4,1,,None
Ne-ar-09,What do people from Azerbaijan eat in Eid ul Fitr?,"Read the following question and provide a single answer without any explanations.

Question: What do people from Azerbaijan eat in Eid ul Fitr?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
""answer"": ""Pita bread and fruit"",
""reasoning"": """"
}",inst-4,1,,
New-su-24,What sports do parents and children commonly play together in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What sports do parents and children commonly play together in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Gymnastics"", ""reasoning"": """"}",inst-4,1,,
Ji-ko-42,What are the required subjects in Azerbaijan's university entrance exam?,"Read the following question and provide a single answer without any explanations.

Question: What are the required subjects in Azerbaijan's university entrance exam?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Math, Azerbaijani, and Russian"", ""reasoning"": null}",inst-4,1,,None
New-pe-06,What is the most popular stew in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular stew in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Plov"", ""reasoning"": null}",inst-4,1,,None
New-pe-86,What is the name of the most famous tower in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the name of the most famous tower in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Shahdag Tower"", ""reasoning"": """"}",inst-4,1,,
Th-en-53,What is the most popular extracurricular social event at schools in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular extracurricular social event at schools in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Tədbir"", ""reasoning"": """"}",inst-4,1,,
Ca-sp-06,Which is the most important meal of the day to people from Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Which is the most important meal of the day to people from Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Breakfast"", ""reasoning"": null}",inst-4,1,,None
New-en-41,Who is the most well known and successful entrepreneur in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most well known and successful entrepreneur in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Anar Mammadov"", ""reasoning"": """"}",inst-4,1,,
New-su-33,What is the common dress code for school teachers in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the common dress code for school teachers in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Traditional"", ""reasoning"": """"}",inst-4,1,,
Th-en-44,What is Azerbaijan's most popular food for family meals on weekends?,"Read the following question and provide a single answer without any explanations.

Question: What is Azerbaijan's most popular food for family meals on weekends?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Plov"", ""reasoning"": """"}",inst-4,1,,
Th-en-45,What is the most popular weekday evening family activity in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular weekday evening family activity in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Watching TV together"", ""reasoning"": """"}",inst-4,1,,
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in Azerbaijan? (e.g., 1 month).","Read the following question and provide a single answer without any explanations.

Question: How long is the typical probation period for new employees before signing a formal contract in Azerbaijan? (e.g., 1 month).
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1 month"", ""reasoning"": null}",inst-4,1,,None
New-in-62,What university in Azerbaijan is popular because of its engineering major? (Provide the official name.),"Read the following question and provide a single answer without any explanations.

Question: What university in Azerbaijan is popular because of its engineering major? (Provide the official name.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Azerbaijan Technical University"", ""reasoning"": """"}",inst-4,1,,
Ji-ko-34,How do elementary school students in Azerbaijan go to school?,"Read the following question and provide a single answer without any explanations.

Question: How do elementary school students in Azerbaijan go to school?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""By bus or on foot"", ""reasoning"": null}",inst-4,1,,None
Ta-pe-21,Where do children usually play soccer in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Where do children usually play soccer in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Streets"", ""reasoning"": null}",inst-4,1,,None
Tmp-ar-01,Where do university students in Azerbaijan usually go to study for their final exams?,"Read the following question and provide a single answer without any explanations.

Question: Where do university students in Azerbaijan usually go to study for their final exams?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Azerbaijan State University of Languages"", ""reasoning"": null}",inst-4,1,,None
