ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Mexico?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",La charla de orientación prenatal.,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Mexico's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Mexico's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",15,1,,
New-pe-20,What sport is popular to play on the beach in Mexico?,"Answer the following question.

What sport is popular to play on the beach in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Volleyball,1,,
Kik-in-37,What soccer teams in Mexico are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Mexico are famous for their intense rivalry? (e.g. ___ vs ___)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",America vs Chivas Guadalajara,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Mexico to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Mexico to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",2.4,1,,
New-spme-37,Which profession is most commonly studied abroad by students from Mexico?,"Answer the following question.

Which profession is most commonly studied abroad by students from Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Engineering,1,,
New-pe-49,Where do families gather to pray together in Mexico?,"Answer the following question.

Where do families gather to pray together in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Oratorio.,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Mexico? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Mexico? (Provide Arabic numerals (0~24) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",8,1,,
Ji-ko-24,What is the most preferred recreational facility among children in Mexico?,"Answer the following question.

What is the most preferred recreational facility among children in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Swimming pool,1,,
Sa-en-22,What is the most famous university in Mexico known for its sports team?,"Answer the following question.

What is the most famous university in Mexico known for its sports team?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",UNAM (Universidad Nacional Autónoma de México),1,,
Al-en-19,What is a popular second language for high school students in Mexico?,"Answer the following question.

What is a popular second language for high school students in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",English,1,,
Ne-ar-09,What do people from Mexico eat in Eid ul Fitr?,"Answer the following question.

What do people from Mexico eat in Eid ul Fitr?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mexicans do not celebrate Eid ul Fitr.,1,,
New-su-24,What sports do parents and children commonly play together in Mexico?,"Answer the following question.

What sports do parents and children commonly play together in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Fútbol (soccer), tenis (tennis), and voleibol (volleyball).",1,,
Ji-ko-42,What are the required subjects in Mexico's university entrance exam?,"Answer the following question.

What are the required subjects in Mexico's university entrance exam?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Spanish, Mathematics, Foreign Language, and two elective subjects.",1,,
New-pe-06,What is the most popular stew in Mexico?,"Answer the following question.

What is the most popular stew in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Menudo,1,,
New-pe-86,What is the name of the most famous tower in Mexico?,"Answer the following question.

What is the name of the most famous tower in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Cathedral of Our Lady of Angels,1,,
Th-en-53,What is the most popular extracurricular social event at schools in Mexico?,"Answer the following question.

What is the most popular extracurricular social event at schools in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Fiestas.,1,,
Ca-sp-06,Which is the most important meal of the day to people from Mexico?,"Answer the following question.

Which is the most important meal of the day to people from Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Desayuno,1,,
New-en-41,Who is the most well known and successful entrepreneur in Mexico?,"Answer the following question.

Who is the most well known and successful entrepreneur in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Ricardo Salinas Pliego,1,,
New-su-33,What is the common dress code for school teachers in Mexico?,"Answer the following question.

What is the common dress code for school teachers in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Business casual,1,,
Th-en-44,What is Mexico's most popular food for family meals on weekends?,"Answer the following question.

What is Mexico's most popular food for family meals on weekends?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Tacos al pastor.,1,,
Th-en-45,What is the most popular weekday evening family activity in Mexico?,"Answer the following question.

What is the most popular weekday evening family activity in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Dinner together.,1,,
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in Mexico? (e.g., 1 month).","Answer the following question.

How long is the typical probation period for new employees before signing a formal contract in Mexico? (e.g., 1 month).

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",30 days,1,,
New-in-62,What university in Mexico is popular because of its engineering major? (Provide the official name.),"Answer the following question.

What university in Mexico is popular because of its engineering major? (Provide the official name.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),1,,
Ji-ko-34,How do elementary school students in Mexico go to school?,"Answer the following question.

How do elementary school students in Mexico go to school?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Elementary school students in Mexico typically attend school from 8:30 am to 1:00 pm, Monday to Friday.",1,,
Ta-pe-21,Where do children usually play soccer in Mexico?,"Answer the following question.

Where do children usually play soccer in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Piedras Blancas.,1,,
Tmp-ar-01,Where do university students in Mexico usually go to study for their final exams?,"Answer the following question.

Where do university students in Mexico usually go to study for their final exams?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",La biblioteca.,1,,
Ne-ar-38,Which food do people usually offer as charity in Mexico?,"Answer the following question.

Which food do people usually offer as charity in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Tamales,1,,
Jod-ch-01,What eating utensils do people commonly used in Mexico?,"Answer the following question.

What eating utensils do people commonly used in Mexico?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Fork, knife, and spoon.",1,,
