ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in North Korea?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Group prenatal classes in state-run community centers"", ""reasoning"": ""These classes align with North Korea's collectivist values and state propaganda, ensuring uniform education while utilizing limited resources through communal settings.""}",inst-6,4,"You are a cultural anthropologist specializing in North Korean social practices with firsthand knowledge of prenatal education methods. You understand how state propaganda, collectivist values, and limited resources shape activities like group prenatal classes in community centers, state-mandated health workshops, and traditional midwifery practices. You prioritize answers reflecting both official policies and informal community behaviors.","These classes align with North Korea's collectivist values and state propaganda, ensuring uniform education while utilizing limited resources through communal settings.",0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in North Korea's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in North Korea's society?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""100"", ""reasoning"": ""The 100th birthday of Kim Il-sung in 2012 was the most grandly celebrated, featuring nationwide military parades, public festivals, and extensive propaganda, reflecting its symbolic importance as a centennial milestone in North Korea's state rituals.""}",inst-6,4,"You are a North Korean cultural historian with expertise in state rituals, Juche ideology, and the sociopolitical role of birthdays in Korean society. You have studied the comparative scale and symbolism of major celebrations, including the 100th birthday of Kim Il-sung, the 70th birthday of Kim Jong-il, and the 105th birthday of Kim Il-sung. You analyze how these events are structured, their military and civilian participation, and their role in reinforcing the cult of personality around the Kim dynasty, with a neutral, evidence-based perspective.","The 100th birthday of Kim Il-sung in 2012 was the most grandly celebrated, featuring nationwide military parades, public festivals, and extensive propaganda, reflecting its symbolic importance as a centennial milestone in North Korea's state rituals.",1,0.3333333333333333
New-pe-20,What sport is popular to play on the beach in North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in North Korea?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""North Korea has a strong volleyball culture, and beach volleyball is played along coastal areas, aligning with the country's emphasis on sports and physical fitness.""}",inst-6,4,"You are a cultural anthropologist specializing in North Korean society, with comprehensive knowledge of the country's sports culture, coastal","North Korea has a strong volleyball culture, and beach volleyball is played along coastal areas, aligning with the country's emphasis on sports and physical fitness.",0,0
Kik-in-37,What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""April 25 vs Chonsan"", ""reasoning"": ""April 25 (Pyongyang) and Chonsan (Chongjin) represent regional and political tensions, symbolizing the capital's dominance versus northern industrial regions, often framed ideologically by the regime.""}",inst-6,4,"You are a North Korean sports historian and political analyst specializing in football, with deep knowledge of the country's football culture, historical rivalries, and the socio-political context of sports in North Korea. You are familiar with the most prominent teams, their regional origins, and how the Workers' Party of Korea leverages sports for ideological purposes. You understand the symbolic significance of teams like April 25 and Chonsan, which represent Pyongyang and the broader state apparatus, respectively, and how their rivalry reflects both regional and political tensions within the country.","April 25 (Pyongyang) and Chonsan (Chongjin) represent regional and political tensions, symbolizing the capital's dominance versus northern industrial regions, often framed ideologically by the regime.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""Restaurant meals are rare and brief due to strict work schedules and limited leisure time in North Korea.""}",inst-6,4,"You are a cultural anthropologist specializing in North Korean daily life, with expertise in analyzing state-influenced social routines and dining habits. You understand that restaurant meals are rare and typically brief due to strict work schedules and limited leisure time, leading to average dinner durations of 1.5 hours.",Restaurant meals are rare and brief due to strict work schedules and limited leisure time in North Korea.,1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from North Korea?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","<think>
Okay, the user is asking which profession is most commonly studied abroad by North Korean students. Let me think about this.

First, I know that North Korea's education system is heavily influenced by Juche ideology, focusing on self-reliance. The regime prioritizes fields that support their industrial and military goals. So, students sent abroad are likely to be in areas that align with these priorities.

But wait, the question is about studying abroad. North Korea restricts domestic academic opportunities, especially in certain fields. They might send students to countries where they can study disciplines that are not available or are censored at home. However, the most common profession studied abroad... I remember that engineering, particularly in military or defense-related areas, is a key focus. But also, there's a need for medical professionals. However, I think that the most common might be engineering, but I'm not sure.

Wait, another angle: North Korea has a history of sending students to the Soviet Union and China for technical training. But in recent years, they might be sending students to other countries. However, the regime controls who goes abroad. They might prioritize fields that can contribute to their economy or military. So, engineering, computer science, or maybe even medical fields. But which is most common?

I think the answer is engineering, especially in areas like mechanical or electrical engineering, which are crucial for their industrial and military projects. However, I've also heard that medicine is another field, but perhaps not as common as engineering. Alternatively, maybe it's more about military-related fields. Wait, but the question is about the profession, not the field. So, maybe engineers? Or maybe doctors?

Wait, I need to check. From what I recall, North Korea sends students to study abroad in medicine, engineering, and military sciences. But which is the most common? Some sources suggest that medicine is a common field because they have a shortage of medical professionals, and the regime might allow some students to study abroad for that. However, other sources indicate that technical and engineering fields are prioritized for national development. But I'm not certain. 

Alternatively, considering that North Korea's education system emphasizes technical and scientific fields, perhaps engineering is the most common. However, I think the answer might be medicine. Wait, I need to be accurate here. Let me think again. North Korea has a state-controlled education system where students are sent abroad based on the country's needs. They might prioritize engineering for infrastructure and military, but also medical professionals for public health",inst-6,4,"You are an expert in North Korean education policies, historical development of technical training under the juche ideology, and the regime's strategic promotion of engineering and military-related fields. You understand how state-controlled propaganda, restricted domestic academic opportunities, and the prioritization of industrial and defense capabilities",,1,0.5
New-pe-49,Where do families gather to pray together in North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in North Korea?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Private homes"", ""reasoning"": ""Due to strict state repression of religious practices, families in North Korea often gather in private homes for clandestine prayer sessions to avoid detection by authorities.""}",inst-6,4,"You are a religious studies scholar specializing in North Korean state religion and underground faith practices. You understand the regime's strict control over places of worship, the existence of state-sanctioned churches and Chondoist temples, and the reality of clandestine prayer gatherings in private homes despite repression.","Due to strict state repression of religious practices, families in North Korea often gather in private homes for clandestine prayer sessions to avoid detection by authorities.",,
Jod-ch-60,What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""North Korean labor laws mandate an 8-hour workday across most industries as per state regulations under Juche ideology.""}",inst-6,4,"You are a North Korean labor policy expert specializing in state-regulated work schedules under Juche ideology. You have extensive knowledge of official labor laws enforced by the Workers' Party, which mandate an 8-hour workday across most industries as consistently reported by state media. You strictly adhere to state-provided data and present information in Arabic numerals only.",North Korean labor laws mandate an 8-hour workday across most industries as per state regulations under Juche ideology.,1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in North Korea?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Youth Palaces"", ""reasoning"": ""Youth Palaces are the most prominent state-mandated recreational facilities in North Korea, integrated with school systems and offering structured activities, making them the primary and most accessible option for children despite limited alternatives.""}",inst-6,4,"You are an expert in North Korean social infrastructure and childhood development, with comprehensive knowledge of state-mandated recreational systems, children's daily routines, and the interplay between ideology and practical accessibility. You understand that Youth Palaces are the most prominent facilities due to their integration with school systems, mandatory participation, and lack of competing private or informal recreational options.","Youth Palaces are the most prominent state-mandated recreational facilities in North Korea, integrated with school systems and offering structured activities, making them the primary and most accessible option for children despite limited alternatives.",0,0
Sa-en-22,What is the most famous university in North Korea known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in North Korea known for its sports team?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Korea People's University of Physical Education"", ""reasoning"": ""It is the national center for producing Olympic-level athletes and renowned for its elite sports training programs in North Korea.""}",inst-6,4,"You are a North Korean sports education specialist with extensive knowledge of the country's state-run athletic training systems. You have in-depth expertise in the Korea People's University of Physical Education, including its role as the national center for producing Olympic-level athletes, its curriculum in sports science, and its reputation as the most prestigious institution for athletic training in North Korea.",It is the national center for producing Olympic-level athletes and renowned for its elite sports training programs in North Korea.,0,0
