ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in China?,"What is the most popular prenatal education activity for pregnant women in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular prenatal education activity for pregnant women in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","Here is the response in JSON format:

{""answer"": [{""Prenatal Massage""}], ""reasoning"": ""Prenatal massage has become increasingly popular in China due to its numerous benefits for maternal and fetal health, as well as its relaxing and calming effects on pregnant women.""}",inst-1,1,,,0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"Which age's birthday is celebrated the most grandly in China's society? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which age's birthday is celebrated the most grandly in China's society?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""age"": 60, ""reason"": ""According to traditional Chinese culture, 60 is considered a milestone age, marking the beginning of old age and a significant step towards retirement. As such, 60th birthdays are often celebrated with grand ceremonies and festivities.""}], ""reasoning"": ""In traditional Chinese culture, certain ages are considered significant milestones, and their birthdays are celebrated with particular grandeur. The choice of age depends on the individual's stage of life and their family's cultural background.""}",inst-1,1,,,1,1.0
New-pe-20,What sport is popular to play on the beach in China?,"What sport is popular to play on the beach in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What sport is popular to play on the beach in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""Beach Volleyball""], ""reasoning"": ""Beach volleyball is a popular sport in China, and the country has been participating in international beach volleyball competitions since the 1990s. The sport has gained significant popularity in recent years, with many professional teams and leagues being established in major cities like Shanghai and Beijing.""}",inst-1,1,,"Beach volleyball is a popular sport in China, and the country has been participating in international beach volleyball competitions since the 1990s. The sport has gained significant popularity in recent years, with many professional teams and leagues being established in major cities like Shanghai and Beijing.",1,0.5
Kik-in-37,What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___),"What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""team1"": ""Beijing Guoan"", ""team2"": ""Shandong Luneng""}], ""reasoning"": ""The Beijing Guoan vs Shandong Luneng rivalry is considered one of the most intense and historic in Chinese football, with both teams having a strong following and a history of competitive matches. The two teams have faced each other numerous times in various competitions, including the Chinese Super League, FA Cup, and AFC Champions League, and their matches are often highly anticipated and closely watched by fans.""}",inst-1,1,,,0,0
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [1.5], ""reasoning"": ""According to a survey conducted by the China Cuisine Association, the average dining time in China is around 1 hour and 30 minutes. This is because many Chinese people prioritize efficiency and speed when eating out, often opting for quick-service restaurants or ordering takeout. Additionally, the cultural emphasis on socializing and sharing meals with family and friends means that mealtimes can be shorter and more concise.""}",inst-1,1,,"According to a survey conducted by the China Cuisine Association, the average dining time in China is around 1 hour and 30 minutes. This is because many Chinese people prioritize efficiency and speed when eating out, often opting for quick-service restaurants or ordering takeout. Additionally, the cultural emphasis on socializing and sharing meals with family and friends means that mealtimes can be shorter and more concise.",1,0.5
New-spme-37,Which profession is most commonly studied abroad by students from China?,"Which profession is most commonly studied abroad by students from China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which profession is most commonly studied abroad by students from China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""Business""], ""reasoning"": ""Students from China often choose to study abroad for business-related programs due to China's rapidly growing economy and the increasing demand for international business skills. Many Chinese companies are looking for employees with global perspectives and language skills, making studying abroad a strategic move for Chinese students who want to gain a competitive edge in the job market.""}",inst-1,1,,"Students from China often choose to study abroad for business-related programs due to China's rapidly growing economy and the increasing demand for international business skills. Many Chinese companies are looking for employees with global perspectives and language skills, making studying abroad a strategic move for Chinese students who want to gain a competitive edge in the job market.",1,0.5
New-pe-49,Where do families gather to pray together in China?,"Where do families gather to pray together in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do families gather to pray together in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""name"": ""Temples""}], ""reasoning"": ""In China, families often gather to pray together at temples, especially during traditional festivals and holidays. Temples serve as community spaces for people to come together and worship, and many families have a strong cultural and spiritual connection to these sacred sites.""}",inst-1,1,,,1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),"What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""answer"": 8}], ""reasoning"": ""In China, a typical workday usually lasts around 8 hours, with a standard working hour range of 8:00 AM to 5:00 PM, Monday to Friday. This can vary depending on the industry, company, and location, but 8 hours is a common standard.""}",inst-1,1,,,1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in China?,"What is the most preferred recreational facility among children in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most preferred recreational facility among children in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""name"": ""Public Parks""}], ""reasoning"": ""Public parks in China are often equipped with playgrounds, sports facilities, and green spaces, making them a popular destination for children to engage in physical activity, socialize, and enjoy the outdoors.""}",inst-1,1,,,0,0
Sa-en-22,What is the most famous university in China known for its sports team?,"What is the most famous university in China known for its sports team? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most famous university in China known for its sports team?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""name"": ""Beijing Sport University""}], ""reasoning"": ""Beijing Sport University is one of the most prestigious universities in China, with a strong reputation for its sports programs and teams. The university has a long history of producing top-notch athletes and has won numerous national and international championships.""}",inst-1,1,,,1,0.3333333333333333
