ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in North Korea?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in North Korea?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Traditional childbirth education lectures,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in North Korea's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in North Korea's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Kim Il-sung's birthday (April 15),1,,
New-pe-20,What sport is popular to play on the beach in North Korea?,"Answer the following question.

What sport is popular to play on the beach in North Korea?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Wrestling,1,,
Kik-in-37,What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",April 25 vs Ryemyong,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",2.5,1,,
New-spme-37,Which profession is most commonly studied abroad by students from North Korea?,"Answer the following question.

Which profession is most commonly studied abroad by students from North Korea?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Dentistry,1,,
New-pe-49,Where do families gather to pray together in North Korea?,"Answer the following question.

Where do families gather to pray together in North Korea?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",In secret locations.,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",8,1,,
Ji-ko-24,What is the most preferred recreational facility among children in North Korea?,"Answer the following question.

What is the most preferred recreational facility among children in North Korea?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",None.,1,,
Sa-en-22,What is the most famous university in North Korea known for its sports team?,"Answer the following question.

What is the most famous university in North Korea known for its sports team?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Kim Il-sung University,1,,
Al-en-19,What is a popular second language for high school students in North Korea?,"Answer the following question.

What is a popular second language for high school students in North Korea?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mandarin Chinese,1,,
